------ Microcontroller Engine Governor - Version: 1.10 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 0.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
1736,0.00,0,0,0,0
1786,0.00,0,0,0,0
1836,0.00,0,0,0,0
1886,0.00,0,0,0,0
1936,0.00,0,0,0,0
1986,0.00,0,0,0,0
2036,0.00,0,0,0,0
2086,0.00,0,0,0,0
2136,0.00,0,0,0,0
2186,0.00,0,0,0,0
2236,0.00,0,0,0,0
2286,0.00,0,0,0,0
2336,0.00,0,0,0,0
2386,0.00,0,0,0,0
2436,0.00,0,0,0,0
2486,0.00,0,0,0,0
2536,0.00,0,0,0,0
2586,0.00,0,0,0,0
2636,0.00,0,0,0,0
2686,0.00,0,0,0,0
2736,0.00,0,0,0,0
2786,0.00,0,0,0,0
2836,0.00,0,0,0,0
2886,0.00,0,0,0,0
2936,0.00,0,0,0,0
2987,0.00,0,0,0,0
3037,0.00,0,0,0,0
3087,0.00,0,0,0,0
3137,0.00,0,0,0,0
3187,0.00,0,0,0,0
3237,0.00,0,0,0,0
3287,0.00,0,0,0,0
3337,0.00,0,0,0,0
3387,0.00,0,0,0,0
3437,0.00,0,0,0,0
3487,0.00,0,0,0,0
3537,0.00,0,0,0,0
3587,0.00,0,0,0,0
3637,0.00,0,0,0,0
3687,0.00,0,0,0,0
3737,0.00,0,0,0,0
3787,0.00,0,0,0,0
3837,0.00,0,0,0,0
3887,0.00,0,0,0,0
3937,0.00,0,0,0,0
3987,0.00,0,0,0,0
4037,0.00,0,0,0,0
4087,0.00,0,0,0,0
4137,0.00,0,0,0,0
4187,0.00,0,0,0,0
4237,0.00,0,0,0,0
4287,0.00,0,0,0,0
4337,0.00,0,0,0,0
4387,0.00,0,0,0,0
4438,0.00,0,0,0,0
4488,0.00,0,0,0,0
4538,0.00,0,0,0,0
4588,0.00,0,0,0,0
4638,0.00,0,0,0,0
4688,0.00,0,0,0,0
4738,0.00,0,0,0,0
4788,0.00,0,0,0,0
4838,0.00,0,0,0,0
4888,0.00,0,0,0,0
4938,0.00,0,0,0,0
4988,0.00,0,0,0,0
5038,0.00,0,0,0,0
5088,0.00,0,0,0,0
5138,0.00,0,0,0,0
5188,0.00,0,0,0,0
5238,0.00,0,0,0,0
5288,0.00,0,0,0,0
5338,0.00,0,0,0,0
5388,0.00,0,0,0,0
5438,0.00,0,0,0,0
5488,0.00,0,0,0,0
5538,0.00,0,0,0,0
5588,0.00,0,0,0,0
5638,0.00,0,0,0,0
5688,0.00,0,0,0,0
5738,0.00,0,0,0,0
5788,0.00,0,0,0,0
5838,0.00,0,0,0,0
5888,0.00,0,0,0,0
5938,0.00,0,0,0,0
5988,0.00,0,0,0,0
6038,0.00,0,0,0,0
6088,0.00,0,0,0,0
6138,0.00,0,0,0,0
6188,0.00,0,0,0,0
6238,0.00,0,0,0,0
6288,0.00,0,0,0,0
6338,0.00,0,0,0,0
6388,0.00,0,0,0,0
6438,0.00,0,0,0,0
6488,0.00,0,0,0,0
6538,0.00,0,0,0,0
6588,0.00,0,0,0,0
6638,0.00,0,0,0,0
6688,0.00,0,0,0,0
6738,0.00,0,0,0,0
6788,0.00,0,0,0,0
6838,0.00,0,0,0,0
6888,0.00,0,0,0,0
6938,0.00,0,0,0,0
6988,0.00,0,0,0,0
7038,0.00,0,0,0,0
7088,0.00,0,0,0,0
7138,0.00,0,0,0,0
7188,0.00,0,0,0,0
7238,0.00,0,0,0,0
7288,0.00,0,0,0,0
7339,0.00,0,0,0,0
7389,0.00,0,0,0,0
7439,0.00,0,0,0,0
7489,0.00,0,0,0,0
7539,0.00,0,0,0,0
7589,0.00,0,0,0,0
7639,0.00,0,0,0,0
7689,0.00,0,0,0,0
7739,0.00,0,0,0,0
7789,0.00,0,0,0,0
7839,0.00,0,0,0,0
7889,0.00,0,0,0,0
7939,0.00,0,0,0,0
7989,0.00,0,0,0,0
8039,0.00,0,0,0,0
8089,0.00,0,0,0,0
8139,0.00,0,0,0,0
8189,0.00,0,0,0,0
8239,0.00,0,0,0,0
8289,0.00,0,0,0,0
8339,0.00,0,0,0,0
8389,0.00,0,0,0,0
8439,0.00,0,0,0,0
8489,0.00,0,0,0,0
8539,0.00,0,0,0,0
8589,0.00,0,0,0,0
8639,inf,0,0,0,0
8689,inf,0,0,0,0
8739,inf,0,0,0,0
8790,inf,0,0,0,0
8840,331.49,0,32,0,0
8890,895.52,0,27,0,0
8940,821.92,19,27,0,0
8990,821.92,0,27,0,0
9040,810.81,0,27,0,0
9090,800.00,21,28,0,0
9140,1132.08,19,24,0,0
9190,1176.47,20,24,0,0
9240,1500.00,7,21,0,0
9290,1538.46,0,20,0,0
9340,1818.18,12,17,0,0
9390,2000.00,0,15,0,0
9440,2222.22,0,13,0,0
9490,2307.69,0,12,0,0
9540,2500.00,0,11,0,0
9590,2727.27,0,8,0,0
9640,3000.00,2,6,0,0
9690,3157.89,0,4,0,0
9740,3157.89,0,4,0,0
9790,3157.89,2,4,0,0
9840,3529.41,0,0,0,0
9890,3750.00,0,-1,0,0
9940,4000.00,0,-4,0,0
9990,3750.00,0,-1,0,0
10040,3750.00,0,-1,0,0
10090,4000.00,-3,-4,0,0
10140,4000.00,0,-4,0,0
10190,4285.71,0,-6,0,0
10240,4285.71,-4,-6,0,0
10290,4000.00,0,-4,0,0
10340,3750.00,0,-1,0,0
10390,4285.71,-4,-6,0,0
10440,4285.71,0,-6,0,0
10490,4000.00,0,-4,0,0
10540,3750.00,0,-1,0,0
10590,3750.00,0,-1,0,0
10640,3750.00,0,-1,0,0
10690,3750.00,0,-1,0,0
10740,4000.00,-2,-4,0,0
10790,4000.00,0,-4,0,0
10840,4000.00,0,-4,0,0
10890,3750.00,0,-1,0,0
10940,3529.41,0,0,0,0
10990,3529.41,0,0,0,0
11040,3750.00,0,-1,0,0
11090,3750.00,0,-1,0,0
11140,3529.41,0,0,0,0
11190,3529.41,0,0,0,0
11240,3750.00,0,-1,0,0
11290,3750.00,0,-1,0,0
11340,3529.41,0,0,0,0
11390,3750.00,0,-1,0,0
11440,3529.41,0,0,0,0
11490,3529.41,0,0,0,0
11540,3333.33,0,2,0,0
11590,3333.33,0,2,0,0
11640,3529.41,0,0,0,0
11691,3529.41,0,0,0,0
11741,3333.33,0,2,0,0
11791,3529.41,0,0,0,0
11841,3529.41,0,0,0,0
11891,3750.00,0,-1,0,0
11941,3529.41,0,0,0,0
11991,3529.41,0,0,0,0
12041,3529.41,0,0,0,0
12091,3333.33,0,2,0,0
12141,3529.41,0,0,0,0
12191,3529.41,0,0,0,0
12241,3750.00,0,-1,0,0
12291,3750.00,0,-1,0,0
12341,3750.00,0,-1,0,0
12391,3333.33,0,2,0,0
12441,3529.41,0,0,0,0
12491,3750.00,0,-1,0,0
12541,3529.41,0,0,0,0
12591,3750.00,0,-1,0,0
12641,3750.00,0,-1,0,0
12691,3529.41,0,0,0,0
12741,3529.41,0,0,0,0
12791,3750.00,0,-1,0,0
12841,3750.00,0,-1,0,0
12891,3750.00,0,-1,0,0
12941,3529.41,0,0,0,0
12991,3750.00,0,-1,0,0
