------ Microcontroller Engine Governor - Version: 1.11 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 1.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,0.00,0,0,0,0
137,0.00,0,0,0,0
187,0.00,0,0,0,0
237,0.00,0,0,0,0
287,0.00,0,0,0,0
337,0.00,0,0,0,0
387,0.00,0,0,0,0
437,0.00,0,0,0,0
487,0.00,0,0,0,0
537,0.00,0,0,0,0
587,0.00,0,0,0,0
637,0.00,0,0,0,0
2176,0.00,0,0,0,0
2226,0.00,0,0,0,0
2276,0.00,0,0,0,0
2326,0.00,0,0,0,0
2376,0.00,0,0,0,0
2426,0.00,0,0,0,0
2476,0.00,0,0,0,0
2526,0.00,0,0,0,0
2576,0.00,0,0,0,0
2626,0.00,0,0,0,0
2676,0.00,0,0,0,0
2726,0.00,0,0,0,0
2776,0.00,0,0,0,0
2826,0.00,0,0,0,0
2876,0.00,0,0,0,0
2926,0.00,0,0,0,0
2976,0.00,0,0,0,0
3026,0.00,0,0,0,0
3076,0.00,0,0,0,0
3126,0.00,0,0,0,0
3176,0.00,0,0,0,0
3226,0.00,0,0,0,0
3276,0.00,0,0,0,0
3326,0.00,0,0,0,0
3376,0.00,0,0,0,0
3426,0.00,0,0,0,0
3476,0.00,0,0,0,0
3526,0.00,0,0,0,0
3576,0.00,0,0,0,0
3627,0.00,0,0,0,0
3677,0.00,0,0,0,0
3727,0.00,0,0,0,0
3777,0.00,0,0,0,0
3827,0.00,0,0,0,0
3877,0.00,0,0,0,0
3927,0.00,0,0,0,0
3977,0.00,0,0,0,0
4027,0.00,0,0,0,0
4077,0.00,0,0,0,0
4127,0.00,0,0,0,0
4177,0.00,0,0,0,0
4227,0.00,0,0,0,0
4277,0.00,0,0,0,0
4327,0.00,0,0,0,0
4377,0.00,0,0,0,0
4427,0.00,0,0,0,0
4477,0.00,0,0,0,0
4527,0.00,0,0,0,0
4577,0.00,0,0,0,0
4627,0.00,0,0,0,0
4677,0.00,0,0,0,0
4727,inf,0,0,0,0
4777,969.31,16,26,0,0
4827,969.31,0,26,0,0
4877,966.06,0,26,0,0
4927,1213.00,0,23,0,-4
4977,1442.31,10,21,0,-5
5027,1437.19,6,21,0,0
5078,1600.00,0,20,0,-4
5128,1746.01,9,18,0,-4
5178,1751.31,0,18,0,0
5228,1961.30,6,16,0,0
5278,2143.47,10,14,0,0
5328,2305.92,10,12,0,0
5378,2450.98,9,11,0,0
5428,2601.01,3,9,0,0
5478,2727.27,0,8,0,0
5528,2848.46,0,7,0,0
5578,3100.45,0,4,0,-4
5628,3194.89,1,4,0,0
5678,3291.64,0,3,0,0
5728,3473.83,0,1,0,-5
5778,3544.42,0,0,0,0
5828,3771.69,-1,-1,0,-13
5878,3725.78,0,-1,0,0
5928,3799.39,0,-1,0,1
5978,3878.98,-1,-2,0,-2
6028,3885.00,0,-2,0,1
6078,3927.73,0,-3,0,-1
6128,3922.59,0,-3,0,1
6178,4004.27,-16,-4,0,-16
6228,3787.88,12,-1,0,21
6278,3925.67,0,-3,0,12
6328,3901.17,-1,-3,0,1
6378,3939.08,0,-3,0,-1
6428,3895.09,0,-2,0,2
