Time	RPM	Steps Remaining	 PID p	 PID i	 PID d
1728	0	0	0	0	0
1778	0	0	0	0	0
1828	0	0	0	0	0
1878	0	0	0	0	0
1928	0	0	0	0	0
1978	0	0	0	0	0
2028	0	0	0	0	0
2078	0	0	0	0	0
2128	0	0	0	0	0
2178	0	0	0	0	0
2228	0	0	0	0	0
2278	0	0	0	0	0
2328	0	0	0	0	0
2378	0	0	0	0	0
2428	0	0	0	0	0
2478	0	0	0	0	0
2528	0	0	0	0	0
2578	0	0	0	0	0
2628	0	0	0	0	0
2678	0	0	0	0	0
2728	0	0	0	0	0
2778	0	0	0	0	0
2828	0	0	0	0	0
2878	0	0	0	0	0
2928	0	0	0	0	0
2978	0	0	0	0	0
3028	0	0	0	0	0
3078	0	0	0	0	0
3128	0	0	0	0	0
3178	0	0	0	0	0
3228	0	0	0	0	0
3278	0	0	0	0	0
3328	0	0	0	0	0
3378	0	0	0	0	0
3428	0	0	0	0	0
3478	0	0	0	0	0
3528	0	0	0	0	0
3578	0	0	0	0	0
3628	0	0	0	0	0
3678	inf	0	0	0	0
3728	inf	0	0	0	0
3778	inf	0	0	0	0
3828	380.52	0	32	0	0
3878	963.51	0	26	0	-27
3928	948.05	17	26	0	0
3978	1206.08	0	23	0	-15
4028	1157.5	19	24	0	2
4078	1136.79	20	24	0	1
4128	1124.19	23	24	0	0
4178	1376.4	0	22	0	-17
4228	1383.13	8	22	0	0
4278	1620.22	0	19	0	-19
4328	1854.37	0	17	0	-20
4378	1864.05	0	17	0	0
4428	2059.87	0	15	0	0
4478	2228.83	0	13	0	-1
4528	2370.04	0	12	0	0
4578	2499.58	0	11	0	0
4628	2617.34	0	9	0	0
4678	2835.54	-5	7	0	-15
4728	2920.56	0	6	0	-15
4779	2999.4	5	6	0	0
4829	3073.14	0	5	0	3
4879	3232.06	-7	3	0	-15
4929	3275.11	0	3	0	-10
4979	3365.49	0	2	0	-7
5029	3400.59	0	1	0	-11
5079	3427.79	0	1	0	3
5129	3511.24	-1	0	0	-6
5179	3526.09	0	0	0	1
5229	3573.13	0	0	0	0
5279	3553.66	0	0	0	0
5329	3601.44	0	0	0	1
5379	3568.88	0	0	0	0
5429	3609.24	0	0	0	0
