------ Microcontroller Engine Governor - Version: 1.12 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 0.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
1742,0.00,0,0,0,0
1792,0.00,0,0,0,0
1842,0.00,0,0,0,0
1892,0.00,0,0,0,0
1942,0.00,0,0,0,0
1992,0.00,0,0,0,0
2042,0.00,0,0,0,0
2092,0.00,0,0,0,0
2142,0.00,0,0,0,0
2192,0.00,0,0,0,0
2242,0.00,0,0,0,0
2292,0.00,0,0,0,0
2342,0.00,0,0,0,0
2392,0.00,0,0,0,0
2442,0.00,0,0,0,0
2492,0.00,0,0,0,0
2542,0.00,0,0,0,0
2592,0.00,0,0,0,0
2642,0.00,0,0,0,0
2692,0.00,0,0,0,0
2742,0.00,0,0,0,0
2792,0.00,0,0,0,0
2842,0.00,0,0,0,0
2892,0.00,0,0,0,0
2942,inf,0,0,0,0
2992,inf,0,0,0,0
3042,487.84,25,31,0,0
3092,487.84,0,31,0,0
3142,595.36,25,30,0,0
3192,595.36,0,30,0,0
3243,595.36,0,30,0,0
3293,563.53,0,30,0,0
3343,563.53,0,30,0,0
3393,511.63,0,30,0,0
3443,873.52,13,27,0,0
3493,873.52,0,27,0,0
3543,862.81,0,27,0,0
3593,1336.18,19,22,0,0
3643,1626.19,3,19,0,0
3693,1645.82,0,19,0,0
3743,1920.61,0,16,0,0
3793,2144.70,3,14,0,0
3843,2338.27,3,12,0,0
3893,2520.16,0,10,0,0
3943,2690.10,0,9,0,0
3993,3018.72,0,5,0,0
4043,3159.22,0,4,0,0
4093,3283.71,0,3,0,0
4143,3521.95,0,0,0,0
4193,3625.82,0,0,0,0
4243,3812.91,0,-2,0,0
4293,3872.97,0,-2,0,0
4343,3995.74,-1,-3,0,0
4393,4127.68,0,-5,0,0
4443,4172.46,0,-5,0,0
4493,4228.93,0,-6,0,0
4543,4255.32,-5,-6,0,0
4593,4227.73,0,-6,0,0
4643,4230.12,-5,-6,0,0
4694,4202.86,0,-6,0,0
4744,4143.65,-4,-5,0,0
4794,4145.94,0,-5,0,0
4844,4083.86,0,-4,0,0
4894,3994.67,0,-3,0,0
4944,3964.06,0,-3,0,0
4994,3891.05,0,-2,0,0
5044,3840.25,0,-2,0,0
