Time	RPM	Steps Remaining	 PID p	 PID i	 PID d
1243	0	0	0	0	0
1293	0	0	0	0	0
1343	0	0	0	0	0
1393	0	0	0	0	0
1443	0	0	0	0	0
1494	0	0	0	0	0
1544	0	0	0	0	0
1594	0	0	0	0	0
1644	0	0	0	0	0
1694	0	0	0	0	0
1744	0	0	0	0	0
1794	0	0	0	0	0
1844	0	0	0	0	0
1894	0	0	0	0	0
1944	0	0	0	0	0
1994	0	0	0	0	0
2044	0	0	0	0	0
2094	0	0	0	0	0
2144	0	0	0	0	0
2194	0	0	0	0	0
2244	inf	0	0	0	0
2294	inf	0	0	0	0
2344	456.32	19	31	0	0
2394	456.32	0	31	0	0
2444	603.18	13	29	0	-4
2494	987.17	6	26	0	-19
2544	987.17	0	26	0	-19
2594	949.07	0	26	0	1
2644	1103.59	0	24	0	-8
2694	1105.54	0	24	0	0
2744	1363.51	0	22	0	-17
2794	1630.26	0	19	0	-20
2844	1640.78	1	19	0	0
2894	1852.54	14	17	0	0
2944	2016.67	0	15	0	-16
2994	2188.82	0	14	0	-18
3044	2341.19	0	12	0	-17
3094	2463.86	0	11	0	-14
3144	2583.53	0	10	0	-16
3194	2691.55	0	9	0	-16
3244	2776.75	6	8	0	1
3294	2875.22	0	7	0	1
3344	3038.28	-5	5	0	-11
3394	3116.56	0	4	0	-15
3444	3173.93	1	4	0	2
3494	3236.94	0	3	0	1
3544	3374.58	0	2	0	0
3594	3391.36	0	2	0	0
3644	3505.49	0	0	0	0
3694	3629.32	0	0	0	0
3744	3608.37	0	0	0	0
3794	3637.25	0	0	0	0
3844	3725.78	0	-1	0	0
3894	3729.49	0	-1	0	0
3944	3801.32	0	-2	0	0
3994	3798.43	0	-1	0	0
4044	3830.44	0	-2	0	0
4094	3843.2	0	-2	0	0
4144	3839.26	0	-2	0	0
4194	3884	0	-2	0	0
4244	3840.25	0	-2	0	0
4294	3840.25	-1	-2	0	0
4344	3840.25	0	-2	0	0
4395	3798.43	0	-1	0	0
4445	3761.28	0	-1	0	0
4495	3724.86	0	-1	0	0
