------ Microcontroller Engine Governor - Version: 1.12 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki:0.000000  ------ Microcontroller Engine Governor - Version: 1.12 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
1803,0.00,0,0,0,0
1853,0.00,0,0,0,0
1903,0.00,0,0,0,0
1953,0.00,0,0,0,0
2003,0.00,0,0,0,0
2053,0.00,0,0,0,0
2103,0.00,0,0,0,0
2153,0.00,0,0,0,0
2203,0.00,0,0,0,0
2253,0.00,0,0,0,0
2304,0.00,0,0,0,0
2354,0.00,0,0,0,0
2404,0.00,0,0,0,0
2454,0.00,0,0,0,0
2504,0.00,0,0,0,0
2554,0.00,0,0,0,0
2604,0.00,0,0,0,0
2654,0.00,0,0,0,0
2704,0.00,0,0,0,0
2754,0.00,0,0,0,0
2804,0.00,0,0,0,0
2854,0.00,0,0,0,0
2904,0.00,0,0,0,0
2954,0.00,0,0,0,0
3004,0.00,0,0,0,0
3054,0.00,0,0,0,0
3104,0.00,0,0,0,0
3154,0.00,0,0,0,0
3204,0.00,0,0,0,0
3254,0.00,0,0,0,0
3304,0.00,0,0,0,0
3354,0.00,0,0,0,0
3404,0.00,0,0,0,0
3454,inf,0,0,0,0
3504,inf,0,0,0,0
3554,521.23,0,30,0,0
3604,521.23,0,30,0,0
3654,705.09,0,28,0,-6
3704,1082.41,0,25,0,-20
3755,1077.04,0,25,0,0
3805,1313.37,0,22,0,-15
3855,1555.69,0,20,0,-17
3905,1563.15,4,20,0,0
3955,1751.93,0,18,0,-16
4005,1930.50,0,16,0,-16
4055,2093.22,0,15,0,-17
4105,2241.48,-1,13,0,-15
4155,2239.81,0,13,0,0
4205,2361.83,0,12,0,0
4255,2606.43,-1,9,0,-12
4305,2699.78,0,9,0,-14
4355,2803.21,0,7,0,-16
4405,2889.62,0,7,0,-15
4455,2954.50,2,6,0,5
4505,3029.08,0,5,0,2
4555,3025.41,23,5,0,29
4605,3163.22,2,4,0,3
4655,3277.26,4,3,0,19
4705,3439.58,0,1,0,0
4755,3451.45,0,1,0,0
4805,3594.54,0,0,0,0
4855,3637.25,0,0,0,0
4905,3737.85,0,-1,0,0
4955,3751.88,0,-1,0,0
5005,3803.25,0,-2,0,0
5055,4135.65,-123,-5,0,-121
5105,3775.48,0,-1,0,0
5155,3922.59,-22,-3,0,-29
5206,3776.43,0,-1,0,0
5256,3877.97,0,-2,0,0
5306,3933.91,-72,-3,0,-71
5356,3637.25,0,0,0,0
5406,3579.95,0,0,0,0
5456,3488.37,0,1,0,0
5506,3434.07,0,1,0,0
5556,3373.06,0,2,0,1
5606,3273.68,0,3,0,5
5656,3279.41,0,3,0,-6
5706,3281.56,0,3,0,-5
5756,3272.25,0,3,0,5
5806,3314.92,-6,2,0,-14
5856,3282.28,5,3,0,3
5906,3301.78,0,2,0,9
5956,3333.33,0,2,0,-3
6006,3277.97,1,3,0,4
6056,3357.96,-1,2,0,-5
6106,3384.48,0,2,0,-1
6156,3400.59,0,1,0,0
6206,3460.21,0,1,0,0
6256,3470.62,0,1,0,0
6306,3540.24,0,0,0,0
6356,3529.41,0,0,0,0
