------ Microcontroller Engine Governor - Version: 1.12 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,0.00,0,0,0,0
137,0.00,0,0,0,0
187,0.00,0,0,0,0
237,0.00,0,0,0,0
287,0.00,0,0,0,0
337,0.00,0,0,0,0
387,0.00,0,0,0,0
437,0.00,0,0,0,0
487,0.00,0,0,0,0
537,0.00,0,0,0,0
587,0.00,0,0,0,0
637,0.00,0,0,0,0
687,0.00,0,0,0,0
737,0.00,0,0,0,0
787,0.00,0,0,0,0
837,0.00,0,0,0,0
887,0.00,0,0,0,0
937,0.00,0,0,0,0
987,0.00,0,0,0,0
1037,0.00,0,0,0,0
1087,0.00,0,0,0,0
1137,0.00,0,0,0,0
1187,0.00,0,0,0,0
1238,0.00,0,0,0,0
1288,0.00,0,0,0,0
1338,0.00,0,0,0,0
1388,0.00,0,0,0,0
1438,inf,0,0,0,0
1488,inf,0,0,0,0
1538,inf,0,0,0,0
1588,inf,0,0,0,0
1638,342.68,0,0,0,0
1688,884.90,0,0,0,0
1738,884.90,0,0,0,0
1788,883.44,0,0,0,0
1838,1291.66,0,0,0,0
1888,1627.43,0,0,0,0
1938,1641.68,0,0,0,0
1988,1874.06,0,0,0,0
2038,2064.69,0,0,0,0
2088,2207.83,0,0,0,0
2138,2346.32,0,0,0,0
2188,2440.21,0,0,0,0
2238,2532.50,0,0,0,0
2288,2519.74,0,0,0,0
2338,2593.81,0,0,0,0
2388,2663.83,0,0,0,0
2438,2720.35,0,0,0,0
2488,2758.37,0,0,0,0
2538,2859.87,0,0,0,0
2588,2925.69,0,0,0,0
2638,2919.99,0,0,0,0
2688,2963.84,0,0,0,0
2738,3073.77,0,0,0,0
2788,3129.56,0,0,0,0
2838,3121.10,0,0,0,0
2888,3142.02,0,0,0,0
2938,3157.89,0,0,0,0
2988,3157.89,0,0,0,0
3038,3157.89,0,0,0,0
3088,3199.66,0,0,0,0
3138,3184.71,0,0,0,0
3188,3215.43,0,0,0,0
3238,3252.39,0,0,0,0
3288,3260.16,0,0,0,0
3338,3275.82,0,0,0,0
3388,3298.15,0,0,0,0
3438,3306.15,0,0,0,0
3488,3361.72,0,0,0,0
3538,3337.04,0,0,0,0
3588,3337.78,0,0,0,0
3638,3379.14,0,0,0,0
3688,3379.14,0,0,0,0
3738,3370.79,0,0,0,0
3788,3331.11,0,0,0,0
3838,3346.72,0,0,0,0
3888,3419.97,0,0,0,0
3938,3403.68,0,0,0,0
3988,3462.60,0,0,0,0
4038,3436.43,0,0,0,0
4088,3470.62,0,0,0,0
4139,3487.56,0,0,0,0
4189,3461.80,0,0,0,0
4239,3469.81,0,0,0,0
4289,3471.42,0,0,0,0
4339,3513.70,0,0,0,0
4389,3496.50,0,0,0,0
4439,3478.66,0,0,0,0
4489,3478.66,0,0,0,0
4539,3532.74,0,0,0,0
4589,3513.70,0,0,0,0
4639,3522.78,0,0,0,0
4689,3523.61,0,0,0,0
4739,3509.59,0,0,0,0
4789,3559.56,0,0,0,0
4839,3496.50,0,0,0,0
4889,3558.72,0,0,0,0
4939,3523.61,0,0,0,0
