------ Microcontroller Engine Governor - Version: 1.12 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,0.00,0,0,0,0
137,0.00,0,0,0,0
187,0.00,0,0,0,0
237,0.00,0,0,0,0
287,0.00,0,0,0,0
337,0.00,0,0,0,0
387,0.00,0,0,0,0
437,0.00,0,0,0,0
487,0.00,0,0,0,0
537,0.00,0,0,0,0
587,0.00,0,0,0,0
637,0.00,0,0,0,0
687,0.00,0,0,0,0
737,0.00,0,0,0,0
787,0.00,0,0,0,0
837,0.00,0,0,0,0
887,0.00,0,0,0,0
937,0.00,0,0,0,0
987,0.00,0,0,0,0
1037,0.00,0,0,0,0
1087,0.00,0,0,0,0
1137,0.00,0,0,0,0
1187,0.00,0,0,0,0
1238,0.00,0,0,0,0
1288,0.00,0,0,0,0
1338,0.00,0,0,0,0
1388,inf,0,0,0,0
1438,inf,0,0,0,0
1488,857.24,0,0,0,0
1538,881.06,0,0,0,0
1588,1277.47,0,0,0,0
1638,1292.55,0,0,0,0
1688,1592.02,0,0,0,0
1738,1833.74,0,0,0,0
1788,2031.97,0,0,0,0
1838,2191.70,0,0,0,0
1888,2334.27,0,0,0,0
1938,2457.40,0,0,0,0
1988,2556.24,0,0,0,0
2038,2638.99,0,0,0,0
2088,2720.35,0,0,0,0
2138,2785.52,0,0,0,0
2188,2841.99,0,0,0,0
2238,2901.35,0,0,0,0
2288,2975.60,0,0,0,0
2338,3027.86,0,0,0,0
2388,3067.48,0,0,0,0
2438,3066.86,0,0,0,0
2488,3149.28,0,0,0,0
2538,3215.43,0,0,0,0
2588,3163.89,0,0,0,0
2638,3260.16,0,0,0,0
2688,3245.35,0,0,0,0
2738,3245.35,0,0,0,0
2788,3298.88,0,0,0,0
2838,3237.64,0,0,0,0
2888,3245.35,0,0,0,0
2938,3315.65,0,0,0,0
2988,3282.99,0,0,0,0
3038,3331.11,0,0,0,0
3088,3362.47,0,0,0,0
3138,3330.37,0,0,0,0
3188,3370.79,0,0,0,0
3238,3370.79,0,0,0,0
3288,3362.47,0,0,0,0
3338,3378.38,0,0,0,0
3388,3378.38,0,0,0,0
3438,3419.97,0,0,0,0
3488,3419.19,0,0,0,0
3538,3453.04,0,0,0,0
3588,3403.68,0,0,0,0
3638,3419.97,0,0,0,0
3688,3461.80,0,0,0,0
3738,3461.80,0,0,0,0
3788,3513.70,0,0,0,0
3838,3497.32,0,0,0,0
3888,3513.70,0,0,0,0
3938,3496.50,0,0,0,0
3988,3521.95,0,0,0,0
4038,3507.13,0,0,0,0
4088,3541.91,0,0,0,0
4139,3540.24,0,0,0,0
4189,3550.30,0,0,0,0
4239,3518.65,0,0,0,0
4289,3487.56,0,0,0,0
4339,3540.24,0,0,0,0
4389,3541.08,0,0,0,0
4439,3577.39,0,0,0,0
4489,3550.30,0,0,0,0
4539,3568.03,0,0,0,0
4589,3557.87,0,0,0,0
4639,3585.94,0,0,0,0
4689,3573.13,0,0,0,0
4739,3613.59,0,0,0,0
4789,3572.28,0,0,0,0
4839,3613.59,0,0,0,0
4889,3540.24,0,0,0,0
4939,3577.39,0,0,0,0
