Time	RPM	Steps Remaining	 PID p	 PID i	 PID d
1739	0	0	0	0	0
1789	0	0	0	0	0
1839	0	0	0	0	0
1889	0	0	0	0	0
1939	0	0	0	0	0
1989	0	0	0	0	0
2039	0	0	0	0	0
2089	0	0	0	0	0
2139	0	0	0	0	0
2189	0	0	0	0	0
2239	0	0	0	0	0
2289	0	0	0	0	0
2339	0	0	0	0	0
2390	0	0	0	0	0
2440	0	0	0	0	0
2490	0	0	0	0	0
2540	0	0	0	0	0
2590	0	0	0	0	0
2640	0	0	0	0	0
2690	0	0	0	0	0
2740	0	0	0	0	0
2790	0	0	0	0	0
2840	0	0	0	0	0
2890	0	0	0	0	0
2940	0	0	0	0	0
2990	0	0	0	0	0
3040	0	0	0	0	0
3090	0	0	0	0	0
3140	0	0	0	0	0
3190	0	0	0	0	0
3240	0	0	0	0	0
3290	0	0	0	0	0
3340	0	0	0	0	0
3390	0	0	0	0	0
3440	0	0	0	0	0
3490	0	0	0	0	0
3540	0	0	0	0	0
3590	0	0	0	0	0
3640	0	0	0	0	0
3690	0	0	0	0	0
3740	0	0	0	0	0
3790	0	0	0	0	0
3840	0	0	0	0	0
3890	0	0	0	0	0
3940	0	0	0	0	0
3990	0	0	0	0	0
4040	0	0	0	0	0
4090	0	0	0	0	0
4140	0	0	0	0	0
4190	0	0	0	0	0
4240	0	0	0	0	0
4290	0	0	0	0	0
4340	0	0	0	0	0
4390	0	0	0	0	0
4440	0	0	0	0	0
4490	0	0	0	0	0
4540	0	0	0	0	0
4590	0	0	0	0	0
4640	0	0	0	0	0
4690	0	0	0	0	0
4740	0	0	0	0	0
4790	0	0	0	0	0
4840	0	0	0	0	0
4890	0	0	0	0	0
4940	0	0	0	0	0
4990	0	0	0	0	0
5040	0	0	0	0	0
5090	0	0	0	0	0
5140	0	0	0	0	0
5190	inf	0	0	0	0
5240	inf	0	0	0	0
5291	inf	0	0	0	0
5341	445.92	38	63	0	0
5391	445.92	0	63	0	0
5441	558.64	36	60	0	-6
5491	937.32	13	53	0	-36
5541	937.32	0	53	0	-36
5591	934.7	14	53	0	0
5641	1306.73	0	45	0	-48
5691	1587.3	0	40	0	-40
5741	1674.11	0	38	0	-14
5791	1884.42	22	34	0	-2
5841	2118.94	14	29	0	-12
5891	2264.83	0	26	0	-32
5941	2398.85	0	24	0	-31
5991	2632.5	10	19	0	-6
6041	2633.89	49	19	0	39
6091	2882.95	0	14	0	-17
6141	3006.61	-21	11	0	-39
6191	3121.1	-22	9	0	-46
6241	3186.07	7	8	0	9
6291	3338.53	-41	5	0	-51
6341	3421.53	2	3	0	0
6391	3432.49	0	3	0	0
6441	3563.79	0	0	0	0
6491	3568.88	0	0	0	0
6541	3568.03	0	0	0	0
6591	3576.54	0	1	0	0
6641	3684.6	0	-1	0	0
6691	3690.94	0	-1	0	0
6742	3762.23	-2	-3	0	0
6792	3791.71	0	-3	0	0
6842	3787.88	0	-3	0	0
6892	3852.08	0	-5	0	0
6942	3786.92	0	-3	0	0
6992	3829.46	0	-4	0	0
7042	3761.28	0	-3	0	0
7092	3951.53	-153	-7	0	-148
7142	3685.5	0	-1	0	0
7192	3612.72	0	0	0	0
7242	3614.46	0	0	0	0
7292	3532.74	0	1	0	0
7342	3606.64	0	0	0	0
7392	3537.74	0	1	0	0
7442	3595.4	0	1	0	0
7492	3534.4	0	1	0	0
7542	3547.78	0	1	0	0
7592	3587.66	0	-2	0	0
7642	3574.83	0	-1	0	0
7692	3540.24	0	1	0	0
7742	3542.75	0	1	0	0
7792	3495.69	0	2	0	0
7842	3494.87	0	2	0	0
7892	3558.72	0	0	0	0
7942	3547.78	0	1	0	0
7992	3629.32	0	1	0	0
8042	3631.96	0	0	0	0
8092	3623.19	0	0	0	0
