------ Microcontroller Engine Governor - Version: 1.13 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        30       |  PID I Precision:         50
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,inf,0,0,0,0
137,3628.45,0,0,0,0
187,3623.19,0,0,0,0
237,3592.81,0,0,0,0
287,3637.25,0,0,0,0
337,3628.45,0,0,0,0
387,3610.98,0,0,0,0
437,3607.50,0,0,0,0
487,3677.37,0,0,0,0
537,3656.75,0,0,0,0
587,3669.28,0,0,0,0
637,3657.64,0,0,0,0
687,3662.11,0,0,0,0
737,3592.81,0,0,0,0
787,3562.10,0,0,0,0
837,3570.58,0,0,0,0
887,3629.32,0,0,0,0
937,3600.58,0,0,0,0
987,3638.13,0,0,0,0
1037,3577.39,0,0,0,0
1087,3599.71,0,0,0,0
1137,3599.71,0,0,0,0
1187,3645.20,0,0,0,0
1238,3610.11,0,0,0,0
1288,3638.13,0,0,0,0
1338,3627.57,0,0,0,0
1388,3645.20,0,0,0,0
1438,3610.11,0,0,0,0
1488,3638.13,0,0,0,0
1538,3638.13,0,0,0,0
1588,3629.32,0,0,0,0
1638,3579.95,0,0,0,0
1688,3661.22,0,0,0,0
1738,3585.09,0,0,0,0
1788,3653.19,0,0,0,0
1838,3638.13,0,0,0,0
1888,3629.32,0,0,0,0
1938,3628.45,0,0,0,0
1988,3653.19,0,0,0,0
2038,3597.98,0,0,0,0
2088,3656.75,0,0,0,0
2138,3591.95,0,-1,0,0
2188,3645.20,0,0,0,0
2238,3617.94,0,0,0,0
2288,3640.78,0,0,0,0
2338,3645.20,0,0,0,0
2388,3600.58,0,0,0,0
2438,3649.63,0,0,0,0
2488,3627.57,0,0,0,0
2538,3646.09,0,0,0,0
2588,3637.25,0,0,0,0
2638,3631.96,0,0,0,0
2688,3635.48,0,0,0,0
2738,3645.20,0,0,0,0
2788,3637.25,0,0,0,0
2838,3659.43,0,0,0,0
2888,3656.75,0,0,0,0
2938,3646.09,0,0,0,0
2988,3613.59,0,0,0,0
3038,3638.13,0,0,0,0
3088,3612.72,0,0,0,0
3138,3615.33,0,0,0,0
3188,3598.85,0,0,0,0
3238,3607.50,0,0,0,0
3288,3612.72,0,0,0,0
3338,3662.11,0,0,0,0
3388,3613.59,0,0,0,0
3438,3615.33,0,0,0,0
3488,3605.77,0,0,0,0
3538,3644.31,0,0,0,0
3588,3617.94,0,0,0,0
3638,3629.32,0,0,0,0
3688,3611.85,0,0,0,0
3738,3653.19,0,0,0,0
