------ Microcontroller Engine Governor - Version: 1.13 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        30       |  PID I Precision:         50
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,inf,0,0,0,0
137,3685.50,0,0,0,0
187,3657.64,0,0,0,0
237,3677.37,0,0,0,0
287,3618.82,0,0,0,0
337,3651.41,0,0,0,0
387,3610.11,0,0,0,0
437,3684.60,0,0,0,0
487,3610.11,0,0,0,0
537,3669.28,0,0,0,0
587,3667.48,0,0,0,0
637,3669.28,0,0,0,0
687,3647.86,0,0,0,0
737,3656.75,0,0,0,0
787,3638.13,0,0,0,0
837,3684.60,0,0,0,0
887,3610.11,0,0,0,0
937,3657.64,0,0,0,0
987,3648.75,0,0,0,0
1037,3629.32,0,0,0,0
1087,3653.19,0,0,0,0
1137,3638.13,0,0,0,0
1187,3662.11,0,0,0,0
1238,3637.25,0,0,0,0
1288,3656.75,0,0,0,0
1338,3647.86,0,0,0,0
1388,3677.37,0,0,0,0
1438,3647.86,0,0,0,0
1488,3696.40,0,0,0,0
1538,3619.69,0,0,0,0
1588,3622.31,0,0,0,0
1638,3618.82,0,0,0,0
1688,3661.22,0,0,0,0
1738,3629.32,0,0,0,0
1788,3605.77,0,0,0,0
1838,3591.09,0,0,0,0
1888,3590.23,0,0,0,0
1938,3582.52,0,0,0,0
1988,3643.43,0,0,0,0
2038,3636.36,0,0,0,0
2088,3621.44,0,0,0,0
2138,3599.71,0,0,0,0
2188,3630.20,0,0,0,0
2238,3585.09,0,0,0,0
2288,3629.32,0,0,0,0
2338,3619.69,0,0,0,0
2388,3614.46,0,0,0,0
2438,3572.28,0,0,0,0
2488,3630.20,0,0,0,0
2538,3610.11,0,0,0,0
2588,3606.64,0,0,0,0
2638,3591.09,0,0,0,0
2688,3622.31,0,0,0,0
2738,3577.39,0,0,0,0
2788,3630.20,0,0,0,0
2838,3585.09,0,0,0,0
2888,3576.54,0,0,0,0
2938,3591.09,0,0,0,0
