------ Microcontroller Engine Governor - Version: 1.12 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,0.00,0,0,0,0
137,0.00,0,0,0,0
187,0.00,0,0,0,0
237,0.00,0,0,0,0
287,0.00,0,0,0,0
337,0.00,0,0,0,0
387,0.00,0,0,0,0
437,0.00,0,0,0,0
487,0.00,0,0,0,0
537,0.00,0,0,0,0
587,0.00,0,0,0,0
637,0.00,0,0,0,0
687,0.00,0,0,0,0
737,0.00,0,0,0,0
787,0.00,0,0,0,0
837,0.00,0,0,0,0
887,0.00,0,0,0,0
937,0.00,0,0,0,0
987,0.00,0,0,0,0
1037,0.00,0,0,0,0
1087,0.00,0,0,0,0
1137,0.00,0,0,0,0
1187,0.00,0,0,0,0
1238,0.00,0,0,0,0
1288,0.00,0,0,0,0
1338,0.00,0,0,0,0
1388,0.00,0,0,0,0
1438,0.00,0,0,0,0
1488,0.00,0,0,0,0
1538,inf,0,0,0,0
1588,inf,0,0,0,0
1638,inf,0,0,0,0
1688,418.26,0,0,0,0
1738,418.26,0,0,0,0
1788,600.14,0,0,0,0
1838,600.14,0,0,0,0
1888,558.20,0,0,0,0
1938,558.20,0,0,0,0
1988,529.27,0,0,0,0
2038,529.27,0,0,0,0
2088,529.27,0,0,0,0
2138,500.32,0,0,0,0
2188,904.43,0,0,0,0
2238,904.43,0,0,0,0
2288,1418.04,0,0,0,0
2338,1451.24,0,0,0,0
2388,1807.23,0,0,0,0
2438,2216.64,0,0,0,0
2488,2427.58,0,0,0,0
2538,2700.27,0,0,0,0
2588,2919.99,0,0,0,0
2638,3330.37,0,0,0,0
2688,3496.50,0,0,0,0
2738,3628.45,0,0,0,0
2788,3657.64,0,0,0,0
2838,3600.58,0,0,0,0
2888,3541.08,0,0,0,0
2938,3559.56,0,0,0,0
2988,3601.44,0,0,0,0
3038,3589.38,0,0,0,0
3088,3612.72,0,0,0,0
3138,3540.24,0,0,0,0
3188,3575.69,0,0,0,0
3238,3571.43,0,0,0,0
3288,3614.46,0,0,0,0
3338,3573.13,0,0,0,0
3388,3604.90,0,0,0,0
3438,3566.33,0,0,0,0
3488,3603.17,0,0,0,0
3538,3568.03,0,0,0,0
3588,3586.80,0,0,0,0
3638,3573.13,0,0,0,0
3688,3613.59,0,0,0,0
3738,3557.87,0,0,0,0
3788,3594.54,0,0,0,0
3838,3568.03,0,0,0,0
3888,3595.40,0,0,0,0
3938,3573.13,0,0,0,0
3988,3604.04,0,0,0,0
4038,3580.81,0,0,0,0
4088,3586.80,0,0,0,0
4139,3559.56,0,0,0,0
4189,3604.90,0,0,0,0
4239,3548.62,0,0,0,0
4289,3604.90,0,0,0,0
4339,3577.39,0,0,0,0
4389,3604.90,0,0,0,0
4439,3575.69,0,0,0,0
4489,3612.72,0,0,0,0
4539,3601.44,0,0,0,0
4589,3614.46,0,0,0,0
4639,3580.81,0,0,0,0
4689,3603.17,0,0,0,0
4739,3589.38,0,0,0,0
4789,3603.17,0,0,0,0
4839,3581.66,0,0,0,0
4889,3604.04,0,0,0,0
4939,3568.03,0,0,0,0
4989,3596.26,0,0,0,0
