------ Microcontroller Engine Governor - Version: 1.13 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.003000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,inf,0,0,0,0
137,3570.58,0,0,0,0
187,3568.03,0,0,0,0
237,3576.54,0,0,0,0
287,3604.90,0,0,0,0
337,3591.95,0,0,0,0
387,3605.77,0,0,0,0
437,3580.81,0,0,0,0
487,3586.80,0,0,0,0
537,3581.66,0,0,0,0
587,3624.06,0,0,0,0
637,3550.30,0,0,0,0
687,3585.09,0,0,0,0
737,3558.72,0,0,0,0
787,3577.39,0,0,0,0
837,3587.66,0,0,0,0
887,3553.66,0,0,0,0
937,3579.10,0,0,0,0
987,3526.92,0,0,0,0
1037,3573.13,0,0,0,0
1087,3518.65,0,0,0,0
1137,3574.83,0,0,0,0
1187,3546.10,0,0,0,0
1238,3541.91,0,0,0,0
1288,3518.65,0,0,0,0
1338,3556.19,0,0,0,0
1388,3538.57,0,0,0,0
1438,3593.67,0,0,0,0
1488,3564.64,0,0,0,0
1538,3593.67,0,0,0,0
1588,3588.52,0,0,0,0
1638,3606.64,0,0,0,0
1688,3563.79,0,0,0,0
1738,3610.98,0,0,0,0
1788,3538.57,0,0,0,0
1838,3564.64,0,0,0,0
1888,3556.19,0,0,0,0
1938,3564.64,0,0,0,0
1988,3509.59,0,0,0,0
2038,3509.59,0,0,0,0
2088,3563.79,0,0,0,0
2138,3551.98,0,0,0,0
2188,3610.98,0,0,0,0
2238,3598.85,0,0,0,0
2288,3573.13,0,0,0,0
2338,3579.95,0,0,0,0
2388,3631.08,0,0,0,0
2438,3597.98,0,0,0,0
2488,3621.44,0,0,0,0
2538,3606.64,0,0,0,0
2588,3612.72,0,0,0,0
2638,3606.64,0,0,0,0
2688,3645.20,0,0,0,0
2738,3626.69,0,0,0,0
2788,3664.79,0,0,0,0
2838,3646.09,0,0,0,0
2888,3684.60,0,0,0,0
2938,3714.71,0,-1,0,0
2988,3698.22,0,0,0,0
3038,3725.78,0,-1,0,0
3088,3699.14,0,0,0,0
3138,3711.03,0,-1,0,0
3188,3699.14,0,0,0,0
3238,3724.86,0,-1,0,0
3288,3655.86,0,0,0,0
3338,3685.50,0,0,0,0
3388,3636.36,0,0,0,0
3438,3636.36,0,0,0,0
3488,3626.69,0,0,0,0
3538,3674.67,0,0,0,0
3588,3636.36,0,0,0,0
3638,3665.69,0,0,0,0
3688,3636.36,0,0,0,0
3738,3655.86,0,0,0,0
3788,3636.36,0,0,0,0
3838,3617.07,0,0,0,0
3888,3617.07,0,0,0,0
3938,3615.33,0,0,0,0
3988,3577.39,0,0,0,0
4038,3631.08,0,0,0,0
4088,3617.07,0,0,0,0
4139,3565.49,0,0,0,0
4189,3555.34,0,0,0,0
4239,3584.23,0,0,0,0
4289,3564.64,0,0,0,0
4339,3593.67,0,0,0,0
4389,3569.73,0,0,0,0
4439,3620.56,0,0,0,0
4489,3556.19,0,0,0,0
4539,3565.49,0,0,0,0
4589,3509.59,0,0,0,0
4639,3529.41,0,0,0,0
4689,3529.41,0,0,0,0
4739,3546.94,0,0,0,0
4789,3545.26,0,0,0,0
4839,3584.23,0,0,0,0
4889,3568.88,0,0,0,0
4939,3584.23,0,0,0,0
4989,3518.65,0,0,0,0
5039,3584.23,0,0,0,0
5089,3528.58,0,0,0,0
5139,3593.67,0,0,0,0
5189,3546.10,0,0,0,0
5239,3505.49,0,0,0,0
5289,3565.49,0,0,0,0
5339,3528.58,0,0,0,0
5389,3573.98,0,0,0,0
5439,3557.03,0,0,0,0
5489,3582.52,0,0,0,0
5539,3546.94,0,0,0,0
5590,3573.13,0,0,0,0
5640,3574.83,0,0,0,0
5690,3611.85,0,0,0,0
5740,3588.52,0,0,0,0
5790,3573.13,0,0,0,0
5840,3573.98,0,0,0,0
5890,3556.19,0,0,0,0
5940,3537.74,0,0,0,0
5990,3591.95,0,0,0,0
6040,3577.39,0,0,0,0
6090,3602.31,0,0,0,0
6140,3585.09,0,0,0,0
6190,3546.10,0,0,0,0
6240,3537.74,0,0,0,0
6290,3546.94,0,0,0,0
6340,3518.65,0,0,0,0
6390,3523.61,0,0,0,0
6440,3546.10,0,0,0,0
6490,3529.41,0,0,0,0
6540,3556.19,0,0,0,0
6590,3546.94,0,0,0,0
