------ Microcontroller Engine Governor - Version: 1.13 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.010000   Ki: 0.000000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        70       |  PID I Precision:         90
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,inf,0,0,0,0
137,3622.31,0,0,0,0
187,3608.37,0,0,0,0
237,3629.32,0,0,0,0
287,3623.19,0,0,0,0
337,3652.30,0,0,0,0
387,3623.19,0,0,0,0
437,3677.37,0,0,0,0
487,3568.88,0,0,0,0
537,3577.39,0,0,0,0
587,3576.54,0,0,0,0
637,3614.46,0,0,0,0
687,3585.09,0,0,0,0
737,3606.64,0,0,0,0
787,3561.25,0,0,0,0
837,3683.69,0,0,0,0
887,3547.78,0,0,0,0
937,3575.69,0,0,0,0
987,3547.78,0,0,0,0
1037,3547.78,0,0,0,0
1087,3545.26,0,0,0,0
1137,3548.62,0,0,0,0
1187,3605.77,0,0,0,0
1238,3581.66,0,0,0,0
1288,3606.64,0,0,0,0
1338,3576.54,0,0,0,0
1388,3629.32,0,0,0,0
1438,3607.50,0,0,0,0
1488,3644.31,0,0,0,0
1538,3623.19,0,0,0,0
1588,3639.01,0,0,0,0
1638,3572.28,0,0,0,0
1688,3638.13,0,0,0,0
1738,3668.38,0,0,0,0
1788,3608.37,0,0,0,0
1838,3654.08,0,0,0,0
1888,3599.71,0,0,0,0
1938,3630.20,0,0,0,0
1988,3598.85,0,0,0,0
2038,3615.33,0,0,0,0
2088,3576.54,0,0,0,0
2138,3592.81,0,0,0,0
2188,3582.52,0,0,0,0
2238,3581.66,0,0,0,0
2288,3627.57,0,0,0,0
2338,3654.08,0,0,0,0
2388,3608.37,0,0,0,0
2438,3613.59,0,0,0,0
2488,3630.20,0,0,0,0
2538,3629.32,0,0,0,0
2588,3607.50,0,0,0,0
2638,3606.64,0,0,0,0
2688,3629.32,0,0,0,0
2738,3583.37,0,0,0,0
2788,3610.11,0,0,0,0
2838,3582.52,0,0,0,0
2888,3607.50,0,0,0,0
2938,3630.20,0,0,0,0
2988,3638.13,0,0,0,0
3038,3610.11,0,0,0,0
3088,3607.50,0,0,0,0
3138,3621.44,0,0,0,0
3188,3607.50,0,0,0,0
3238,3583.37,0,0,0,0
3288,3623.19,0,0,0,0
3338,3629.32,0,0,0,0
3388,3638.13,0,0,0,0
3438,3622.31,0,0,0,0
3488,3591.09,0,0,0,0
3538,3638.13,0,0,0,0
3588,3592.81,0,0,0,0
3638,3621.44,0,0,0,0
3688,3615.33,0,0,0,0
3738,3661.22,0,0,0,0
3788,3630.20,0,0,0,0
3838,3623.19,0,0,0,0
3888,3600.58,0,0,0,0
3938,3646.09,0,0,0,0
3988,3598.85,0,0,0,0
4038,3646.09,0,0,0,0
4088,3607.50,0,0,0,0
4139,3606.64,0,0,0,0
4189,3598.85,0,0,0,0
4239,3599.71,0,0,0,0
4289,3593.67,0,0,0,0
4339,3590.23,0,0,0,0
4389,3540.24,0,0,0,0
4439,3575.69,0,0,0,0
4489,3547.78,0,0,0,0
4539,3590.23,0,0,0,0
4589,3562.10,0,0,0,0
4639,3584.23,0,0,0,0
4689,3592.81,0,0,0,0
4739,3561.25,0,-2,0,0
4789,3591.09,0,-2,0,0
4839,3585.09,0,-2,0,0
4889,3591.95,0,-2,0,0
4939,3585.09,0,-2,0,0
4989,3607.50,0,-2,0,0
5039,3608.37,0,-2,0,0
5089,3645.20,0,-2,0,0
5139,3623.19,0,-2,0,0
5189,3653.19,0,-2,0,0
5239,3591.09,0,-2,0,0
5289,3646.09,0,-2,0,0
5339,3623.19,0,0,0,0
5389,3621.44,0,0,0,0
5439,3592.81,0,0,0,0
5489,3607.50,0,0,0,0
5539,3608.37,0,0,0,0
5590,3600.58,0,0,0,0
5640,3571.43,0,0,0,0
5690,3606.64,0,0,0,0
5740,3577.39,0,0,0,0
5790,3629.32,0,0,0,0
5840,3575.69,0,0,0,0
5890,3621.44,0,0,0,0
5940,3568.03,0,0,0,0
5990,3605.77,0,0,0,0
6040,3598.85,0,0,0,0
6090,3671.97,0,0,0,0
6140,3615.33,0,0,0,0
