------ Microcontroller Engine Governor - Version: 1.13 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.005000   Kd: 6.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         800     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
1543,0.00,0,0,0,0
1593,0.00,0,0,0,0
1643,0.00,0,0,0,0
1693,0.00,0,0,0,0
1743,0.00,0,0,0,0
1793,0.00,0,0,0,0
1843,0.00,0,0,0,0
1893,0.00,0,0,0,0
1943,0.00,0,0,0,0
1993,0.00,0,0,0,0
2043,0.00,0,0,0,0
2093,0.00,0,0,0,0
2143,0.00,0,0,0,0
2193,0.00,0,0,0,0
2243,0.00,0,0,0,0
2293,0.00,0,0,0,0
2343,0.00,0,0,0,0
2393,0.00,0,0,0,0
2443,0.00,0,0,0,0
2493,0.00,0,0,0,0
2543,0.00,0,0,0,0
2593,0.00,0,0,0,0
2643,0.00,0,0,0,0
2693,0.00,0,0,0,0
2743,0.00,0,0,0,0
2793,0.00,0,0,0,0
2843,0.00,0,0,0,0
2893,0.00,0,0,0,0
2944,0.00,0,0,0,0
2994,0.00,0,0,0,0
3044,0.00,0,0,0,0
3094,0.00,0,0,0,0
3144,0.00,0,0,0,0
3194,inf,0,0,0,0
3244,inf,0,0,0,0
3294,471.03,55,62,0,0
3344,471.03,6,62,0,0
3394,1002.00,0,51,0,-53
3444,959.26,21,52,0,4
3494,949.37,31,53,0,0
3544,928.05,48,53,0,1
3594,1253.97,0,46,0,-39
3644,1300.50,27,45,0,-6
3694,1619.70,0,39,0,-53
3744,1970.57,-11,32,0,-53
3794,2153.01,-7,28,0,-36
3844,2283.80,0,26,0,-30
3894,2630.66,-16,19,0,-37
3944,2736.23,-9,17,0,-33
3994,2896.31,-5,14,0,-34
4044,2884.62,46,14,0,35
4094,3187.42,0,8,0,-23
4144,3165.22,12,8,0,12
4194,3536.07,0,1,0,0
4244,3519.47,0,1,0,0
4294,3546.94,0,1,0,0
4344,3659.43,0,-1,0,0
4395,3704.62,0,-2,0,0
4445,3801.32,0,-4,-1,0
4495,3830.44,0,-4,0,0
4545,3917.47,-13,-6,0,-20
4595,4084.97,-138,-9,0,-131
4645,3778.34,0,-3,0,0
4695,3977.72,-77,-7,0,-79
4745,3779.29,0,-3,0,0
4795,3881.99,0,-5,0,0
4845,3791.71,-1,-3,0,0
4895,3769.79,0,-3,0,0
4945,3781.19,0,-3,0,0
4995,3740.65,0,-2,0,0
5045,3699.14,0,-1,0,0
5095,3684.60,0,-1,0,0
5145,3678.27,0,-1,0,0
5195,3641.66,0,0,0,0
5245,3573.98,0,0,0,0
5295,3588.52,0,0,0,0
5345,3645.20,0,0,0,0
5395,3573.13,0,0,0,0
5445,3639.89,0,0,0,0
5495,3631.08,0,0,0,0
5545,3675.57,0,-1,0,0
5595,3628.45,0,0,0,0
5645,3624.94,0,0,0,0
5695,3607.50,0,0,0,0
5745,3597.98,0,0,0,0
5795,3598.85,0,0,0,0
5846,3593.67,0,0,0,0
5896,3579.10,0,0,0,0
5946,3612.72,0,0,0,0
5996,3599.71,0,0,0,0
6046,3602.31,0,0,0,0
6096,3597.98,0,0,0,0
6146,3630.20,0,0,0,0
6196,3597.98,0,0,0,0
6246,3605.77,0,0,0,0
6296,3607.50,0,0,0,0
6346,3655.86,0,-1,0,0
6396,3621.44,0,0,0,0
6446,3654.97,0,-1,0,0
6496,3639.89,0,0,0,0
6546,3675.57,0,-1,0,0
6596,3631.08,0,0,0,0
6646,3664.79,0,-1,0,0
6696,3605.77,0,0,0,0
6746,3671.07,0,-1,0,0
6796,3631.08,0,0,0,0
6846,3631.08,0,0,0,0
6896,3646.09,0,0,0,0
6946,3621.44,0,0,0,0
6996,3631.08,0,0,0,0
7046,3588.52,0,0,0,0
7096,3583.37,0,0,0,0
7146,3546.94,0,1,0,0
7196,3528.58,0,1,0,0
7246,3573.13,0,0,0,0
7296,3512.88,0,1,0,0
7346,3586.80,0,0,0,0
7396,3563.79,0,0,0,0
7446,3602.31,0,0,0,0
7496,3597.98,0,0,0,0
7546,3602.31,0,0,0,0
7596,3598.85,0,0,0,0
7646,3602.31,0,0,0,0
7696,3579.10,0,0,0,0
7746,3614.46,0,0,0,0
7796,3607.50,0,0,0,0
7846,3611.85,0,0,0,0
7896,3597.98,0,0,0,0
7946,3617.07,0,0,0,0
7996,3606.64,0,0,0,0
8046,3620.56,0,0,0,0
8096,3607.50,0,0,0,0
8146,3617.07,0,0,0,0
8196,3588.52,0,0,0,0
8246,3646.09,0,0,0,0
8296,3591.95,0,0,0,0
8346,3610.98,0,0,0,0
8396,3605.77,0,0,0,0
8446,3646.09,0,0,0,0
8496,3573.98,0,0,0,0
8546,3573.13,0,0,0,0
8596,3582.52,0,0,0,0
8646,3583.37,0,0,0,0
8696,3556.19,0,0,0,0
8747,3610.98,0,0,0,0
8797,3597.12,0,0,0,0
8847,3617.07,0,0,0,0
8897,3617.07,0,0,0,0
8947,3655.86,0,-1,0,0
8997,3597.98,0,0,0,0
9047,3646.09,0,0,0,0
9097,3630.20,0,0,0,0
9147,3645.20,0,0,0,0
9197,3631.08,0,0,0,0
9247,3654.97,0,-1,0,0
9297,3624.94,0,0,0,0
9347,3664.79,0,-1,0,0
9397,3649.63,0,0,0,0
9447,3689.13,0,-1,0,0
9497,3678.27,0,-1,0,0
9547,3649.63,0,0,0,0
9597,3649.63,0,0,0,0
9647,3659.43,0,-1,0,0
9697,3630.20,0,0,0,0
9747,3655.86,0,-1,0,0
9797,3645.20,0,0,0,0
9847,3569.73,0,0,0,0
9897,3602.31,0,0,0,0
9947,3621.44,0,0,0,0
9997,3543.59,0,1,0,0
10047,3609.24,0,0,0,0
10097,3494.87,0,2,0,0
10147,3505.49,0,1,0,0
10198,3503.85,0,1,0,0
10248,3549.46,0,1,0,0
10298,3537.74,0,1,0,0
10348,3557.87,0,0,0,0
10398,3546.94,0,1,0,0
10448,3591.95,0,0,0,0
10498,3531.90,0,1,0,0
10548,3578.24,0,0,0,0
10598,3556.19,0,0,0,0
10648,3577.39,0,0,0,0
10698,3585.09,0,0,0,0
10748,3631.08,0,0,0,0
10798,3631.08,0,0,0,0
10848,3664.79,0,-1,0,0
10898,3626.69,0,0,0,0
10948,3664.79,0,-1,0,0
10998,3649.63,0,0,0,0
11048,3679.18,0,-1,0,0
11098,3659.43,0,-1,0,0
11148,3649.63,0,0,0,0
11198,3607.50,0,0,0,0
11248,3658.54,0,-1,0,0
11298,3626.69,0,0,0,0
11348,3597.98,0,0,0,0
11398,3577.39,0,0,0,0
11448,3610.11,0,0,0,0
11498,3596.26,0,0,0,0
11548,3621.44,0,0,0,0
11598,3577.39,0,0,0,0
11648,3604.90,0,0,0,0
11698,3563.79,0,0,0,0
11748,3621.44,0,0,0,0
11798,3588.52,0,0,0,0
11848,3602.31,0,0,0,0
11898,3597.98,0,0,0,0
11948,3582.52,0,0,0,0
11998,3565.49,0,0,0,0
12048,3563.79,0,0,0,0
12098,3564.64,0,0,0,0
12148,3591.95,0,0,0,0
12198,3577.39,0,0,0,0
12248,3565.49,0,0,0,0
12298,3562.95,0,0,0,0
12348,3556.19,0,0,0,0
12398,3546.10,0,1,0,0
12448,3581.66,0,0,0,0
12498,3563.79,0,0,0,0
12548,3568.03,0,0,0,0
12598,3583.37,0,0,0,0
12648,3551.98,0,0,0,0
12698,3582.52,0,0,0,0
12748,3579.10,0,0,0,0
12798,3635.48,0,0,0,0
12848,3587.66,0,0,0,0
12898,3591.09,0,0,0,0
12948,3587.66,0,0,0,0
12998,3600.58,0,0,0,0
13048,3588.52,0,0,0,0
13099,3612.72,0,0,0,0
13149,3555.34,0,0,0,0
13199,3621.44,0,0,0,0
13249,3597.12,0,0,0,0
13299,3588.52,0,0,0,0
13349,3597.98,0,0,0,0
13399,3606.64,0,0,0,0
13449,3617.07,0,0,0,0
13499,3654.97,0,-1,0,0
13549,3607.50,0,0,0,0
13599,3650.52,0,-1,0,0
13649,3617.07,0,0,0,0
13699,3631.08,0,0,0,0
13749,3626.69,0,0,0,0
13799,3610.98,0,0,0,0
13849,3610.98,0,0,0,0
13899,3635.48,0,0,0,0
13949,3654.97,0,-1,0,0
13999,3654.97,0,-1,0,0
14049,3732.27,-1,-2,0,0
14099,3640.78,0,0,0,0
14149,3636.36,0,0,0,0
14199,3587.66,0,0,0,0
14249,3602.31,0,0,0,0
14299,3588.52,0,0,0,0
14349,3573.98,0,0,0,0
14399,3555.34,0,0,0,0
14449,3538.57,0,1,0,0
14499,3570.58,0,0,0,0
14550,3570.58,0,0,0,0
14600,3591.95,0,0,0,0
14650,3546.94,0,1,0,0
14700,3602.31,0,0,0,0
14750,3573.13,0,0,0,0
14800,3600.58,0,0,0,0
14850,3564.64,0,0,0,0
14900,3514.53,0,1,0,0
14950,3521.13,0,1,0,0
15000,3567.18,0,0,0,0
15050,3503.85,0,1,0,0
15100,3521.13,0,1,0,0
15150,3526.92,0,1,0,0
15200,3550.30,0,0,0,0
15250,3547.78,0,1,0,0
15300,3586.80,0,0,0,0
15350,3585.09,0,0,0,0
15400,3634.60,0,0,0,0
15450,3587.66,0,0,0,0
15500,3636.36,0,0,0,0
15550,3617.07,0,0,0,0
15600,3646.09,0,0,0,0
15650,3630.20,0,0,0,0
15700,3643.43,0,0,0,0
15750,3630.20,0,0,0,0
15800,3664.79,0,-1,0,0
15850,3659.43,0,-1,0,0
15900,3679.18,0,-1,0,0
15950,3660.32,0,-1,0,0
16000,3690.04,0,-1,0,0
16050,3649.63,0,0,0,0
16100,3669.28,0,-1,0,0
16150,3626.69,0,0,0,0
16200,3674.67,0,-1,0,0
16250,3647.86,0,0,0,0
16300,3664.79,0,-1,0,0
16350,3640.78,0,0,0,0
16400,3644.31,0,0,0,0
16450,3631.08,0,0,0,0
16500,3639.01,0,0,0,0
16550,3621.44,0,0,0,0
16600,3588.52,0,0,0,0
16650,3579.10,0,0,0,0
16700,3621.44,0,0,0,0
16750,3597.98,0,0,0,0
16800,3574.83,0,0,0,0
16850,3527.75,0,1,0,0
16900,3543.59,0,1,0,0
16950,3546.94,0,1,0,0
17000,3568.03,0,0,0,0
17050,3527.75,0,1,0,0
17100,3536.07,0,1,0,0
17150,3514.53,0,1,0,0
17200,3541.08,0,1,0,0
17250,3485.94,0,2,0,0
17300,3558.72,0,0,0,0
17350,3545.26,0,1,0,0
17400,3602.31,0,0,0,0
17451,3607.50,0,0,0,0
17501,3654.97,0,-1,0,0
17551,3607.50,0,0,0,0
17601,3684.60,0,-1,0,0
17651,3639.89,0,0,0,0
17701,3717.47,0,-2,0,0
17751,3659.43,0,-1,0,0
17801,3679.18,0,-1,0,0
