Time	RPM	Steps Remaining	 PID p	 PID i	 PID d
1617	0	0	0	0	0
1667	0	0	0	0	0
1717	0	0	0	0	0
1767	0	0	0	0	0
1817	0	0	0	0	0
1867	0	0	0	0	0
1917	0	0	0	0	0
1967	0	0	0	0	0
2017	0	0	0	0	0
2067	0	0	0	0	0
2117	0	0	0	0	0
2167	0	0	0	0	0
2217	0	0	0	0	0
2267	0	0	0	0	0
2317	0	0	0	0	0
2367	0	0	0	0	0
2417	0	0	0	0	0
2467	0	0	0	0	0
2518	0	0	0	0	0
2568	0	0	0	0	0
2618	0	0	0	0	0
2668	0	0	0	0	0
2718	0	0	0	0	0
2768	0	0	0	0	0
2818	0	0	0	0	0
2868	0	0	0	0	0
2918	0	0	0	0	0
2968	0	0	0	0	0
3018	0	0	0	0	0
3068	0	0	0	0	0
3118	0	0	0	0	0
3168	0	0	0	0	0
3218	0	0	0	0	0
3268	0	0	0	0	0
3318	0	0	0	0	0
3368	0	0	0	0	0
3418	0	0	0	0	0
3468	0	0	0	0	0
3518	0	0	0	0	0
3568	0	0	0	0	0
3618	0	0	0	0	0
3668	0	0	0	0	0
3718	0	0	0	0	0
3768	0	0	0	0	0
3818	0	0	0	0	0
3868	0	0	0	0	0
3918	0	0	0	0	0
3968	0	0	0	0	0
4018	0	0	0	0	0
4068	0	0	0	0	0
4118	0	0	0	0	0
4168	0	0	0	0	0
4218	0	0	0	0	0
4268	0	0	0	0	0
4318	0	0	0	0	0
4368	0	0	0	0	0
4418	0	0	0	0	0
4468	0	0	0	0	0
4518	0	0	0	0	0
4568	0	0	0	0	0
4618	0	0	0	0	0
4668	0	0	0	0	0
4718	0	0	0	0	0
4768	0	0	0	0	0
4818	0	0	0	0	0
4868	0	0	0	0	0
4918	0	0	0	0	0
4968	0	0	0	0	0
5018	0	0	0	0	0
5068	0	0	0	0	0
5118	0	0	0	0	0
5168	0	0	0	0	0
5218	0	0	0	0	0
5268	0	0	0	0	0
5318	0	0	0	0	0
5368	0	0	0	0	0
5419	0	0	0	0	0
5469	0	0	0	0	0
5519	0	0	0	0	0
5569	0	0	0	0	0
5619	0	0	0	0	0
5669	0	0	0	0	0
5719	0	0	0	0	0
5769	0	0	0	0	0
5819	0	0	0	0	0
5869	0	0	0	0	0
5919	0	0	0	0	0
5969	0	0	0	0	0
6019	0	0	0	0	0
6069	0	0	0	0	0
6119	0	0	0	0	0
6169	0	0	0	0	0
6219	0	0	0	0	0
6269	0	0	0	0	0
6319	0	0	0	0	0
6369	0	0	0	0	0
6419	0	0	0	0	0
6469	0	0	0	0	0
6519	0	0	0	0	0
6569	0	0	0	0	0
6619	0	0	0	0	0
6669	0	0	0	0	0
6719	0	0	0	0	0
6769	0	0	0	0	0
6819	0	0	0	0	0
6870	0	0	0	0	0
6920	0	0	0	0	0
6970	0	0	0	0	0
7020	0	0	0	0	0
7070	0	0	0	0	0
7120	0	0	0	0	0
7170	0	0	0	0	0
7220	0	0	0	0	0
7270	0	0	0	0	0
7320	0	0	0	0	0
7370	0	0	0	0	0
7420	0	0	0	0	0
7470	0	0	0	0	0
7520	0	0	0	0	0
7570	0	0	0	0	0
7620	0	0	0	0	0
7670	0	0	0	0	0
7720	0	0	0	0	0
7770	0	0	0	0	0
7820	0	0	0	0	0
7870	0	0	0	0	0
7920	0	0	0	0	0
7970	0	0	0	0	0
8020	0	0	0	0	0
8070	0	0	0	0	0
8120	0	0	0	0	0
8170	0	0	0	0	0
8220	0	0	0	0	0
8270	0	0	0	0	0
8320	0	0	0	0	0
8370	0	0	0	0	0
8420	inf	0	0	0	0
8470	inf	0	0	0	0
8520	470.12	57	62	0	0
8570	470.12	7	62	0	0
8620	578.88	51	60	0	-8
8670	578.88	2	60	0	-8
8720	1036.27	0	51	0	-63
8770	1037.99	15	51	0	0
8820	1499.4	25	42	0	-13
8870	1708.43	0	37	0	-47
8920	1945.53	-23	33	0	-58
8970	1990.71	0	32	0	-12
9020	2189.46	8	28	0	-3
9070	2412.35	0	23	0	-36
9120	2498.75	7	22	0	3
9170	2618.26	0	19	0	-7
9220	2753.81	39	16	0	28
9271	2983.89	-41	12	0	-66
9321	3027.86	0	11	0	-7
9371	3028.47	82	11	0	87
9421	3341.5	-51	5	0	-67
9472	3448.28	0	3	0	0
9522	3466.6	0	2	0	0
9572	3513.7	0	1	0	0
9622	3631.08	0	0	0	0
9672	3679.18	0	-1	0	0
9722	3774.53	0	-3	0	0
9772	3781.19	0	-3	-2	0
9822	3822.63	0	-4	0	0
9872	3828.48	0	-4	0	0
9922	3820.68	-3	-4	0	0
9972	3867.97	-1	-5	0	0
10022	3828.48	0	-4	0	0
10072	3844.18	0	-4	0	0
10122	3828.48	0	-4	0	0
10172	3812.91	0	-4	0	0
10222	3790.75	-1	-3	0	0
10272	3738.78	0	-2	0	0
10322	3735.99	0	-2	0	0
10372	3703.7	0	-2	0	0
10422	3734.13	0	-2	0	0
10472	3669.28	0	-1	0	0
10522	3679.18	0	-1	0	0
10572	3631.08	0	0	0	0
10622	3616.2	0	0	0	0
10672	3577.39	0	0	0	0
10722	3584.23	0	0	0	0
10772	3536.07	0	1	0	0
10822	3548.62	0	1	0	0
10872	3485.94	0	2	0	0
10923	3517.82	0	1	0	0
10973	3471.42	0	2	0	0
11023	3490.81	0	2	0	0
11073	3472.22	1	2	0	0
11123	3494.06	0	2	0	0
11173	3550.3	0	0	0	0
11223	3537.74	0	1	0	0
11273	3601.44	0	0	0	0
11323	3654.08	0	-1	0	0
11373	3600.58	0	0	0	0
