
------ Microcontroller Engine Governor - Version: 1.13 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.000000   Kd: 8.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
1735,0.00,0,0,0,0
1785,0.00,0,0,0,0
1835,0.00,0,0,0,0
1885,0.00,0,0,0,0
1935,0.00,0,0,0,0
1985,0.00,0,0,0,0
2035,0.00,0,0,0,0
2085,0.00,0,0,0,0
2135,0.00,0,0,0,0
2185,0.00,0,0,0,0
2235,0.00,0,0,0,0
2285,0.00,0,0,0,0
2335,0.00,0,0,0,0
2385,0.00,0,0,0,0
2435,0.00,0,0,0,0
2485,0.00,0,0,0,0
2535,0.00,0,0,0,0
2585,0.00,0,0,0,0
2635,0.00,0,0,0,0
2685,0.00,0,0,0,0
2735,0.00,0,0,0,0
2785,0.00,0,0,0,0
2835,0.00,0,0,0,0
2885,0.00,0,0,0,0
2935,0.00,0,0,0,0
2985,0.00,0,0,0,0
3035,0.00,0,0,0,0
3085,0.00,0,0,0,0
3135,0.00,0,0,0,0
3185,0.00,0,0,0,0
3235,0.00,0,0,0,0
3286,0.00,0,0,0,0
3336,0.00,0,0,0,0
3386,0.00,0,0,0,0
3436,0.00,0,0,0,0
3486,0.00,0,0,0,0
3536,0.00,0,0,0,0
3586,0.00,0,0,0,0
3636,0.00,0,0,0,0
3686,0.00,0,0,0,0
3736,0.00,0,0,0,0
3786,0.00,0,0,0,0
3836,0.00,0,0,0,0
3886,0.00,0,0,0,0
3936,0.00,0,0,0,0
3986,0.00,0,0,0,0
4036,0.00,0,0,0,0
4086,0.00,0,0,0,0
4136,0.00,0,0,0,0
4186,0.00,0,0,0,0
4236,0.00,0,0,0,0
4286,0.00,0,0,0,0
4336,0.00,0,0,0,0
4386,0.00,0,0,0,0
4436,0.00,0,0,0,0
4486,0.00,0,0,0,0
4536,0.00,0,0,0,0
4586,0.00,0,0,0,0
4636,0.00,0,0,0,0
4686,0.00,0,0,0,0
4736,0.00,0,0,0,0
4786,0.00,0,0,0,0
4836,0.00,0,0,0,0
4886,0.00,0,0,0,0
4936,0.00,0,0,0,0
4986,0.00,0,0,0,0
5036,0.00,0,0,0,0
5086,0.00,0,0,0,0
5136,0.00,0,0,0,0
5186,0.00,0,0,0,0
5236,0.00,0,0,0,0
5286,0.00,0,0,0,0
5336,0.00,0,0,0,0
5386,0.00,0,0,0,0
5436,0.00,0,0,0,0
5486,0.00,0,0,0,0
5536,0.00,0,0,0,0
5586,0.00,0,0,0,0
5636,0.00,0,0,0,0
5686,0.00,0,0,0,0
5736,0.00,0,0,0,0
5786,0.00,0,0,0,0
5836,0.00,0,0,0,0
5886,0.00,0,0,0,0
5936,0.00,0,0,0,0
5986,0.00,0,0,0,0
6036,0.00,0,0,0,0
6086,0.00,0,0,0,0
6136,0.00,0,0,0,0
6187,0.00,0,0,0,0
6237,0.00,0,0,0,0
6287,0.00,0,0,0,0
6337,0.00,0,0,0,0
6387,0.00,0,0,0,0
6437,0.00,0,0,0,0
6487,0.00,0,0,0,0
6537,0.00,0,0,0,0
6587,0.00,0,0,0,0
6637,0.00,0,0,0,0
6687,0.00,0,0,0,0
6737,0.00,0,0,0,0
6787,0.00,0,0,0,0
6837,0.00,0,0,0,0
6887,0.00,0,0,0,0
6937,0.00,0,0,0,0
6987,0.00,0,0,0,0
7037,0.00,0,0,0,0
7087,0.00,0,0,0,0
7137,0.00,0,0,0,0
7187,0.00,0,0,0,0
7237,0.00,0,0,0,0
7287,0.00,0,0,0,0
7337,inf,0,0,0,0
7387,inf,0,0,0,0
7437,inf,0,0,0,0
7487,inf,0,0,0,0
7537,352.53,19,64,0,0
7587,873.52,0,54,0,-60
7638,852.85,51,54,0,2
7688,1114.74,9,49,0,-38
7738,1114.74,0,49,0,-38
7788,1402.39,0,43,0,-49
7838,1457.73,17,42,0,-10
7888,1665.00,0,38,0,-46
7938,1884.90,-7,34,0,-52
7988,2090.88,-17,30,0,-48
8038,2102.02,3,29,0,-3
8088,2315.89,0,25,0,-31
8138,2407.70,6,23,0,3
8188,2570.25,0,20,0,-26
8238,2689.14,0,18,0,-18
8288,2781.90,-11,16,0,-36
8338,2881.84,-9,14,0,-40
8388,3088.96,-79,10,0,-94
8438,3008.42,0,11,0,-11
8488,3165.89,-45,8,0,-61
8538,3340.01,-57,5,0,-64
8588,3340.76,0,5,0,-14
8638,3419.19,-4,3,0,-20
8688,3503.85,0,1,0,0
8738,3567.18,0,0,0,0
8788,3579.95,0,0,0,0
8838,3685.50,0,-1,0,0
8888,3670.17,0,-1,0,0
8938,3719.32,0,-2,0,0
8988,3724.86,0,-2,0,0
9038,3782.15,0,-3,0,0
9088,3824.58,-27,-4,0,-24
9138,3778.34,0,-3,0,0
9188,3750.94,0,-3,0,0
9238,3660.32,0,-1,0,0
9288,3617.07,0,0,0,0
9338,3579.95,0,0,0,0
9388,3593.67,0,0,0,0
9438,3561.25,0,0,0,0
9488,3568.88,0,0,0,0
9538,3527.75,0,1,0,0
9588,3521.95,0,1,0,0
9638,3512.88,0,1,0,0
9688,3529.41,0,1,0,0
9738,3560.41,0,0,0,0
9788,3528.58,0,1,0,0
9838,3541.91,0,1,0,0
9888,3529.41,0,1,0,0
9938,3583.37,0,0,0,0
9988,3557.03,0,0,0,0
10038,3603.17,0,0,0,0
10088,3598.85,0,0,0,0
10138,3608.37,0,0,0,0
10188,3617.07,0,0,0,0
10238,3656.75,0,-1,0,0
10288,3641.66,0,0,0,0
10338,3690.94,0,-1,0,0
10388,3660.32,0,-1,0,0
10438,3660.32,0,-1,0,0
10488,3651.41,0,-1,0,0
10539,3742.51,-1,-2,0,0
10589,3627.57,0,0,0,0
10639,3616.20,0,0,0,0
