------ Microcontroller Engine Governor -
------ Microcontroller Engine Governor - Version: 1.13 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.060000   Ki: 0.000000   Kd: 24.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
1629,0.00,0,0,0,0,0.00
1679,0.00,0,0,0,0,0.00
1729,0.00,0,0,0,0,0.00
1779,0.00,0,0,0,0,0.00
1829,0.00,0,0,0,0,0.00
1879,0.00,0,0,0,0,0.00
1929,0.00,0,0,0,0,0.00
1979,0.00,0,0,0,0,0.00
2029,0.00,0,0,0,0,0.00
2079,0.00,0,0,0,0,0.00
2129,0.00,0,0,0,0,0.00
2179,0.00,0,0,0,0,0.00
2229,0.00,0,0,0,0,0.00
2279,0.00,0,0,0,0,0.00
2329,0.00,0,0,0,0,0.00
2379,0.00,0,0,0,0,0.00
2429,0.00,0,0,0,0,0.00
2479,0.00,0,0,0,0,0.00
2529,0.00,0,0,0,0,0.00
2579,0.00,0,0,0,0,0.00
2629,0.00,0,0,0,0,0.00
2679,0.00,0,0,0,0,0.00
2729,0.00,0,0,0,0,0.00
2779,0.00,0,0,0,0,0.00
2829,0.00,0,0,0,0,0.00
2879,inf,0,0,0,0,inf
2929,inf,0,0,0,0,inf
2979,inf,0,0,0,0,inf
3030,491.19,147,186,0,0,inf
3080,491.19,98,186,0,0,inf
3130,589.07,120,180,0,-23,-97.88
3180,1010.17,0,155,0,-171,-421.10
3230,1021.94,131,154,0,-4,-11.77
3280,1410.17,-63,131,0,-221,-388.23
3330,1482.65,50,127,0,-42,-72.48
3380,1825.71,-14,106,0,-136,-181.51
3430,1994.42,64,96,0,-27,-34.91
3480,2094.68,0,90,0,-85,-100.26
3530,2399.62,-140,72,0,-236,-256.45
3580,2509.20,-169,65,0,-258,-258.30
3630,2635.28,278,57,0,224,214.81
3680,2638.52,163,57,0,114,109.74
3730,2885.17,19,42,0,-6,-6.09
3780,3028.47,118,34,0,91,75.84
3830,3165.89,-108,26,0,-153,-127.61
3880,3179.31,740,25,0,728,546.47
3930,3662.11,-8,-3,0,-15,-298.88
3980,3517.82,0,4,0,0,85.35
4030,3639.01,0,-2,0,-5,-76.91
4080,3667.48,0,-4,0,0,8.99
4130,3744.38,0,-8,0,0,-40.68
4180,3749.06,0,-8,0,0,15.05
4230,3791.71,0,-11,0,0,-38.89
4281,3807.11,-11,-12,0,0,-26.86
4331,3723.01,-4,-7,0,0,26.05
4381,3715.63,-1,-6,0,0,-34.65
4431,3689.13,0,-5,0,0,35.73
4481,3661.22,0,-3,0,0,3.58
4531,3640.78,0,-2,0,0,24.91
4581,3612.72,0,0,0,0,13.98
4631,3541.08,0,3,0,0,26.11
4681,3495.69,1,6,0,0,12.26
4731,3480.28,3,7,0,0,14.60
4781,3526.92,2,4,0,-1,-37.74
4832,3523.61,3,4,0,0,26.69
4882,3606.64,0,0,0,0,-48.76
4932,3592.81,0,0,0,0,30.37
4982,3623.19,0,-1,0,0,-38.96
5032,3626.69,0,-1,0,0,10.55
5082,3665.69,-1,-3,0,0,-24.03
5132,3655.86,-1,-3,0,0,18.81
5182,3716.55,-2,-6,0,0,-41.88
5232,3699.14,0,-5,0,0,25.72
5282,3730.42,0,-7,0,0,-45.82
5332,3684.60,0,-5,0,0,25.52
5382,3665.69,0,-3,0,0,8.98
5432,3630.20,0,-1,0,0,34.59
5482,3623.19,0,-1,0,0,-38.96
5532,3613.59,0,0,0,0,13.98
5582,3595.40,0,0,0,0,-5.16
5632,3559.56,0,2,0,0,18.68
5682,3497.32,1,6,0,0,61.40
5732,3535.23,0,3,0,0,27.71
5782,3543.59,0,3,0,0,-1.67
5832,3502.22,1,5,0,0,17.26
5882,3564.64,0,2,0,0,-47.64
5932,3567.18,0,1,0,0,18.76
5982,3616.20,0,0,0,0,-49.02
6032,3612.72,0,0,0,0,10.47
6082,3650.52,-1,-3,0,0,-28.21
6132,3631.08,0,-1,0,0,30.13
6182,3679.18,0,-4,0,0,-27.76
6232,3616.20,0,0,0,0,25.46
6282,3660.32,0,-3,0,0,-28.36
6332,3602.31,0,0,0,0,20.01
6382,3632.84,0,-1,0,0,-39.17
6432,3608.37,0,0,0,0,28.87
6482,3646.97,0,-2,0,0,-40.34
6532,3621.44,0,-1,0,0,29.97
6582,3628.45,0,-1,0,0,-24.41
6632,3590.23,0,0,0,0,21.61
6682,3613.59,0,0,0,0,-25.07
6732,3539.41,0,3,0,0,17.63
6782,3541.08,0,3,0,0,-39.68
6832,3504.67,4,5,0,0,8.21
6882,3517.82,0,4,0,0,16.58
6932,3797.47,-6,-11,0,-12,-195.16
6982,3559.56,0,2,0,0,410.79
7032,3554.50,0,2,0,0,260.35
7083,3750.00,-19,-9,0,-11,-190.44
7133,3548.62,2,3,0,0,198.57
7183,3835.34,-26,-14,0,-15,-280.83
7233,3555.34,0,2,0,0,278.03
7283,3730.42,-13,-7,0,-11,-180.12
7333,3612.72,0,0,0,0,69.17
7383,3579.95,0,1,0,0,27.55
7433,3511.24,2,5,0,0,19.84
7483,3520.30,2,4,0,0,5.79
7533,3483.51,5,6,0,0,24.44
7583,3460.21,0,8,0,0,29.79
7633,3513.70,0,5,0,0,44.17
7683,3517.82,0,4,0,0,17.41
7733,3691.85,-7,-5,0,-14,-262.50
7783,3550.30,0,2,0,0,240.45
7833,3670.17,0,-4,0,0,-49.61
7883,3646.09,0,-2,0,0,29.48
7933,3665.69,0,-3,0,0,-29.33
7983,3639.89,0,-2,0,0,24.90
8033,3670.17,0,-4,0,0,-14.31
8083,3659.43,0,-3,0,0,24.26
8133,3609.24,0,0,0,0,31.54
8183,3537.74,0,3,0,0,55.94
