------ Microcontroller Engine Govehange
------ Microcontroller Engine Governor - Version: 1.14 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.030000   Ki: 0.000000   Kd: 12.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         800     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
1589,0.00,0,0,0,0,0.00
1639,0.00,0,0,0,0,0.00
1689,0.00,0,0,0,0,0.00
1739,0.00,0,0,0,0,0.00
1789,0.00,0,0,0,0,0.00
1839,0.00,0,0,0,0,0.00
1889,0.00,0,0,0,0,0.00
1939,0.00,0,0,0,0,0.00
1989,0.00,0,0,0,0,0.00
2039,0.00,0,0,0,0,0.00
2089,0.00,0,0,0,0,0.00
2139,0.00,0,0,0,0,0.00
2189,0.00,0,0,0,0,0.00
2239,0.00,0,0,0,0,0.00
2289,0.00,0,0,0,0,0.00
2339,0.00,0,0,0,0,0.00
2390,0.00,0,0,0,0,0.00
2440,0.00,0,0,0,0,0.00
2490,0.00,0,0,0,0,0.00
2540,inf,0,0,0,0,inf
2590,inf,0,0,0,0,inf
2640,547.67,89,91,0,0,inf
2690,547.67,41,91,0,0,inf
2740,643.58,19600,88,0,19520,-95.92
2790,1076.35,-15539,75,0,-15616,-432.77
2840,1076.35,-15495,75,0,-15616,-432.77
2890,1515.30,7609,62,0,7552,-412.77
2940,1586.63,29874,60,0,29824,-71.33
2990,1785.29,52,54,0,0,-22.24
3040,1990.97,26139,48,0,26112,-205.69
3090,2217.29,-9417,41,0,-9472,-168.11
3140,2415.46,18327,35,0,18304,-217.66
3190,2516.36,18321,32,0,18304,-100.51
3240,2741.73,5,25,0,0,-143.43
3290,3027.25,10,17,0,0,-166.29
3340,3073.77,0,15,0,0,13.28
3390,3389.06,0,6,0,0,-121.09
3440,3512.88,0,2,0,0,0.00
3490,3759.40,0,-4,0,0,-126.56
3540,3859.02,0,-7,0,0,1.99
3590,3973.51,-8,-11,0,0,50.10
3640,4035.51,-10,-13,0,0,-8.67
3690,4311.58,-18,-21,0,0,-161.06
3740,4508.57,-17,-27,0,0,-174.56
3790,4503.15,-23,-27,0,0,-244.21
3840,4418.26,-14,-24,0,0,-107.92
3890,4322.77,-13,-21,0,0,49.14
3940,4279.60,-16,-20,0,0,294.96
3990,4239.68,-11,-19,0,0,26.53
4040,4481.63,-23,-26,0,0,-290.51
4090,4024.68,0,-12,0,0,324.40
4140,4026.85,-10,-12,0,0,150.26
4190,4066.14,-5,-13,0,0,-40.38
4240,3956.74,0,-10,0,0,8.37
4290,3829.46,-5,-6,0,0,24.60
4340,3740.65,-1,-4,0,0,30.09
4390,3665.69,0,-1,0,0,15.29
4440,3613.59,0,0,0,0,26.31
4490,3530.24,0,2,0,0,26.79
4540,3439.58,3,4,0,0,37.47
4590,3388.30,0,6,0,0,29.34
4640,3345.97,0,7,0,0,23.30
4690,3267.26,1,9,0,0,28.72
4740,3327.42,5,8,0,0,-42.27
4790,3339.27,0,7,0,0,-46.91
4840,3356.46,0,7,0,0,18.12
4890,3455.42,0,4,0,0,-57.92
4940,3344.48,59,7,0,60,143.89
4990,3575.69,0,0,0,0,24.89
5040,3585.94,0,0,0,0,19.83
5090,3642.54,0,-1,0,0,-43.70
5140,3650.52,0,-1,0,0,15.17
5190,3734.13,0,-4,0,0,-49.53
5241,4306.63,-11,-21,0,0,24819.58
5291,3779.29,0,-5,0,0,260.57
5341,3744.38,0,-4,0,0,20.68
5392,3714.71,-2,-3,0,0,23.14
5442,3740.65,-1,-4,0,0,-36.94
5492,3669.28,0,-2,0,0,38.09
5542,3608.37,0,0,0,0,21.83
5592,3574.83,0,0,0,0,18.84
5642,3540.24,0,1,0,0,26.09
5692,3521.13,0,2,0,0,41.82
5742,3520.30,1,2,0,0,-31.12
5792,3484.32,0,3,0,0,1.62
5842,3481.89,0,3,0,0,103.19
5892,3493.25,0,3,0,0,-3.25
5942,3489.18,0,3,0,0,22.87
5992,3530.24,0,2,0,0,-49.96
6042,3531.90,0,2,0,0,11.68
6092,3591.95,0,0,0,0,-43.34
6142,3583.37,0,0,0,0,30.21
6192,3665.69,0,-1,0,0,-47.74
6242,3632.84,0,0,0,0,31.95
6292,3700.05,0,-3,0,0,-45.08
6342,3674.67,0,-2,0,0,19.00
6392,3735.99,0,-4,0,0,-50.49
6443,3709.20,0,-3,0,0,14.73
6493,3699.14,0,-2,0,0,-41.49
6543,3670.17,0,-2,0,0,30.79
6593,3639.89,0,-1,0,0,20.43
6643,3573.98,0,0,0,0,136.13
6693,3605.77,0,0,0,0,79.73
6743,3581.66,0,0,0,0,84.03
6793,3540.24,0,1,0,0,24.40
6843,3530.24,0,2,0,0,15.02
6893,3568.88,0,0,0,0,-34.48
6943,3531.90,0,2,0,0,25.97
6993,3568.03,0,0,0,0,-17.73
7043,3547.78,0,1,0,0,28.76
7093,3594.54,0,0,0,0,-29.05
7143,3587.66,0,0,0,0,27.67
7193,3591.95,0,0,0,0,-2.58
7243,3583.37,0,0,0,0,8.58
7293,3622.31,0,0,0,0,-39.80
7343,3608.37,0,0,0,0,13.94
7393,3617.07,0,0,0,0,-4.36
7443,3607.50,0,0,0,0,23.58
7493,3608.37,0,0,0,0,11.32
7543,3598.85,0,0,0,0,21.72
