------ Microcontroller Engine Governor - Version: 1.14 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.030000   Ki: 0.000000   Kd: 12.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         800     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
1543,0.00,0,0,0,0,0.00
1593,0.00,0,0,0,0,0.00
1643,0.00,0,0,0,0,0.00
1693,0.00,0,0,0,0,0.00
1743,0.00,0,0,0,0,0.00
1793,0.00,0,0,0,0,0.00
1843,0.00,0,0,0,0,0.00
1893,0.00,0,0,0,0,0.00
1943,0.00,0,0,0,0,0.00
1993,0.00,0,0,0,0,0.00
2043,0.00,0,0,0,0,0.00
2093,0.00,0,0,0,0,0.00
2143,inf,0,0,0,0,inf
2193,inf,0,0,0,0,inf
2243,558.06,55,91,0,0,inf
2293,1074.73,27948,75,0,27904,-516.67
2343,1094.97,49,75,0,0,-20.24
2393,1415.63,-28062,65,0,-28160,-320.66
2443,1723.35,31793,56,0,31744,-249.29
2493,1765.33,17824,55,0,17792,-41.98
2543,2022.38,26146,47,0,26112,-84.65
2593,2233.47,32,40,0,0,-10.26
2643,2397.70,27,36,0,0,26.35
2693,2608.24,22,29,0,0,44.28
2743,2801.64,10,23,0,0,-20.78
2793,3260.16,6,10,0,0,-245.09
2843,3367.00,2,6,0,0,-203.11
2893,3533.57,0,1,0,0,-132.98
2944,3661.22,0,-1,0,0,-0.89
2994,3882.99,-4,-8,0,0,-119.82
3044,3954.65,-1,-10,0,0,6.27
3094,4106.21,-6,-15,0,0,-78.29
3144,4356.67,-20,-22,0,0,-313.54
3194,4293.07,-7,-20,0,0,-268.39
3244,4388.53,-16,-23,0,0,-78.19
3294,4285.71,-18,-20,0,0,22.15
3344,4582.95,-23,-29,0,0,-557.19
3394,4043.13,-11,-13,0,0,265.98
3444,4332.76,-10,-21,0,0,-24.89
3494,4024.68,-9,-12,0,0,438.27
3544,4117.49,-7,-15,0,0,-92.80
3594,3862.00,0,-7,0,0,334.98
3644,3862.00,-5,-7,0,0,38.16
3694,3781.19,-1,-5,0,0,27.85
3744,3697.31,0,-2,0,0,36.82
3794,3635.48,0,-1,0,0,30.21
3844,3546.94,0,1,0,0,34.72
3894,3472.22,0,3,0,0,17.77
3944,3391.36,4,6,0,0,28.61
3994,3385.24,0,6,0,0,26.95
4044,3351.96,0,7,0,0,-9.71
4094,3282.28,6,9,0,0,20.96
4144,3342.25,4,7,0,0,-33.18
4194,3377.62,0,6,0,0,-48.72
4244,3392.90,0,6,0,0,120.81
4294,3494.06,0,3,0,0,-65.49
4344,3515.35,0,2,0,0,16.55
4395,3613.59,0,0,0,0,-50.64
4445,3628.45,0,0,0,0,17.64
4495,3725.78,0,-3,0,0,-63.67
4545,3729.49,0,-3,0,0,10.23
4595,3797.47,0,-5,0,0,-54.02
4645,3957.78,-7,-10,0,0,-284.01
4695,3825.55,-1,-6,0,0,22.57
4745,3865.98,-5,-7,0,0,-68.51
4795,3810.01,-1,-6,0,0,40.10
4845,3798.43,0,-5,0,0,-35.26
4895,3721.16,0,-3,0,0,36.35
4945,3689.13,-1,-2,0,0,40.36
4995,3645.20,0,-1,0,0,26.77
5045,3776.43,0,-5,0,0,-46.02
5095,3657.64,0,-1,0,0,41.49
5145,3524.44,0,2,0,0,121.65
5195,3524.44,0,2,0,0,22.50
5245,3541.08,0,1,0,0,32.05
5295,3489.18,0,3,0,0,28.64
5345,3572.28,0,0,0,0,-54.46
5395,3531.07,0,2,0,0,25.96
5445,3593.67,0,0,0,0,-38.33
5495,3594.54,0,0,0,0,21.66
5545,3633.72,0,0,0,0,-23.61
5595,3633.72,0,-1,0,0,16.80
5645,3685.50,0,-1,0,0,-37.64
5695,3666.59,0,-1,0,0,28.91
5745,3695.49,0,-1,0,0,-28.91
5795,3685.50,-1,-2,0,0,30.13
5846,3725.78,-1,-2,0,0,-30.29
5896,3696.40,-1,-2,0,0,42.38
5946,3724.86,-1,-2,0,0,31.72
5996,3954.65,-6,-10,0,0,-440.13
6046,3712.87,0,-3,0,0,26.84
6096,3749.06,0,-4,0,0,-31.59
6146,3671.97,0,-2,0,0,20.79
6196,3662.11,0,-1,0,0,7.17
6246,3631.08,0,0,0,0,20.33
6296,3621.44,0,0,0,0,-24.32
6346,3550.30,0,0,0,0,20.28
6396,3530.24,0,2,0,0,16.70
6446,3457.81,0,4,0,0,27.32
6496,3480.28,0,3,0,0,-31.21
6546,3447.48,3,4,0,0,34.41
6596,3435.64,0,4,0,0,26.17
6646,3508.77,0,2,0,0,87.49
6696,3506.31,0,2,0,0,23.10
6746,3586.80,0,2,0,0,-55.73
6796,3548.62,0,1,0,0,21.11
6846,3603.17,0,0,0,0,-35.14
6896,3607.50,0,0,0,0,27.10
6946,3668.38,0,-2,0,0,-27.60
6996,3653.19,0,-1,0,0,31.41
7046,3711.03,0,-3,0,0,-33.66
7096,3701.88,0,-3,0,0,29.47
7146,3705.53,0,-3,0,0,-11.86
7196,3736.92,0,-4,0,0,73.09
7246,3736.92,0,1,0,0,-193.33
7296,3628.45,0,0,0,0,9.68
7346,3609.24,0,0,0,0,36.85
7396,3596.26,0,0,0,0,-31.62
