------ Microcontroller Engine Governor ------- Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.000000   Kd: 8.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
1371,0.00,0,0,0,0,0.00
1421,0.00,0,0,0,0,0.00
1471,0.00,0,0,0,0,0.00
1521,0.00,0,0,0,0,0.00
1571,0.00,0,0,0,0,0.00
1622,0.00,0,0,0,0,0.00
1672,0.00,0,0,0,0,0.00
1722,0.00,0,0,0,0,0.00
1772,0.00,0,0,0,0,0.00
1822,0.00,0,0,0,0,0.00
1872,0.00,0,0,0,0,0.00
1922,0.00,0,0,0,0,0.00
1972,0.00,0,0,0,0,0.00
2022,0.00,0,0,0,0,0.00
2072,0.00,0,0,0,0,0.00
2122,inf,0,0,0,0,inf
2172,inf,0,0,0,0,inf
2222,inf,0,0,0,0,inf
2272,468.22,17,62,0,0,inf
2322,468.22,0,62,0,0,inf
2372,530.50,25,61,0,-4,-62.28
2422,872.91,2,54,0,-39,-342.40
2472,872.91,0,54,0,-39,-342.40
2522,867.90,11,54,0,0,5.00
2572,1269.47,0,46,0,-68,-401.56
2622,1626.90,-25,39,0,-76,-355.39
2672,1647.63,9,39,0,-4,-20.73
2722,1897.05,22,34,0,1,6.50
2772,2136.75,14,29,0,-9,-31.19
2822,2304.86,21,25,0,-1,-4.95
2872,2475.66,7,22,0,-11,-34.65
2922,2575.55,18,20,0,6,18.71
2972,2743.23,-1,17,0,-32,-90.71
3022,2768.55,4,16,0,8,23.19
3072,2925.12,-6,13,0,-25,-62.52
3122,3021.15,-18,11,0,-45,-108.53
3172,3027.86,56,11,0,52,138.71
3222,3361.72,-77,4,0,-82,-174.98
3272,3340.76,-31,5,0,-51,-122.56
3322,3363.23,0,4,0,-10,-23.22
3372,3518.65,0,1,0,0,-63.22
3422,3573.13,0,0,0,0,6.82
3472,3683.69,0,-1,0,0,-57.88
3522,3723.93,0,-2,0,0,13.92
3572,3821.66,-25,-4,0,-33,-63.20
3622,3779.29,0,-3,0,0,272.57
3672,3942.18,-90,-6,0,-86,-161.94
3722,3780.24,0,-3,0,0,114.85
3772,3931.85,-74,-6,0,-76,-153.51
3822,3772.64,0,-3,0,0,14.29
3872,3554.50,0,0,0,0,246.82
3922,3865.98,-143,-5,0,-153,-306.42
3972,3677.37,0,-1,0,0,114.34
4022,3674.67,0,-1,0,0,-31.24
4072,3649.63,0,0,0,0,116.37
4122,3737.85,-1,-2,0,0,-179.13
4172,3604.90,0,0,0,0,34.11
4222,3565.49,0,0,0,0,17.03
4272,3571.43,0,0,0,0,22.25
4322,3557.87,0,0,0,0,296.19
4372,3557.87,0,0,0,0,293.22
4422,3555.34,0,0,0,0,219.19
4472,3531.07,0,1,0,0,72.10
4523,3494.06,0,2,0,0,22.94
4573,3493.25,0,2,0,0,24.58
4623,3544.42,0,1,0,0,-42.21
4673,3502.22,0,1,0,0,18.91
4723,3565.49,0,0,0,0,-52.61
4773,3545.26,0,1,0,0,20.23
4823,3557.87,0,0,0,0,-19.30
4873,3553.66,0,0,0,0,32.28
4923,3619.69,0,0,0,0,-41.45
4973,3563.79,0,0,0,0,28.16
5023,3596.26,0,0,0,0,-23.98
5073,3577.39,0,0,0,0,24.05
5123,3591.09,0,0,0,0,-26.46
5173,3596.26,0,0,0,0,24.30
5223,3654.08,0,-1,0,0,-29.14
5273,3648.75,0,0,0,0,34.95
5323,3645.20,0,0,0,0,-10.60
5373,3639.01,0,0,0,0,24.89
5423,3685.50,0,-1,0,0,-36.76
5473,3624.94,0,0,0,0,23.81
5523,3654.08,0,-1,0,0,-47.44
5573,3630.20,0,0,0,0,33.70
5623,3610.98,0,0,0,0,-25.03
5673,3606.64,0,0,0,0,23.57
5723,3624.94,0,0,0,0,-18.30
5773,3615.33,0,0,0,0,28.99
5823,3591.09,0,0,0,0,5.17
