------ Microcontroller Engine Governoe
------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.005000   Kd: 8.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
1629,0.00,0,0,0,0,0.00
1679,0.00,0,0,0,0,0.00
1729,0.00,0,0,0,0,0.00
1779,0.00,0,0,0,0,0.00
1829,0.00,0,0,0,0,0.00
1879,0.00,0,0,0,0,0.00
1929,0.00,0,0,0,0,0.00
1979,0.00,0,0,0,0,0.00
2029,0.00,0,0,0,0,0.00
2079,0.00,0,0,0,0,0.00
2129,0.00,0,0,0,0,0.00
2179,0.00,0,0,0,0,0.00
2229,0.00,0,0,0,0,0.00
2279,0.00,0,0,0,0,0.00
2329,0.00,0,0,0,0,0.00
2379,0.00,0,0,0,0,0.00
2429,0.00,0,0,0,0,0.00
2479,0.00,0,0,0,0,0.00
2529,0.00,0,0,0,0,0.00
2579,inf,0,0,0,0,inf
2629,inf,0,0,0,0,inf
2679,inf,0,0,0,0,inf
2729,inf,0,0,0,0,inf
4370,2850.12,13,14,0,0,inf
4420,5023.44,-274,-28,0,-254,-382.35
4470,4643.96,-13,-20,0,0,-1.44
4520,4641.09,-15,-20,0,0,1.44
4570,4641.09,-219,-20,0,-201,-327.02
4620,4312.82,-3,-14,0,0,1.24
4670,4314.06,-7,-14,0,0,-1.24
4720,4468.28,-286,-17,0,-270,-440.35
4770,4027.93,-1,-8,0,0,327.47
4820,4143.65,-51,-10,0,-55,-104.87
4870,4246.89,-258,-12,0,-249,-467.60
4920,3779.29,0,-3,0,0,351.80
4970,3908.29,-59,-6,0,-64,-128.04
5020,3558.72,0,0,0,0,439.15
5070,3801.32,0,-4,-1,0,-243.44
5120,3585.09,0,0,-7,0,27.63
5170,3364.74,0,4,0,0,163.01
5220,3412.97,0,3,0,0,33.72
5270,3332.59,13,5,0,14,31.39
5320,3174.60,81,8,0,74,166.90
5370,3309.07,55,5,0,65,80.00
5420,3340.76,-59,5,0,-73,-175.53
5470,3185.39,0,8,0,-7,-18.16
5520,3028.47,95,11,0,97,244.50
5570,3165.22,-40,8,0,-54,-136.76
5620,3018.11,10,11,0,15,38.13
5670,3028.47,79,11,0,76,181.46
5720,3113.32,-5,9,0,-32,-76.27
5770,3027.25,55,11,0,53,139.32
5820,3165.22,-45,8,0,-54,-136.76
5870,3115.91,36,9,0,40,102.28
5920,3186.74,0,8,0,-9,-21.52
5970,3175.95,53,8,0,64,153.69
6020,3200.34,128,7,0,133,316.66
6070,3260.16,0,6,0,-10,-25.31
6120,3294.53,-1,6,0,-26,-56.19
6170,3348.96,113,5,0,123,379.60
6220,3411.42,0,3,0,0,-51.20
6270,3427.00,0,3,0,0,30.81
6320,3523.61,0,1,0,0,-53.80
6370,3543.59,0,1,0,0,26.99
6420,3632.84,0,0,0,0,-42.61
6470,3648.75,0,0,0,0,14.26
6520,3716.55,0,-2,0,0,-49.07
6571,3722.08,0,-2,0,0,26.04
6621,3785.01,0,-3,0,0,-46.23
6671,3787.88,0,-3,-2,0,12.48
6721,3817.77,-3,-4,0,0,37.29
6771,3855.05,-1,-5,0,0,-17.75
6821,3840.25,0,-4,0,0,24.74
6871,3832.40,0,-4,0,0,5.88
6921,3790.75,0,-3,0,0,30.91
6971,3767.90,0,-3,0,0,-9.44
7022,3732.27,-1,-2,0,0,4.65
7072,3676.47,0,-1,0,0,19.93
7122,3687.32,0,-1,0,0,-29.67
7172,3615.33,0,0,0,0,21.03
7222,3557.87,0,0,0,0,-4.21
7272,3535.23,0,1,0,0,21.80
7322,3528.58,0,1,0,0,-1.66
7372,3521.13,0,1,0,0,-11.53
7422,3585.09,0,0,0,0,-82.87
7472,3504.67,0,1,0,0,-42.87
7522,3485.94,0,2,0,0,21.19
7572,3542.75,0,1,0,0,-50.32
7622,3530.24,0,1,0,0,16.70
7672,3496.50,0,2,0,0,-8.13
7723,3503.04,0,1,0,0,12.31
7773,3567.18,0,0,0,0,-47.71
7823,3553.66,0,0,0,0,12.67
7873,3618.82,0,0,0,0,-37.16
7923,3613.59,0,0,0,0,14.86
7973,3644.31,0,0,0,0,-14.99
8023,3629.32,0,0,0,0,24.76
8073,3663.00,0,-1,0,0,-24.88
8123,3647.86,0,0,0,0,25.01
8173,3697.31,0,-1,0,0,-29.83
8223,3691.85,0,-1,0,0,14.60
8273,3716.55,0,-2,0,0,-23.79
8323,3667.48,0,-1,0,0,28.92
8373,3687.32,0,-1,0,0,-19.83
8423,3677.37,0,-1,0,0,9.94
8473,3666.59,0,-1,0,0,6.28
8523,3604.04,0,0,0,0,29.68
8573,3609.24,0,0,0,0,-12.98
8623,3615.33,0,0,0,0,6.98
8673,3596.26,0,0,0,0,17.33
8723,3583.37,0,0,0,0,16.34
8773,3610.11,0,0,0,0,-15.57
8823,3587.66,0,0,0,0,30.29
8873,3606.64,0,0,0,0,42.11
8923,3605.77,0,0,0,0,23.56
8973,3608.37,0,0,0,0,-20.71
9023,3594.54,0,0,0,0,25.15
9073,3557.87,0,0,0,0,-14.29
9123,3530.24,0,1,0,0,7.49
9174,3574.83,0,0,0,0,-29.57
9224,3563.79,0,0,0,0,26.44
9274,3605.77,0,0,0,0,4.34
9324,3562.10,0,0,0,0,19.56
9374,3609.24,0,0,0,0,-36.96
9424,3563.79,0,0,0,0,8.49
9474,3610.98,0,0,0,0,-39.55
9524,3573.13,0,0,0,0,17.96
9574,3619.69,0,0,0,0,-32.89
9624,3596.26,0,0,0,0,26.05
9674,3620.56,0,0,0,0,-33.76
9724,3605.77,0,0,0,0,23.56
9774,3642.54,0,0,0,0,-27.22
