
------ Microcontroller Engine Governor - Version: 1.14 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.025000   Ki: 0.000000   Kd: 12.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         800     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
1537,0.00,0,0,0,0
1587,0.00,0,0,0,0
1637,0.00,0,0,0,0
1687,0.00,0,0,0,0
1737,0.00,0,0,0,0
1787,0.00,0,0,0,0
1837,0.00,0,0,0,0
1887,0.00,0,0,0,0
1937,0.00,0,0,0,0
1987,0.00,0,0,0,0
2037,0.00,0,0,0,0
2087,0.00,0,0,0,0
2137,0.00,0,0,0,0
2187,0.00,0,0,0,0
2237,0.00,0,0,0,0
2287,0.00,0,0,0,0
2337,0.00,0,0,0,0
2387,0.00,0,0,0,0
2437,0.00,0,0,0,0
2487,0.00,0,0,0,0
2537,inf,0,0,0,0
2587,inf,0,0,0,0
2637,626.10,65,74,0,0
2688,626.10,16,74,0,0
2738,710.33,37,72,0,-11
2788,1099.22,-4,62,0,-86
2838,1137.23,35,61,0,-8
2888,1492.69,-26,52,0,-106
2938,1774.31,-31,45,0,-81
2988,1797.27,16,45,0,-8
3038,2023.47,16,39,0,-12
3088,2270.32,-12,33,0,-52
3138,2353.31,30,31,0,5
3188,2549.29,-49,26,0,-82
3238,2618.26,-35,24,0,-69
3288,2617.80,0,24,0,-11
3338,2635.74,128,24,0,124
3388,3076.29,-101,13,0,-122
3438,3009.63,-79,14,0,-110
3488,3166.56,-73,10,0,-92
3538,3165.89,-93,10,0,-104
3588,3192.17,61,10,0,64
3638,3176.62,118,10,0,116
3688,3330.37,29,6,0,28
3738,3500.58,0,2,0,0
3788,3641.66,0,-1,0,0
3838,3670.17,0,-1,0,0
3888,3754.69,0,-3,0,0
3938,3755.63,0,-3,0,0
3988,3822.63,0,-5,0,0
4038,3813.88,0,-5,0,0
4088,3852.08,0,-6,0,0
4139,3918.50,-114,-7,0,-110
4189,3779.29,0,-4,0,0
4239,3829.46,0,-5,0,0
4289,3812.91,0,-5,0,0
4339,3841.23,0,-6,0,0
4389,3834.36,-2,-5,0,0
4439,3767.90,0,-4,0,0
4489,3745.32,0,-3,0,0
4539,3696.40,0,-2,0,0
4589,3665.69,0,-1,0,0
4639,3589.38,0,0,0,0
4689,3621.44,0,0,0,0
4739,3547.78,0,1,0,0
4789,3508.77,0,2,0,0
4839,3452.24,0,3,0,0
4889,3477.05,0,3,0,0
4940,3404.45,3,4,0,0
4990,3417.63,0,4,0,0
5040,3481.09,0,2,0,-1
5090,3476.25,0,3,0,0
5140,3482.70,0,2,0,0
5190,3500.58,0,2,0,0
5240,3512.88,0,2,0,0
5291,3500.58,0,2,0,0
5341,3587.66,0,0,0,0
5391,3608.37,0,0,0,0
5441,3689.13,0,-2,0,0
5491,3690.04,0,-2,0,0
5541,3755.63,0,-3,0,0
5591,3694.58,0,-2,0,0
5641,3724.86,0,-3,0,0
5691,3701.88,0,-2,0,0
5741,3714.71,0,-2,0,0
5791,3690.04,0,-2,0,0
5841,3674.67,0,-1,0,0
5891,3656.75,0,-1,0,0
5941,3608.37,0,0,0,0
5991,3606.64,0,0,0,0
6041,3579.95,0,0,0,0
6091,3587.66,0,0,0,0
6141,3540.24,0,1,0,0
6191,3534.40,0,1,0,0
6241,3587.66,0,0,0,0
6291,3566.33,0,0,0,0
6341,3603.17,0,0,0,0
6391,3579.95,0,0,0,0
6441,3579.95,0,0,0,0
6491,3578.24,0,0,0,0
6541,3621.44,0,0,0,0
6591,3597.98,0,0,0,0
6641,3602.31,0,0,0,0
6691,3563.79,0,0,0,0
6742,3593.67,0,0,0,0
6792,3579.95,0,0,0,0
6842,3592.81,0,0,0,0
6892,3574.83,0,0,0,0
6942,3604.04,0,0,0,0
6992,3579.95,0,0,0,0
7042,3645.20,0,-1,0,0
7092,3616.20,0,0,0,0
7142,3608.37,0,0,0,0
7192,3598.85,0,0,0,0
7242,3622.31,0,0,0,0
7292,3546.10,0,1,0,0
7342,3612.72,0,0,0,0
7392,3531.90,0,1,0,0
7442,3577.39,0,0,0,0
7492,3565.49,0,0,0,0
7542,3587.66,0,0,0,0
7592,3580.81,0,0,0,0
7642,3585.09,0,0,0,0
7692,3580.81,0,0,0,0
7742,3636.36,0,0,0,0
7792,3620.56,0,0,0,0
7842,3645.20,0,-1,0,0
7892,3631.08,0,0,0,0
7942,3636.36,0,0,0,0
7992,3631.08,0,0,0,0
8042,3617.07,0,0,0,0
8092,3627.57,0,0,0,0
8142,3616.20,0,0,0,0
