------ Microcontroller Engine Governor - Version: 1.14 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.025000   Ki: 0.005000   Kd: 10.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         800     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
1536,0.00,0,0,0,0
1586,0.00,0,0,0,0
1636,0.00,0,0,0,0
1686,0.00,0,0,0,0
1736,0.00,0,0,0,0
1786,0.00,0,0,0,0
1836,0.00,0,0,0,0
1886,0.00,0,0,0,0
1936,0.00,0,0,0,0
1986,0.00,0,0,0,0
2036,0.00,0,0,0,0
2086,0.00,0,0,0,0
2136,0.00,0,0,0,0
2186,0.00,0,0,0,0
2236,0.00,0,0,0,0
2286,0.00,0,0,0,0
2336,inf,0,0,0,0
2386,inf,0,0,0,0
2436,inf,0,0,0,0
2486,495.97,33,77,0,0
2536,495.97,0,77,0,0
2586,628.83,12,74,0,-13
2636,1073.88,0,63,0,-80
2686,1097.53,20,62,0,-4
2736,1557.79,27,51,0,-15
2786,1758.71,0,46,0,-59
2836,2001.07,-4,39,0,-55
2886,2152.70,-12,36,0,-52
2936,2373.42,-27,30,0,-59
2987,2618.26,-116,24,0,-143
3037,2737.23,-89,21,0,-117
3087,2866.97,-100,18,0,-131
3137,2867.52,-38,18,0,-76
3187,2925.69,98,16,0,91
3237,3165.89,-61,10,0,-72
3287,3341.50,-292,6,0,-311
3337,3351.21,0,6,0,-12
3387,3498.95,0,2,0,0
3437,3504.67,0,2,0,0
3487,3604.90,0,0,0,0
3537,3639.89,0,0,0,0
3587,3787.88,0,-4,0,0
3637,3745.32,0,-3,0,0
3687,3750.94,0,-3,0,0
3737,3720.24,0,-3,0,0
3787,3723.93,0,-3,0,0
3837,3700.96,0,-2,0,0
3887,3708.28,0,-2,0,0
3938,3734.13,-2,-3,0,0
3988,3695.49,0,-2,0,0
4038,3700.05,0,-2,0,0
4088,3684.60,0,-2,0,0
4139,3708.28,0,-2,0,0
4189,3664.79,0,-1,0,0
4239,3649.63,0,-1,0,0
4289,3645.20,0,-1,0,0
4339,3654.97,0,-1,0,0
4389,3610.11,0,0,0,0
4439,3665.69,0,-1,0,0
4489,3649.63,0,-1,0,0
4539,3669.28,0,-1,0,0
4589,3628.45,0,0,0,0
4639,3626.69,0,0,0,0
4689,3611.85,0,0,0,0
4739,3653.19,0,-1,0,0
4789,3626.69,0,0,0,0
4839,3621.44,0,0,0,0
4889,3610.98,0,0,0,0
4939,3655.86,0,-1,0,0
4989,3640.78,0,-1,0,0
5039,3659.43,0,-1,0,0
5089,3640.78,0,-1,0,0
5139,3646.09,0,-1,0,0
5189,3573.98,0,0,0,0
5239,3602.31,0,0,0,0
5289,3597.98,0,0,0,0
5339,3597.98,0,0,0,0
5389,3556.19,0,1,0,0
5439,3594.54,0,0,0,0
5489,3569.73,0,0,0,0
5539,3577.39,0,0,0,0
5590,3554.50,0,1,0,0
5640,3603.17,0,0,0,0
5690,3579.10,0,0,0,0
5740,3621.44,0,0,0,0
5790,3588.52,0,0,0,0
5840,3636.36,0,0,0,0
5890,3615.33,0,0,0,0
5940,3664.79,0,-1,0,0
5990,3649.63,0,-1,0,0
6040,3679.18,0,-1,0,0
6090,3640.78,0,-1,0,0
6140,3649.63,0,-1,0,0
6190,3619.69,0,0,0,0
6240,3646.09,0,-1,0,0
6290,3607.50,0,0,0,0
6340,3615.33,0,0,0,0
6390,3546.10,0,1,0,0
6440,3603.17,0,0,0,0
6490,3570.58,0,0,0,0
6540,3591.95,0,0,0,0
6590,3577.39,0,0,0,0
6640,3603.17,0,0,0,0
