------ Microcontroller Engine Governor - Version: 1.14 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.025000   Ki: 0.000000   Kd: 12.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         800     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
1519,0.00,0,0,0,0
1569,0.00,0,0,0,0
1619,0.00,0,0,0,0
1669,0.00,0,0,0,0
1719,0.00,0,0,0,0
1769,0.00,0,0,0,0
1819,0.00,0,0,0,0
1869,0.00,0,0,0,0
1920,0.00,0,0,0,0
1970,0.00,0,0,0,0
2020,0.00,0,0,0,0
2070,0.00,0,0,0,0
2120,0.00,0,0,0,0
2170,0.00,0,0,0,0
2220,0.00,0,0,0,0
2270,0.00,0,0,0,0
2320,0.00,0,0,0,0
2370,0.00,0,0,0,0
2420,0.00,0,0,0,0
2470,0.00,0,0,0,0
2520,0.00,0,0,0,0
2570,0.00,0,0,0,0
2620,0.00,0,0,0,0
2670,0.00,0,0,0,0
2720,0.00,0,0,0,0
2770,0.00,0,0,0,0
2820,0.00,0,0,0,0
2870,0.00,0,0,0,0
2920,0.00,0,0,0,0
2970,0.00,0,0,0,0
3020,0.00,0,0,0,0
3070,0.00,0,0,0,0
3120,0.00,0,0,0,0
3170,0.00,0,0,0,0
3220,0.00,0,0,0,0
3270,0.00,0,0,0,0
3320,0.00,0,0,0,0
3371,0.00,0,0,0,0
3421,0.00,0,0,0,0
3471,0.00,0,0,0,0
3521,0.00,0,0,0,0
3571,0.00,0,0,0,0
3621,0.00,0,0,0,0
3671,0.00,0,0,0,0
3721,0.00,0,0,0,0
3771,0.00,0,0,0,0
3821,0.00,0,0,0,0
3871,inf,0,0,0,0
3921,inf,0,0,0,0
3971,inf,0,0,0,0
4021,378.82,41,80,0,0
4071,907.55,-8,67,0,-96
4121,909.53,58,67,0,0
4171,1349.28,-46,56,0,-117
4221,1354.40,37,56,0,-1
4271,1617.95,-3,49,0,-85
4321,1869.86,-33,43,0,-90
4371,1981.51,-6,40,0,-47
4421,2050.02,0,38,0,-27
4471,2150.85,20,36,0,0
4521,2319.83,0,32,0,-46
4571,2380.20,24,30,0,6
4621,2468.32,26,28,0,11
4671,2547.55,21,26,0,7
4721,2615.52,12,24,0,8
4771,2758.87,22,21,0,6
4822,2743.74,58,21,0,48
4872,3007.22,-86,14,0,-119
4922,2884.62,158,17,0,150
4972,3027.86,38,14,0,40
5022,3155.24,118,11,0,113
5072,3187.42,37,10,0,31
5122,3366.25,-47,5,0,-69
5172,3407.54,0,4,0,0
5222,3418.41,0,4,0,0
5272,3477.05,0,3,0,0
5322,3495.69,0,2,0,0
5372,3578.24,0,0,0,0
5422,3587.66,0,0,0,0
5472,3655.86,0,-1,0,0
5522,3650.52,0,-1,0,0
5572,3891.05,-279,-7,0,-279
5622,3557.87,0,1,0,0
5672,3961.96,-342,-9,0,-345
5722,3559.56,0,1,0,0
5772,3959.87,-313,-8,0,-320
5822,3915.43,-291,-7,0,-285
5872,3541.08,0,1,0,0
5922,3703.70,-508,-2,0,-508
5972,3426.22,3,4,0,0
6022,3507.13,0,2,0,0
6072,3455.42,0,3,0,0
6122,3435.64,0,4,0,0
6172,3445.90,0,3,0,-6
6222,3419.97,0,4,0,0
6272,3419.97,0,4,0,0
6322,3413.75,2,4,0,0
6372,3406.77,0,4,0,0
6422,3463.40,0,3,0,-3
6472,3457.02,0,3,0,0
6522,3524.44,0,1,0,0
6572,3514.53,0,2,0,0
6622,3577.39,0,0,0,0
6672,3570.58,0,0,0,0
6722,3622.31,0,0,0,0
6772,3615.33,0,0,0,0
6822,3666.59,0,-1,0,0
6872,3660.32,0,-1,0,0
6922,3715.63,-93,-2,0,-101
6972,3540.24,0,1,0,0
7022,3850.10,-198,-6,0,-205
7072,3557.87,0,1,0,0
7122,3784.06,-1454,-4,0,-1465
7172,3557.87,0,1,0,0
7222,3617.94,0,0,0,0
7272,3527.75,0,1,0,0
7322,3578.24,0,0,0,0
7372,3540.24,0,1,0,0
7422,3552.82,0,1,0,0
7472,3474.64,0,3,0,0
7522,3528.58,0,1,0,0
7572,3498.95,0,2,0,0
7622,3523.61,0,1,0,0
7672,3496.50,0,2,0,0
7723,3541.08,0,1,0,0
7773,3538.57,0,1,0,0
7823,3603.17,0,0,0,0
7873,3590.23,0,0,0,0
7923,3666.59,0,-1,0,0
7973,3650.52,0,-1,0,0
8023,3709.20,-153,-2,0,-154
8073,3542.75,0,1,0,0
8123,3815.82,-180,-5,0,-180
8173,3559.56,0,1,0,0
8223,3753.75,-1087,-3,0,-1091
8273,3557.87,0,1,0,0
8323,3594.54,0,0,0,0
8373,3546.10,0,1,0,0
8423,3559.56,0,1,0,0
8473,3503.85,0,2,0,0
8523,3514.53,0,2,0,0
8573,3477.86,2,3,0,0
8623,3442.74,0,3,0,0
8673,3512.06,0,2,0,0
8723,3495.69,0,2,0,0
8773,3536.07,0,1,0,0
8823,3518.65,0,2,0,0
8873,3568.03,0,0,0,0
8923,3547.78,0,1,0,0
8973,3604.90,0,0,0,0
9023,3607.50,0,0,0,0
9073,3665.69,0,-1,0,0
9123,3627.57,0,0,0,0
9174,3679.18,0,-1,0,0
9224,3659.43,0,-1,0,0
9274,3699.14,0,-2,0,0
9324,3541.08,0,1,0,0
9374,3861.00,-218,-6,0,-226
9424,3541.08,0,1,0,0
9474,3808.07,-195,-5,0,-206
9524,3540.24,0,1,0,0
9574,3531.90,0,1,0,0
9624,3454.63,0,3,0,0
9674,3433.28,0,4,0,0
9724,3412.19,0,4,0,0
9774,3397.51,0,5,0,-2
9824,3351.21,5,6,0,0
9874,3346.72,24,6,0,34
9924,3362.47,0,5,0,-14
9974,3387.53,0,5,0,0
10024,3425.44,-2,4,0,-12
10074,3438.00,1,4,0,0
10124,3494.87,1,2,0,0
10174,3529.41,0,1,0,0
10224,3507.13,0,2,0,0
10274,3559.56,0,1,0,0
10324,3564.64,0,0,0,0
10374,3630.20,0,0,0,0
10424,3631.96,0,0,0,0
10474,3690.04,0,-2,0,0
10524,3541.08,0,1,0,0
10574,3860.01,-245,-6,0,-240
10624,3541.08,0,1,0,0
10674,3753.75,-963,-3,0,-962
10724,3557.87,0,1,0,0
10774,3547.78,0,1,0,0
10824,3579.95,0,0,0,0
10874,3531.07,0,1,0,0
10924,3345.97,267,6,0,275
10974,3495.69,0,2,0,0
11024,3495.69,0,2,0,0
11074,3536.07,0,1,0,0
11124,3531.07,0,1,0,0
11174,3558.72,0,1,0,0
11224,3503.85,0,2,0,0
11274,3568.88,0,0,0,0
11324,3538.57,0,1,0,0
11374,3595.40,0,0,0,0
11424,3579.10,0,0,0,0
11474,3634.60,0,0,0,0
11524,3631.08,0,0,0,0
11574,3620.56,0,0,0,0
11624,3621.44,0,0,0,0
11674,3665.69,0,-1,0,0
11724,3650.52,0,-1,0,0
11774,3690.04,0,-2,0,0
11824,3541.91,0,1,0,0
11874,3815.82,-175,-5,0,-180
11924,3541.91,0,1,0,0
11974,3764.12,-1071,-4,0,-1079
12024,3640.78,0,-1,0,0
12075,3541.08,0,1,0,0
12125,3693.67,0,-2,0,0
12175,3616.20,0,0,0,0
12225,3589.38,0,0,0,0
12275,3568.88,0,0,0,0
12325,3537.74,0,1,0,0
12375,3527.75,0,1,0,0
12425,3506.31,0,2,0,0
12475,3536.07,0,1,0,0
12525,3521.95,0,1,0,0
12575,3543.59,0,1,0,0
12625,3536.90,0,1,0,0
12675,3559.56,0,1,0,0
12725,3547.78,0,1,0,0
12775,3568.03,0,0,0,0
12825,3566.33,0,0,0,0
12875,3585.09,0,0,0,0
12925,3588.52,0,0,0,0
12975,3645.20,0,-1,0,0
13025,3631.08,0,0,0,0
13075,3665.69,0,-1,0,0
13125,3630.20,0,0,0,0
13175,3660.32,0,-1,0,0
13225,3631.08,0,0,0,0
13275,3660.32,0,-1,0,0
13325,3650.52,0,-1,0,0
13375,3689.13,0,-2,0,0
13425,3665.69,0,-1,0,0
13475,3665.69,0,-1,0,0
13526,3629.32,0,0,0,0
13576,3650.52,0,-1,0,0
13626,3597.12,0,0,0,0
13676,3620.56,0,0,0,0
13726,3579.10,0,0,0,0
13776,3578.24,0,0,0,0
13826,3546.10,0,1,0,0
13876,3587.66,0,0,0,0
13926,3512.88,0,2,0,0
13976,3560.41,0,0,0,0
14026,3513.70,0,2,0,0
14076,3551.14,0,1,0,0
14126,3568.88,0,0,0,0
14176,3540.24,0,1,0,0
14226,3557.87,0,1,0,0
14276,3403.68,0,4,0,0
14326,3557.87,0,1,0,0
14376,3445.11,0,3,0,0
14426,3559.56,0,1,0,0
