----g, PID p, PID i, PID d, RPM Change
------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.005000   Kd: 8.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
1643,0.00,0,0,0,0,0.00
1693,0.00,0,0,0,0,0.00
1743,0.00,0,0,0,0,0.00
1793,0.00,0,0,0,0,0.00
1843,0.00,0,0,0,0,0.00
1893,0.00,0,0,0,0,0.00
1943,0.00,0,0,0,0,0.00
1993,0.00,0,0,0,0,0.00
2043,0.00,0,0,0,0,0.00
2093,0.00,0,0,0,0,0.00
2143,0.00,0,0,0,0,0.00
2193,0.00,0,0,0,0,0.00
2243,0.00,0,0,0,0,0.00
2293,0.00,0,0,0,0,0.00
2343,0.00,0,0,0,0,0.00
2393,0.00,0,0,0,0,0.00
2443,0.00,0,0,0,0,0.00
2493,0.00,0,0,0,0,0.00
2543,0.00,0,0,0,0,0.00
2593,0.00,0,0,0,0,0.00
2643,0.00,0,0,0,0,0.00
2693,0.00,0,0,0,0,0.00
2743,0.00,0,0,0,0,0.00
2793,0.00,0,0,0,0,0.00
2843,0.00,0,0,0,0,0.00
2893,0.00,0,0,0,0,0.00
2944,0.00,0,0,0,0,0.00
2994,0.00,0,0,0,0,0.00
3044,0.00,0,0,0,0,0.00
3094,0.00,0,0,0,0,0.00
3144,0.00,0,0,0,0,0.00
3194,0.00,0,0,0,0,0.00
3244,0.00,0,0,0,0,0.00
3294,0.00,0,0,0,0,0.00
3344,0.00,0,0,0,0,0.00
3394,0.00,0,0,0,0,0.00
3444,0.00,0,0,0,0,0.00
3494,0.00,0,0,0,0,0.00
3544,0.00,0,0,0,0,0.00
3594,0.00,0,0,0,0,0.00
3644,0.00,0,0,0,0,0.00
3694,0.00,0,0,0,0,0.00
3744,0.00,0,0,0,0,0.00
3794,0.00,0,0,0,0,0.00
3844,inf,0,0,0,0,inf
3894,inf,0,0,0,0,inf
3944,inf,0,0,0,0,inf
3994,385.66,25,64,0,0,inf
4044,385.66,0,64,0,0,inf
4094,612.32,2,59,0,-18,-226.66
4144,1055.59,0,50,0,-63,-443.27
4194,1059.40,23,50,0,0,-3.80
4244,1449.28,0,43,0,-76,-389.88
4294,1675.98,0,38,0,-46,-207.84
4344,1724.53,1,37,0,-11,-48.56
4395,1922.09,20,33,0,-1,-7.12
4445,2176.12,-8,28,0,-41,-144.43
4495,2261.08,22,26,0,-2,-8.15
4545,2428.36,-1,23,0,-26,-81.31
4595,2490.87,23,22,0,5,17.08
4645,2622.84,-3,19,0,-29,-81.32
