------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.015000   Ki: 0.000000   Kd: 6.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         72
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
1560,0.00,0,0,0,0,0.00
1610,0.00,0,0,0,0,0.00
1660,0.00,0,0,0,0,0.00
1710,0.00,0,0,0,0,0.00
1760,0.00,0,0,0,0,0.00
1810,0.00,0,0,0,0,0.00
1860,0.00,0,0,0,0,0.00
1910,0.00,0,0,0,0,0.00
1960,0.00,0,0,0,0,0.00
2010,0.00,0,0,0,0,0.00
2060,0.00,0,0,0,0,0.00
2110,0.00,0,0,0,0,0.00
2160,0.00,0,0,0,0,0.00
2210,0.00,0,0,0,0,0.00
2260,0.00,0,0,0,0,0.00
2310,0.00,0,0,0,0,0.00
2360,0.00,0,0,0,0,0.00
2410,inf,0,0,0,0,inf
2460,inf,0,0,0,0,inf
2510,inf,0,0,0,0,inf
2560,477.92,15,46,0,0,inf
2610,477.92,0,46,0,0,inf
2660,623.75,0,44,0,-9,-145.83
2710,1046.61,0,38,0,-44,-422.86
2760,1043.33,18,38,0,0,3.28
2810,1400.69,0,32,0,-49,-357.36
2860,1399.65,0,33,0,0,1.05
2910,1597.44,21,30,0,-1,-9.13
2960,1833.74,0,26,0,-44,-236.30
3010,2036.66,-2,23,0,-39,-195.04
3060,2203.61,-8,20,0,-35,-159.46
3110,2344.85,-9,18,0,-31,-131.81
3160,2462.65,-9,17,0,-29,-117.07
3210,2585.32,-16,15,0,-37,-143.11
3260,2618.71,0,14,0,-20,-78.93
3310,2753.81,0,12,0,-4,-15.08
3360,2844.14,11,11,0,2,7.57
3410,2920.56,4,10,0,5,17.16
3460,2982.11,0,9,0,7,24.51
3510,3186.74,0,6,0,-10,-34.82
3560,3192.17,8,6,0,7,22.58
3610,3085.78,42,7,0,52,175.08
3660,3491.62,0,1,0,0,47.79
3710,3351.21,0,3,0,0,62.54
3760,3510.41,0,1,0,0,-56.58
3810,3516.17,0,1,0,0,1.65
3860,3592.81,0,0,0,0,-45.88
3910,3582.52,0,0,0,0,11.16
3960,3665.69,0,0,0,0,-47.74
4011,3656.75,0,0,0,0,29.66
4061,3692.76,0,-1,0,0,-18.99
4111,3693.67,0,-1,0,0,21.04
4161,3744.38,0,-2,0,0,-36.10
4211,3750.00,0,-2,0,0,13.17
4261,3801.32,0,-3,0,0,-42.86
4311,3801.32,-1,-3,0,0,-22.98
4361,3795.55,0,-2,0,0,16.40
4411,3831.42,0,-3,0,0,-24.31
4461,3765.06,0,-2,0,0,35.29
4511,3789.79,0,-2,0,0,-19.05
4561,3768.84,0,-2,0,0,21.91
4611,3801.32,0,-3,0,0,-16.31
4661,3955.70,-152,-5,0,-149,-397.82
4711,3557.87,0,0,0,0,363.69
4761,3833.38,0,-3,0,0,-273.81
4811,3602.31,0,0,0,0,14.77
4861,3573.98,0,0,0,0,24.00
4911,3490.81,0,1,0,0,28.67
4961,3426.22,1,2,0,0,6.27
5011,3380.66,0,3,0,0,5.34
5061,3350.46,0,3,0,0,37.84
5111,3165.89,43,6,0,44,142.44
5161,3341.50,-51,3,0,-57,-164.21
5212,3175.28,66,6,0,74,223.00
5262,3166.56,9,6,0,14,45.43
5312,3340.01,-42,3,0,-51,-163.39
5362,3362.47,-21,3,0,-26,-21.72
5412,3340.76,-22,3,0,-41,-123.94
5462,3362.47,-15,3,0,-28,-23.21
5512,3387.53,-21,3,0,-31,-36.33
5562,3360.97,-16,3,0,-21,-19.47
5612,3349.71,0,3,0,14,46.26
5662,3503.85,0,1,0,0,28.05
5712,3420.75,0,2,0,0,16.46
5762,3487.56,0,1,0,0,-55.85
5812,3449.07,0,2,0,0,17.54
5862,3516.17,0,1,0,0,-43.95
5912,3489.18,0,1,0,0,26.99
5962,3572.28,0,0,0,0,-44.53
6012,3554.50,0,0,0,0,29.73
6062,3617.07,0,0,0,0,9.62
6112,3616.20,0,0,0,0,34.32
6162,3655.86,0,0,0,0,-48.36
6212,3644.31,0,0,0,0,40.28
6262,3704.62,0,-1,0,0,-40.72
6312,3682.79,0,-1,0,0,30.08
6362,3744.38,0,-2,0,0,-41.59
6412,3718.39,0,-1,0,0,34.42
6462,3753.75,0,-2,0,0,-21.48
6512,3737.85,0,-2,0,0,37.63
6562,3734.13,0,-2,0,0,-36.82
6612,3708.28,0,-1,0,0,34.23
6662,3674.67,0,-1,0,0,21.73
6712,3644.31,0,0,0,0,33.06
6762,3672.87,0,-1,0,0,41.84
6812,3557.87,0,0,0,0,303.13
6862,3700.96,0,-1,0,0,-133.78
6912,3574.83,0,0,0,0,20.56
6962,3501.40,0,1,0,0,89.69
7012,3481.09,0,1,0,0,26.05
7062,3462.60,0,2,0,0,27.39
7112,3449.07,0,2,0,0,11.94
7162,3475.44,0,1,0,0,-20.81
7212,3463.40,0,2,0,0,29.84
7262,3494.06,0,1,0,0,-12.97
7312,3453.83,0,2,0,0,21.61
7362,3462.60,0,2,0,0,21.72
7412,3716.55,0,-1,0,0,-198.73
7462,3527.75,0,1,0,0,17.51
7512,3584.23,0,0,0,0,-48.16
7562,3588.52,0,0,0,0,14.65
7612,3617.07,0,0,0,0,-10.44
7662,3620.56,0,0,0,0,8.76
7712,3674.67,0,-1,0,0,-47.10
7762,3663.90,0,0,0,0,30.68
7812,3712.87,0,-1,0,0,-29.18
7862,3732.27,0,-1,0,0,-22.16
7912,3710.12,0,-1,0,0,32.40
7962,3752.81,0,-2,0,0,-34.42
8012,3683.69,0,-1,0,0,19.10
8062,3724.86,0,-1,0,0,-31.19
8112,3699.14,0,-1,0,0,34.99
8162,3712.87,0,-1,0,0,-30.08
8212,3672.87,0,-1,0,0,29.92
8262,3675.57,0,-1,0,0,-12.57
8312,3646.09,0,0,0,0,18.71
8363,3646.09,0,0,0,0,-39.45
8413,3606.64,0,0,0,0,20.06
8463,3655.86,0,0,0,0,-37.92
8513,3617.94,0,0,0,0,16.66
8563,3626.69,0,0,0,0,-18.32
8613,3617.94,0,0,0,0,27.26
8663,3593.67,0,0,0,0,-28.19
8713,3568.03,0,0,0,0,35.14
8763,3564.64,0,0,0,0,14.46
8813,3556.19,0,0,0,0,19.50
8863,3574.83,0,0,0,0,-37.93
8913,3546.10,0,0,0,0,10.93
8963,3529.41,0,1,0,0,16.69
9013,3537.74,0,0,0,0,15.08
9063,3564.64,0,0,0,0,-17.70
9113,3556.19,0,0,0,0,17.79
9163,3565.49,0,0,0,0,-28.58
9213,3546.10,0,0,0,0,28.73
9263,3497.32,0,1,0,0,9.81
9313,3528.58,0,1,0,0,16.68
9363,3546.94,0,0,0,0,-10.04
9413,3536.90,0,0,0,0,37.93
9463,3537.74,0,0,0,0,27.75
9513,3630.20,0,0,0,0,104.86
9563,3532.74,0,1,0,0,93.08
9613,3585.09,0,0,0,0,-39.82
9663,3578.24,0,0,0,0,24.93
9713,3615.33,0,0,0,0,16.63
9763,3606.64,0,0,0,0,24.45
9814,3636.36,0,0,0,0,-28.86
9864,3626.69,0,0,0,0,26.50
9914,3646.09,0,0,0,0,1.77
9964,3636.36,0,0,0,0,25.75
10014,3663.90,0,0,0,0,20.70
10064,3712.87,0,-1,0,0,-40.00
10114,3682.79,0,-1,0,0,20.00
10164,3701.88,0,-1,0,0,-8.20
10214,3645.20,0,0,0,0,18.70
10264,3694.58,0,-1,0,0,-48.49
10314,3654.08,0,0,0,0,30.52
10364,3654.97,0,0,0,0,-38.77
10414,3582.52,0,0,0,0,15.47
10464,3626.69,0,0,0,0,-18.32
10514,3589.38,0,0,0,0,27.70
10564,3612.72,0,0,0,0,-32.76
10614,3589.38,0,0,0,0,32.06
10664,3610.98,0,0,0,0,-12.99
10714,3579.10,0,0,0,0,23.21
10764,3611.85,0,0,0,0,-22.47
10814,3554.50,0,0,0,0,21.18
10864,3610.98,0,0,0,0,-41.25
10914,3578.24,0,0,0,0,24.93
10964,3603.17,0,0,0,0,-30.04
11014,3584.23,0,0,0,0,17.21
11064,3593.67,0,0,0,0,-5.16
11114,3555.34,0,0,0,0,10.14
11164,3582.52,0,0,0,0,-17.03
11214,3569.73,0,0,0,0,31.71
11264,3520.30,0,1,0,0,32.52
11314,3579.95,0,0,0,0,251.47
11364,3582.52,0,0,0,0,202.49
11414,3620.56,0,0,0,0,174.98
11464,3557.87,0,0,0,0,314.09
11514,3739.72,-1,-2,0,0,-180.15
11564,3675.57,0,-1,0,0,-39.21
11614,3626.69,0,0,0,0,29.17
11664,3675.57,0,-1,0,0,-38.32
11714,3646.09,0,0,0,0,13.34
11764,3665.69,0,0,0,0,-11.61
11814,3654.08,0,0,0,0,30.52
11864,3684.60,0,-1,0,0,-38.51
11914,3663.90,0,0,0,0,30.68
11964,3682.79,0,-1,0,0,-9.02
12014,3672.87,0,-1,0,0,26.27
12064,3663.90,0,0,0,0,20.70
12114,3651.41,0,0,0,0,-17.69
12164,3640.78,0,0,0,0,-43.65
12214,3608.37,0,0,0,0,17.44
12264,3626.69,0,0,0,0,-19.19
12314,3589.38,0,0,0,0,22.47
12364,3584.23,0,0,0,0,5.15
12414,3536.90,0,0,0,0,19.29
12464,3593.67,0,0,0,0,-39.17
12514,3521.95,0,1,0,0,25.82
12564,3568.03,0,0,0,0,-39.45
12614,3556.19,0,0,0,0,35.77
12664,3562.95,0,0,0,0,-43.47
12715,3536.90,0,0,0,0,20.13
12765,3557.03,0,0,0,0,-20.13
12815,3513.70,0,1,0,0,17.37
12865,3572.28,0,0,0,0,-44.53
12915,3534.40,0,0,0,0,5.84
12965,3560.41,0,0,0,0,171.86
13015,3587.66,0,0,0,0,39.91
13065,3574.83,0,0,0,0,17.12
13115,3603.17,0,0,0,0,-56.23
13165,3588.52,0,0,0,0,23.33
13215,3652.30,0,0,0,0,-53.45
13265,3635.48,0,0,0,0,30.21
13315,3668.38,0,-1,0,0,-6.27
13365,3649.63,0,0,0,0,17.85
13415,3692.76,0,-1,0,0,31.17
13465,3812.91,-2,-3,0,0,-253.35
13515,3682.79,0,-1,0,0,16.35
13565,3655.86,0,0,0,0,7.14
13615,3617.07,0,0,0,0,19.29
13665,3598.85,0,0,0,0,29.16
13715,3600.58,0,0,0,0,-35.46
13765,3644.31,0,0,0,0,-36.81
13815,3563.79,0,0,0,0,25.58
13865,3619.69,0,0,0,0,-31.17
13915,3607.50,0,0,0,0,23.58
13965,3601.44,0,0,0,0,11.90
14015,3587.66,0,0,0,0,24.19
14065,3612.72,0,0,0,0,-28.49
14115,3577.39,0,0,0,0,15.42
14166,3621.44,0,0,0,0,-33.78
14216,3538.57,0,0,0,0,34.56
14266,3544.42,0,0,0,0,-55.24
14316,3570.58,0,0,0,0,-47.80
14366,3537.74,0,0,0,0,217.90
14416,3587.66,0,0,0,0,29.41
14466,3518.65,0,1,0,0,31.65
14516,3584.23,0,0,0,0,-38.13
14566,3579.10,0,0,0,0,33.62
14616,3584.23,0,0,0,0,4.29
14666,3578.24,0,0,0,0,24.93
14716,3639.89,0,0,0,0,-41.91
14766,3617.07,0,0,0,0,19.29
14816,3654.97,0,0,0,0,-27.40
14866,3644.31,0,0,0,0,30.35
14916,3654.97,0,0,0,0,-14.19
14966,3637.25,0,0,0,0,17.73
15016,3685.50,0,-1,0,0,-49.14
15066,3620.56,0,0,0,0,113.57
15116,3603.17,0,0,0,0,-23.22
15166,3565.49,0,0,0,0,24.75
15216,3612.72,0,0,0,0,-25.92
15266,3579.10,0,0,0,0,27.54
15316,3621.44,0,0,0,0,-39.78
15366,3589.38,0,0,0,0,33.81
15416,3621.44,0,0,0,0,-22.59
15466,3607.50,0,0,0,0,19.19
15516,3611.85,0,0,0,0,-24.19
15566,3579.95,0,0,0,0,30.16
15616,3631.96,0,0,0,0,-44.30
15666,3616.20,0,0,0,0,29.00
15716,3617.07,0,0,0,0,0.87
15766,3589.38,0,0,0,0,64.70
15816,3591.95,0,0,0,0,-35.77
15866,3573.13,0,0,0,0,20.54
15916,3622.31,0,0,0,0,-32.94
15966,3564.64,0,0,0,0,29.04
16016,3584.23,0,0,0,0,-36.45
16066,3578.24,0,0,0,0,24.93
16116,3583.37,0,0,0,0,-37.27
16166,3560.41,0,0,0,0,64.53
16216,3612.72,0,0,0,0,-39.59
16266,3573.98,0,0,0,0,9.39
16316,3574.83,0,0,0,0,3.41
16366,3563.79,0,0,0,0,29.88
16416,3556.19,0,0,0,0,7.60
16466,3555.34,0,0,0,0,19.49
16516,3593.67,0,0,0,0,-19.69
16566,3556.19,0,0,0,0,29.76
16616,3603.17,0,0,0,0,-37.68
16666,3587.66,0,0,0,0,15.51
16716,3593.67,0,0,0,0,-38.33
16766,3589.38,0,0,0,0,31.19
16816,3626.69,0,0,0,0,-20.06
16866,3608.37,0,0,0,0,27.11
16916,3610.98,0,0,0,0,-44.64
16966,3596.26,0,0,0,0,77.51
17016,3601.44,0,0,0,0,29.27
17067,3578.24,0,0,0,0,34.47
17117,3584.23,0,0,0,0,-20.44
17167,3577.39,0,0,0,0,24.05
17217,3565.49,0,0,0,0,13.61
17267,3573.13,0,0,0,0,20.54
17317,3631.08,0,0,0,0,-39.13
17367,3559.56,0,0,0,0,66.25
17417,3565.49,0,0,0,0,3.39
17467,3563.79,0,0,0,0,29.88
17517,3631.08,0,0,0,0,-42.57
17567,3582.52,0,0,0,0,6.00
17617,3631.08,0,0,0,0,-33.10
17667,3617.07,0,0,0,0,18.41
17717,3597.98,0,0,0,0,8.65
17767,3579.10,0,0,0,0,25.80
17817,3538.57,0,0,0,0,16.77
17867,3712.87,0,-1,0,0,19.40
17917,3585.94,0,0,0,0,233.77
17967,3557.87,0,0,0,0,302.14
18017,3624.94,0,0,0,0,88.85
18067,3621.44,0,0,0,0,155.00
18117,3596.26,0,0,0,0,252.85
18167,3563.79,0,0,0,0,312.18
18217,3557.87,0,0,0,0,372.94
18267,3558.72,0,0,0,0,306.26
18317,3585.94,0,0,0,0,87.83
18367,3578.24,0,0,0,0,61.65
18417,3503.04,0,1,0,0,27.21
18467,3552.82,0,0,0,0,-34.17
18518,3528.58,0,1,0,0,15.00
18568,3530.24,0,1,0,0,-2.49
18618,3520.30,0,1,0,0,23.29
18668,3472.22,0,1,0,0,21.84
18718,3472.22,0,1,0,0,20.21
18768,3489.18,0,1,0,0,-8.91
18818,3489.18,0,1,0,0,17.95
18868,3525.26,0,1,0,0,-27.13
18918,3509.59,0,1,0,0,26.48
18968,3512.88,0,1,0,0,28.20
19018,3663.90,0,0,0,0,68.37
19068,3559.56,0,0,0,0,164.37
19118,3626.69,0,0,0,0,39.00
19168,3607.50,0,0,0,0,36.81
19218,3630.20,0,0,0,0,-28.76
19268,3615.33,0,0,0,0,16.63
19318,3596.26,0,0,0,0,91.96
19368,3606.64,0,0,0,0,87.95
19418,3669.28,0,-1,0,0,117.65
19468,3639.89,0,0,0,0,96.10
19518,3846.15,-2,-3,0,0,-288.28
19568,3653.19,0,0,0,0,20.58
19618,3646.09,0,0,0,0,19.60
19668,3655.86,0,0,0,0,-11.55
19718,3626.69,0,0,0,0,19.39
19768,3610.11,0,0,0,0,16.58
19818,3589.38,0,0,0,0,32.94
19868,3591.95,0,0,0,0,-27.32
19918,3578.24,0,0,0,0,24.93
19968,3583.37,0,0,0,0,0.86
20018,3556.19,0,0,0,0,17.79
20068,3602.31,0,0,0,0,-36.82
20118,3568.88,0,0,0,0,34.29
20168,3527.75,0,1,0,0,26.75
20218,3712.87,0,-1,0,0,20.33
20268,3563.79,0,0,0,0,201.27
20318,3603.17,0,0,0,0,-30.04
20368,3608.37,0,0,0,0,34.17
20418,3655.86,0,0,0,0,-35.30
20468,3644.31,0,0,0,0,72.24
20519,3739.72,-1,-2,0,0,-181.84
20569,3639.89,0,0,0,0,4.42
20619,3626.69,0,0,0,0,19.39
20669,3684.60,0,-1,0,0,-49.12
20719,3626.69,0,0,0,0,9.67
20769,3664.79,0,0,0,0,-46.85
20819,3617.07,0,0,0,0,29.01
20869,3593.67,0,0,0,0,-6.02
20919,3588.52,0,0,0,0,32.05
20969,3542.75,0,0,0,0,65.62
21019,3596.26,0,0,0,0,30.43
