------ Microcontroller Engine Governo
------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.015000   Ki: 0.002000   Kd: 6.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         72
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
1628,0.00,0,0,0,0,0.00
1678,0.00,0,0,0,0,0.00
1728,0.00,0,0,0,0,0.00
1778,0.00,0,0,0,0,0.00
1828,0.00,0,0,0,0,0.00
1878,0.00,0,0,0,0,0.00
1928,0.00,0,0,0,0,0.00
1978,0.00,0,0,0,0,0.00
2028,0.00,0,0,0,0,0.00
2078,0.00,0,0,0,0,0.00
2128,0.00,0,0,0,0,0.00
2178,inf,0,0,0,0,inf
2228,inf,0,0,0,0,inf
2278,inf,0,0,0,0,inf
2328,378.79,34,48,0,0,inf
2378,378.79,0,48,0,0,inf
2428,909.86,0,40,0,-48,-531.07
2478,842.98,19,41,0,5,66.88
2528,832.73,37,41,0,0,10.25
2578,832.73,0,41,0,0,10.25
2628,787.69,16,42,0,3,45.04
2678,1030.57,0,38,0,-24,-242.88
2728,1034.98,25,38,0,0,-4.41
2778,1470.01,-11,31,0,-63,-435.03
2828,1490.76,0,31,0,-3,-20.75
2878,1788.91,13,27,0,0,0.85
2928,2001.33,19,23,0,0,-1.07
2978,2178.65,0,21,0,-37,-177.32
3028,2374.92,-6,18,0,-48,-208.86
3078,2509.20,-25,16,0,-63,-245.05
3128,2618.26,-33,14,0,-71,-272.68
3178,2634.81,63,14,0,53,215.81
3228,2754.82,2,12,0,1,6.08
3278,2759.89,36,12,0,43,167.51
3328,3027.25,0,8,0,-4,-13.99
3378,3081.98,0,7,0,-1,-6.32
3428,3028.47,40,8,0,42,140.77
3478,3387.53,-180,3,0,-188,-202.14
3528,3340.76,-29,3,0,-50,-151.30
3578,3367.00,0,3,0,0,359.70
3628,3461.01,0,2,0,0,-30.08
3678,3494.06,0,1,0,0,18.00
3728,3601.44,0,0,0,0,18.44
3778,3625.82,0,0,0,0,4.39
3828,3724.86,0,-1,0,0,-61.85
3878,3702.79,0,-1,0,0,20.22
3928,3773.58,0,-2,0,0,-59.79
3978,3749.06,0,-2,0,0,21.68
4028,3844.18,-1,-3,0,0,-64.89
4078,3831.42,0,-3,0,0,-26.24
4128,3768.84,0,-2,0,0,21.91
4178,3811.94,0,-3,0,0,-43.10
4228,3784.06,0,-2,0,0,17.26
4278,3811.94,0,-3,0,0,-32.65
4328,3833.38,-2,-3,0,0,-37.83
4378,3806.14,0,-3,0,0,20.39
4428,3838.28,0,-3,0,0,-31.17
4478,3750.94,0,-2,0,0,30.26
4528,3737.85,0,-2,0,0,12.15
4578,3714.71,0,-1,0,0,18.49
4628,3682.79,0,-1,0,0,24.58
4678,3663.00,0,0,0,0,30.67
4728,3654.97,0,0,0,0,-10.66
4779,3578.24,0,0,0,0,29.26
4829,3621.44,0,0,0,0,-21.73
4879,3536.07,0,0,0,0,28.57
4929,3562.95,0,0,0,0,-36.02
4979,3544.42,0,0,0,0,29.56
5029,3592.81,0,0,0,0,-46.72
5079,3510.41,0,1,0,0,34.85
5129,3534.40,0,0,0,0,-62.18
5179,3462.60,0,2,0,0,20.10
5229,3507.13,0,1,0,0,-17.95
5279,3513.70,0,1,0,0,21.53
5329,3525.26,0,1,0,0,-6.62
5379,3498.13,0,1,0,0,19.69
5429,3517.82,0,1,0,0,1.65
5479,3543.59,0,0,0,0,-52.78
5529,3477.86,0,1,0,0,161.15
5579,3552.82,0,0,0,0,-39.12
5629,3545.26,0,0,0,0,28.72
5679,3581.66,0,0,0,0,-17.87
5729,3555.34,0,0,0,0,35.75
5779,3591.09,0,0,0,0,-35.75
5829,3585.94,0,0,0,0,25.03
5879,3611.85,0,0,0,0,-48.90
5929,3579.10,0,0,0,0,31.01
5979,3610.98,0,0,0,0,-14.72
6029,3625.82,0,0,0,0,7.03
6079,3684.60,0,-1,0,0,-49.12
6129,3644.31,0,0,0,0,29.45
6179,3645.20,0,0,0,0,18.70
6230,3654.08,0,0,0,0,19.69
6280,3714.71,0,-1,0,0,-40.94
6330,3633.72,0,0,0,0,24.82
6380,3672.87,0,-1,0,0,56.62
6430,3768.84,-1,-2,0,0,-209.28
6480,3645.20,0,0,0,0,19.59
6530,3625.82,0,0,0,0,19.38
