------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.005000   Kd: 2.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        30       |  PID I Precision:         100
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change, P Cmd, I Cmd, D Cmd
90,inf,0,0,0,0,0.00,0,0,0
140,3735.99,0,0,0,0,0.00,0,0,0
190,3714.71,0,0,0,0,0.00,0,0,0
240,3745.32,0,0,0,0,0.00,0,0,0
290,3724.86,0,0,0,0,0.00,0,0,0
340,3764.12,0,0,0,0,0.00,0,0,0
390,3697.31,0,0,0,0,0.00,0,0,0
440,3763.17,0,0,0,0,0.00,0,0,0
490,3766.01,0,0,0,0,0.00,0,0,0
540,3755.63,0,0,0,0,0.00,0,0,0
590,3796.51,0,0,0,0,0.00,0,0,0
640,3714.71,0,0,0,0,0.00,0,0,0
690,3715.63,0,0,0,0,0.00,0,0,0
740,3695.49,0,0,0,0,0.00,0,0,0
790,3734.13,0,0,0,0,0.00,0,0,0
840,3715.63,0,0,0,0,0.00,0,0,0
890,3726.71,0,0,0,0,0.00,0,0,0
940,3715.63,0,0,0,0,0.00,0,0,0
990,3675.57,0,0,0,0,0.00,0,0,0
1040,3715.63,0,0,0,0,0.00,0,0,0
1090,3647.86,0,0,0,0,0.00,0,0,0
1140,3704.62,0,0,0,0,0.00,0,0,0
1190,3676.47,0,0,0,0,0.00,0,0,0
1240,3656.75,0,0,0,0,0.00,0,0,0
1290,3647.86,0,0,0,0,0.00,0,0,0
1340,3715.63,0,0,0,0,0.00,0,0,0
1390,3707.36,0,0,0,0,0.00,0,0,0
1440,3714.71,0,0,0,0,0.00,0,0,0
1490,3716.55,0,0,0,0,0.00,0,0,0
1540,3744.38,0,0,0,0,0.00,0,0,0
1590,3705.53,0,0,0,0,0.00,0,0,0
1640,3655.86,0,-1,0,0,40.54,4,0,0
1690,3937.01,-55,-6,0,-50,-379.98,17,0,105
1740,3692.76,0,-1,0,0,24.71,22,0,105
1790,3682.79,0,-1,0,0,-29.60,25,0,105
1840,3654.08,0,-1,0,0,48.71,29,0,105
1890,3599.71,0,0,0,0,7.11,29,0,105
1940,3600.58,0,0,0,0,7.11,29,0,105
1990,3620.56,0,0,0,0,7.11,29,0,105
2040,3576.54,0,0,0,0,7.11,29,0,105
2091,3590.23,0,0,0,0,7.11,29,0,105
2141,3534.40,0,1,0,0,25.16,30,0,105
2191,3535.23,0,1,0,0,11.70,32,0,105
2241,3523.61,0,1,0,0,29.21,34,0,105
2292,3507.95,0,1,0,0,-28.48,38,0,105
2342,3506.31,0,1,0,0,-21.18,41,0,105
2392,3606.64,0,-2,0,-11,-501.36,50,0,147
2442,3562.95,0,0,0,0,-46.77,52,0,147
2492,3517.00,0,1,0,0,16.57,55,0,147
2542,3590.23,0,1,0,0,17.66,56,0,147
2592,3578.24,0,0,0,0,27.29,56,0,147
2642,3571.43,0,1,0,0,19.35,57,0,147
2692,3562.10,0,0,0,0,17.00,58,0,147
2742,3551.14,0,0,0,0,10.96,58,0,147
2792,3542.75,0,1,0,0,10.07,60,0,147
2842,3529.41,0,1,0,0,22.57,61,0,147
2892,3562.10,0,0,0,0,21.27,61,0,147
2942,3614.46,0,0,0,0,21.27,61,0,147
2992,3603.17,0,0,0,0,-55.77,61,0,147
3042,3597.98,0,0,0,0,-55.77,61,0,147
3092,3598.85,0,0,0,0,-55.77,61,0,147
3142,3592.81,0,0,0,0,-50.79,61,0,147
3192,3598.85,0,0,0,0,-50.79,61,0,147
3243,3645.20,0,0,0,0,-32.48,61,0,147
3293,3623.19,0,-1,0,0,-31.75,62,0,147
3343,3636.36,0,0,0,0,-51.28,62,0,147
3393,3634.60,0,0,0,0,18.59,63,0,147
3443,3650.52,0,-1,0,0,-18.56,64,0,147
3493,3631.96,0,0,0,0,13.24,64,0,147
3543,3682.79,0,-1,0,0,-30.49,67,0,147
3593,3643.43,0,0,0,0,28.54,69,0,147
3643,3680.98,0,-1,0,0,-47.26,71,0,147
3693,3603.17,0,0,0,0,15.00,71,0,147
3743,3653.19,0,-1,0,0,-51.75,72,0,147
3793,3624.94,0,-1,0,0,-37.86,73,0,147
3843,3646.09,0,0,0,0,-35.11,73,0,147
3893,3591.95,0,0,0,0,-30.61,73,0,147
3943,3597.98,0,0,0,0,21.26,73,0,147
3993,3562.10,0,0,0,0,34.16,73,0,147
4043,3577.39,0,0,0,0,34.16,73,0,147
4093,3574.83,0,0,0,0,19.52,73,0,147
4143,3554.50,0,0,0,0,22.04,73,0,147
4193,3561.25,0,0,0,0,10.18,74,0,147
4243,3607.50,0,0,0,0,26.52,74,0,147
4293,3562.95,0,0,0,0,20.43,74,0,147
4343,3606.64,0,0,0,0,20.43,74,0,147
4393,3553.66,0,0,0,0,22.88,74,0,147
4443,3607.50,0,0,0,0,16.89,74,0,147
4493,3585.94,0,0,0,0,16.89,74,0,147
4543,3637.25,0,0,0,0,-38.40,74,0,147
4593,3591.95,0,0,0,0,-38.40,74,0,147
4643,3590.23,0,0,0,0,-38.40,74,0,147
4694,3576.54,0,0,0,0,21.36,74,0,147
4744,3569.73,0,0,0,0,-43.64,76,0,147
4794,3562.95,0,0,0,0,26.43,77,0,147
4844,3598.85,0,0,0,0,16.21,77,0,147
4894,3576.54,0,0,0,0,16.21,77,0,147
4944,3614.46,0,0,0,0,16.21,77,0,147
4994,3585.09,0,0,0,0,16.21,77,0,147
5044,3629.32,0,0,0,0,16.21,77,0,147
5094,3622.31,0,0,0,0,-22.80,77,0,147
5144,3606.64,0,-1,0,0,-38.90,78,0,147
5194,3591.95,0,-1,0,0,-38.90,78,0,147
5244,3584.23,0,0,0,0,-40.89,78,0,147
5294,3582.52,0,0,0,0,21.28,78,0,147
5344,3654.08,0,-1,0,0,-50.04,79,0,147
5394,3622.31,0,0,0,0,-21.15,79,0,147
5444,3654.08,0,-1,0,0,-38.75,80,0,147
5494,3622.31,0,0,0,0,-18.51,80,0,147
5544,3621.44,0,-1,0,0,-29.99,81,0,147
5594,3598.85,0,-1,0,0,-29.99,81,0,147
5644,3637.25,0,0,0,0,-36.67,81,0,147
5694,3624.94,0,-1,0,0,-47.38,82,0,147
5744,3621.44,0,0,0,0,29.30,83,0,147
5794,3576.54,0,0,0,0,29.30,83,0,147
5844,3572.28,0,1,0,0,15.12,84,0,147
5894,3532.74,0,1,0,0,30.21,86,0,147
5944,3579.95,0,0,0,0,24.58,86,0,147
5994,3567.18,0,0,0,0,31.67,86,0,147
6044,3620.56,0,0,0,0,31.67,86,0,147
6094,3576.54,0,0,0,0,31.67,86,0,147
6144,3605.77,0,0,0,0,31.67,86,0,147
6194,3591.09,0,0,0,0,31.67,86,0,147
6244,3582.52,0,0,0,0,-40.87,86,0,147
6294,3577.39,0,0,0,0,22.11,86,0,147
6344,3589.38,0,0,0,0,23.83,86,0,147
6394,3531.90,0,1,0,0,20.91,87,0,147
6444,3542.75,0,1,0,0,17.66,88,0,147
6494,3533.57,0,1,0,0,226.77,95,0,147
6544,3497.32,0,2,0,0,27.95,99,0,147
6594,3579.10,0,1,0,0,20.82,101,0,147
6644,3569.73,0,0,0,0,19.65,102,0,147
6694,3614.46,0,0,0,0,19.65,102,0,147
6744,3592.81,0,0,0,0,19.65,102,0,147
6794,3607.50,0,0,0,0,21.35,102,0,147
6844,3593.67,0,0,0,0,-47.69,102,0,147
6894,3635.48,0,0,0,0,-33.18,102,0,147
6944,3624.94,0,-1,0,0,-40.49,103,0,147
6994,3615.33,0,-1,0,0,-28.25,104,0,147
7044,3612.72,0,0,0,0,-45.29,104,0,147
7094,3653.19,0,-1,0,0,-30.88,105,0,147
7144,3622.31,0,0,0,0,-21.13,105,0,147
7194,3680.08,0,-1,0,0,-45.48,107,0,147
7244,3610.98,0,0,0,0,4.41,107,0,147
7294,3641.66,0,0,0,0,-28.07,107,0,147
7344,3633.72,0,0,0,0,30.18,108,0,147
7394,3651.41,0,-1,0,0,-19.45,110,0,147
7444,3622.31,0,-1,0,0,-93.41,111,0,147
7494,3639.89,0,0,0,0,185.66,117,0,147
