------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.015000   Ki: 0.002000   Kd: 6.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         152
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change, P Cmd, I Cmd, D Cmd
1735,0.00,0,0,0,0,0.00,0,0,0
1785,0.00,0,0,0,0,0.00,0,0,0
1835,0.00,0,0,0,0,0.00,0,0,0
1885,0.00,0,0,0,0,0.00,0,0,0
1935,0.00,0,0,0,0,0.00,0,0,0
1985,0.00,0,0,0,0,0.00,0,0,0
2035,0.00,0,0,0,0,0.00,0,0,0
2085,0.00,0,0,0,0,0.00,0,0,0
2135,0.00,0,0,0,0,0.00,0,0,0
2185,0.00,0,0,0,0,0.00,0,0,0
2235,0.00,0,0,0,0,0.00,0,0,0
2285,0.00,0,0,0,0,0.00,0,0,0
2335,0.00,0,0,0,0,0.00,0,0,0
2385,0.00,0,0,0,0,0.00,0,0,0
2435,0.00,0,0,0,0,0.00,0,0,0
2485,0.00,0,0,0,0,0.00,0,0,0
2535,0.00,0,0,0,0,0.00,0,0,0
2585,0.00,0,0,0,0,0.00,0,0,0
2635,0.00,0,0,0,0,0.00,0,0,0
2685,0.00,0,0,0,0,0.00,0,0,0
2735,0.00,0,0,0,0,0.00,0,0,0
2785,0.00,0,0,0,0,0.00,0,0,0
2835,0.00,0,0,0,0,0.00,0,0,0
2885,0.00,0,0,0,0,0.00,0,0,0
2935,0.00,0,0,0,0,0.00,0,0,0
2985,0.00,0,0,0,0,0.00,0,0,0
3035,0.00,0,0,0,0,0.00,0,0,0
3085,0.00,0,0,0,0,0.00,0,0,0
3135,0.00,0,0,0,0,0.00,0,0,0
3185,inf,0,0,0,0,inf,0,0,0
3235,inf,0,0,0,0,inf,0,0,0
3286,551.19,8,45,0,0,inf,45,0,0
3336,551.19,0,45,0,0,inf,45,0,0
3386,601.78,4,44,0,-3,-50.59,89,0,3
3436,601.78,0,44,0,-3,-50.59,89,0,3
3486,509.89,30,46,0,4,91.89,135,0,7
3536,509.89,0,46,0,4,91.89,135,0,7
3586,509.89,0,46,0,4,91.89,135,0,7
3636,462.92,9,47,0,2,46.97,182,0,9
3686,462.92,0,47,0,2,46.97,182,0,9
3736,462.92,0,47,0,2,46.97,182,0,9
3786,332.17,44,49,0,4,130.75,231,0,13
3836,332.17,0,49,0,4,130.75,231,0,13
3886,332.17,0,49,0,4,130.75,231,0,13
3936,332.17,0,49,0,4,130.75,231,0,13
5394,74.26,0,49,0,4,130.75,231,0,13
5444,74.26,0,49,0,4,130.75,231,0,13
5494,74.26,0,49,0,4,130.75,231,0,13
5544,74.26,0,49,0,4,130.75,231,0,13
5594,74.26,0,49,0,4,130.75,231,0,13
5644,74.26,0,49,0,4,130.75,231,0,13
5694,74.26,0,49,0,4,130.75,231,0,13
5744,74.26,0,49,0,4,130.75,231,0,13
5794,74.26,0,49,0,4,130.75,231,0,13
5844,74.26,0,49,0,4,130.75,231,0,13
5894,74.26,0,49,0,4,130.75,231,0,13
5944,74.26,0,49,0,4,130.75,231,0,13
5994,74.26,0,49,0,4,130.75,231,0,13
6044,74.26,0,49,0,4,130.75,231,0,13
6094,74.26,0,49,0,4,130.75,231,0,13
6144,74.26,0,49,0,4,130.75,231,0,13
6194,74.26,0,49,0,4,130.75,231,0,13
6244,74.26,0,49,0,4,130.75,231,0,13
6294,74.26,0,49,0,4,130.75,231,0,13
6344,74.26,0,49,0,4,130.75,231,0,13
6394,74.26,0,49,0,4,130.75,231,0,13
6444,74.26,0,49,0,4,130.75,231,0,13
6494,74.26,0,49,0,4,130.75,231,0,13
6544,74.26,0,49,0,4,130.75,231,0,13
6594,74.26,0,49,0,4,130.75,231,0,13
6644,74.26,0,49,0,4,130.75,231,0,13
6694,74.26,0,49,0,4,130.75,231,0,13
6744,74.26,0,49,0,4,130.75,231,0,13
6794,74.26,0,49,0,4,130.75,231,0,13
6844,74.26,0,49,0,4,130.75,231,0,13
6894,74.26,0,49,0,4,130.75,231,0,13
6944,74.26,0,49,0,4,130.75,231,0,13
6994,38.59,0,49,0,4,130.75,231,0,13
7044,685.81,34,43,0,-1,-647.22,274,0,14
7094,685.81,0,43,0,-1,-647.22,274,0,14
7144,693.77,21,43,0,0,-7.96,317,0,14
