------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.015000   Ki: 0.002000   Kd: 6.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         152
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
88,inf,0,0,0,0,0.00
138,3666.59,0,0,0,0,0.00
188,3685.50,0,0,0,0,0.00
238,3687.32,0,0,0,0,0.00
288,3628.45,0,0,0,0,0.00
338,3676.47,0,0,0,0,0.00
388,3638.13,0,0,0,0,0.00
438,3656.75,0,0,0,0,0.00
488,3638.13,0,0,0,0,0.00
538,3685.50,0,0,0,0,0.00
588,3666.59,0,0,0,0,0.00
638,3666.59,0,0,0,0,0.00
688,3646.97,0,0,0,0,0.00
738,3695.49,0,0,0,0,0.00
788,3675.57,0,0,0,0,0.00
838,3694.58,0,0,0,0,0.00
888,3656.75,0,0,0,0,0.00
939,3639.01,0,0,0,0,0.00
989,3601.44,0,0,0,0,0.00
1039,3646.97,0,0,0,0,0.00
1089,3599.71,0,0,0,0,0.00
1139,3638.13,0,0,0,0,0.00
1189,3619.69,0,0,0,0,0.00
1239,3629.32,0,0,0,0,0.00
1289,3619.69,0,0,0,0,0.00
1339,3647.86,0,0,0,0,0.00
1389,3601.44,0,0,0,0,0.00
1439,3638.13,0,0,0,0,0.00
1489,3637.25,0,0,0,0,0.00
1539,3666.59,0,0,0,0,0.00
1589,3663.90,0,0,0,0,22.51
1639,3627.57,0,0,0,0,41.71
1689,3554.50,0,0,0,0,192.69
1739,3763.17,-82,-2,0,-81,-204.45
1789,3670.17,0,-1,0,0,37.19
1839,3599.71,0,0,0,0,18.42
1889,3613.59,0,0,0,0,-24.21
1939,3598.85,0,0,0,0,-36.39
1989,3581.66,0,0,0,0,18.05
2039,3534.40,0,0,0,0,15.05
2089,3550.30,0,0,0,0,184.76
2139,3512.06,0,1,0,0,62.78
2189,3441.95,0,2,0,0,23.86
2239,3490.81,0,1,0,-3,-23.40
2289,3484.32,0,1,0,0,35.98
2339,3500.58,0,1,0,-2,-21.11
2390,3488.37,0,1,0,0,31.10
2440,3494.06,0,1,0,-5,-37.04
2490,3461.80,0,2,0,0,24.14
2541,3457.02,1,2,0,0,20.03
2591,3483.51,0,1,0,-7,-35.24
2641,3526.09,0,1,0,0,-11.57
2691,3456.22,0,2,0,0,0.80
2741,3453.83,0,2,0,0,15.18
2791,3483.51,0,1,0,-1,-8.07
2841,3455.42,0,2,0,0,38.64
2891,3554.50,0,0,0,0,-47.37
2941,3548.62,0,0,0,0,33.90
2991,3565.49,0,0,0,0,-57.53
3041,3538.57,0,0,0,0,33.71
3091,3599.71,0,0,0,0,23.78
3141,3590.23,0,0,0,0,31.20
3191,3656.75,0,0,0,0,-48.38
3241,3652.30,0,0,0,0,25.07
3291,3686.41,0,-1,0,0,-43.86
3341,3671.07,0,-1,0,0,25.33
3391,3670.17,0,-1,0,0,10.81
3441,3661.22,0,0,0,0,15.26
3491,3686.41,0,-1,0,0,-35.00
3542,3661.22,0,0,0,0,35.19
3592,3666.59,0,0,0,0,-38.14
3642,3661.22,0,0,0,0,25.19
3692,3666.59,0,0,0,0,-16.06
3742,3637.25,0,0,0,0,20.40
3792,3686.41,0,-1,0,0,-48.28
3842,3607.50,0,0,0,0,40.36
3892,3637.25,0,0,0,0,-27.14
3942,3609.24,0,0,0,0,18.33
3992,3646.97,0,0,0,0,-37.73
4042,3618.82,0,0,0,0,29.04
4092,3594.54,0,0,0,0,-24.81
4142,3579.95,0,0,0,0,34.51
4192,3622.31,0,0,0,0,-21.74
4242,3599.71,0,0,0,0,-29.51
4292,3656.75,0,0,0,0,-48.38
4342,3575.69,0,0,0,0,14.55
4392,3604.04,0,0,0,0,-29.20
4442,3599.71,0,0,0,0,-33.62
4492,3622.31,0,0,0,0,-21.74
4542,3591.09,0,0,0,0,22.49
4592,3613.59,0,0,0,0,-37.90
4642,3590.23,0,0,0,0,22.48
4692,3581.66,0,0,0,0,-33.89
4742,3549.46,0,0,0,0,13.49
4792,3600.58,0,0,0,0,13.55
4842,3546.94,0,0,0,0,20.24
4892,3591.09,0,0,0,0,-31.53
4942,3534.40,0,0,0,0,14.21
4992,3595.40,0,0,0,0,-29.91
5042,3543.59,0,0,0,0,15.13
5092,3585.94,0,0,0,0,-20.46
5142,3571.43,0,0,0,0,33.47
5192,3555.34,0,0,0,0,-28.42
5242,3538.57,0,0,0,0,26.92
5292,3572.28,0,0,0,0,-37.88
5343,3508.77,0,1,0,0,34.81
5393,3562.95,0,0,0,0,-28.54
5443,3581.66,0,0,0,0,-28.84
5493,3550.30,0,0,0,0,183.83
5543,3580.81,0,0,0,0,119.24
5593,3521.95,0,1,0,0,41.84
5643,3589.38,0,0,0,0,-40.76
5693,3579.95,0,0,0,0,37.12
5743,3599.71,0,0,0,0,18.65
5793,3600.58,0,0,0,0,-42.38
5843,3637.25,0,0,0,0,-29.74
5893,3618.82,0,0,0,0,19.31
5943,3657.64,0,0,0,0,-21.28
5993,3638.13,0,0,0,0,19.52
6043,3686.41,0,-1,0,0,-43.86
6093,3661.22,0,0,0,0,22.48
6144,3827.51,-109,-3,0,-107,-269.63
6194,3557.87,0,0,0,0,242.48
6244,3827.51,-100,-3,0,-100,-268.79
6294,3656.75,0,0,0,0,70.88
6344,3590.23,0,0,0,0,18.14
6394,3623.19,0,0,0,0,-33.81
6444,3590.23,0,0,0,0,12.94
6494,3604.04,0,0,0,0,-12.94
6544,3539.41,0,0,0,0,26.93
6594,3537.74,0,0,0,0,-28.14
6644,3501.40,0,1,0,0,1.64
6694,3526.92,0,1,0,0,-8.27
6744,3520.30,0,1,0,-2,-44.86
6794,3465.80,0,2,0,0,16.90
6844,3485.13,0,1,0,-1,-6.47
6894,3484.32,0,1,0,0,23.63
