------ Microcontroller Engine Governor - Version: 1.09 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.100000   Ki: 0.000000   Kd: 10.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
87,0.00,0,0,0,0
137,0.00,0,0,0,0
187,0.00,0,0,0,0
237,0.00,0,0,0,0
287,0.00,0,0,0,0
337,0.00,0,0,0,0
387,0.00,0,0,0,0
437,0.00,0,0,0,0
487,0.00,0,0,0,0
537,0.00,0,0,0,0
587,0.00,0,0,0,0
637,0.00,0,0,0,0
687,0.00,0,0,0,0
737,0.00,0,0,0,0
787,0.00,0,0,0,0
837,0.00,0,0,0,0
887,0.00,0,0,0,0
937,0.00,0,0,0,0
987,0.00,0,0,0,0
1037,0.00,0,0,0,0
1087,0.00,0,0,0,0
1137,0.00,0,0,0,0
1187,0.00,0,0,0,0
1238,0.00,0,0,0,0
1288,0.00,0,0,0,0
1338,0.00,0,0,0,0
1388,0.00,0,0,0,0
1438,0.00,0,0,0,0
1488,0.00,0,0,0,0
1538,0.00,0,0,0,0
1588,0.00,0,0,0,0
1638,0.00,0,0,0,0
1688,0.00,0,0,0,0
1738,0.00,0,0,0,0
1788,0.00,0,0,0,0
1838,0.00,0,0,0,0
1888,0.00,0,0,0,0
1938,0.00,0,0,0,0
1988,0.00,0,0,0,0
2038,0.00,0,0,0,0
2088,0.00,0,0,0,0
2138,0.00,0,0,0,0
2188,0.00,0,0,0,0
2238,0.00,0,0,0,0
2288,0.00,0,0,0,0
3834,0.00,0,0,0,0
3884,0.00,0,0,0,0
3934,0.00,0,0,0,0
3984,0.00,0,0,0,0
4034,0.00,0,0,0,0
4084,0.00,0,0,0,0
4134,0.00,0,0,0,0
4184,0.00,0,0,0,0
4234,0.00,0,0,0,0
4284,0.00,0,0,0,0
4334,0.00,0,0,0,0
4384,0.00,0,0,0,0
4434,0.00,0,0,0,0
4484,0.00,0,0,0,0
4534,0.00,0,0,0,0
4584,0.00,0,0,0,0
4634,0.00,0,0,0,0
4684,0.00,0,0,0,0
4734,0.00,0,0,0,0
4784,0.00,0,0,0,0
4834,0.00,0,0,0,0
4884,0.00,0,0,0,0
4934,0.00,0,0,0,0
4984,0.00,0,0,0,0
5035,0.00,0,0,0,0
5085,0.00,0,0,0,0
5135,0.00,0,0,0,0
5185,0.00,0,0,0,0
5235,0.00,0,0,0,0
5285,0.00,0,0,0,0
5335,0.00,0,0,0,0
5385,0.00,0,0,0,0
5435,0.00,0,0,0,0
5485,0.00,0,0,0,0
5535,0.00,0,0,0,0
5585,0.00,0,0,0,0
5635,0.00,0,0,0,0
5685,0.00,0,0,0,0
5735,0.00,0,0,0,0
5785,0.00,0,0,0,0
5835,0.00,0,0,0,0
5885,0.00,0,0,0,0
5935,0.00,0,0,0,0
5985,0.00,0,0,0,0
6035,0.00,0,0,0,0
6085,0.00,0,0,0,0
6135,0.00,0,0,0,0
6185,0.00,0,0,0,0
6235,0.00,0,0,0,0
6285,inf,0,0,0,0
6335,inf,0,0,0,0
6385,inf,0,0,0,0
6435,422.54,-296,317,0,0
6486,1016.95,-245,258,0,-100
6536,1052.63,-248,254,0,-6
6586,1304.35,-219,229,0,-54
