------ Microcontroller Engine Governor - Version: 1.09 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.100000   Ki: 0.000000   Kd: 10.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   8       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  100
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
113,0.00,0,0,0,0
214,0.00,0,0,0,0
314,0.00,0,0,0,0
414,0.00,0,0,0,0
514,0.00,0,0,0,0
614,0.00,0,0,0,0
714,0.00,0,0,0,0
814,0.00,0,0,0,0
2359,0.00,0,0,0,0
2459,0.00,0,0,0,0
2560,0.00,0,0,0,0
2660,0.00,0,0,0,0
2760,0.00,0,0,0,0
2860,0.00,0,0,0,0
2960,0.00,0,0,0,0
3060,0.00,0,0,0,0
3160,0.00,0,0,0,0
3260,0.00,0,0,0,0
3360,0.00,0,0,0,0
3460,0.00,0,0,0,0
3560,0.00,0,0,0,0
3660,0.00,0,0,0,0
3760,0.00,0,0,0,0
3860,0.00,0,0,0,0
3960,inf,0,0,0,0
4060,inf,0,0,0,0
5813,3647.80,-3,-4,0,0
5913,3647.80,0,-4,0,0
6013,4615.38,-1,-101,0,-93
6113,4000.00,0,-40,0,51
6213,3779.53,0,-17,0,17
6313,3555.56,0,4,0,16
6413,3555.56,0,4,0,16
6513,3333.33,0,26,0,15
6614,3096.77,-33,50,0,15
6714,3096.77,0,50,0,15
6814,2857.14,-23,74,0,14
6914,2857.14,0,74,0,14
7014,2696.63,-17,90,0,9
7114,2696.63,0,90,0,9
7214,2580.65,-14,101,0,6
7314,2651.93,-89,94,0,-3
7414,2651.93,0,94,0,-3
7514,2891.57,-31,70,0,-14
7614,2891.57,0,70,0,-14
7714,3200.00,0,40,0,-20
7814,3529.41,0,7,0,-24
7914,3779.53,0,-17,0,-19
8014,3966.94,-32,-36,0,-15
8114,3966.94,0,-36,0,-15
8214,4067.80,0,-46,0,-8
8314,4067.80,0,-46,0,0
8414,3966.94,0,-36,0,8
8514,3870.97,-3,-27,0,7
8614,3870.97,0,-27,0,7
8714,3750.00,0,-15,0,9
8814,3636.36,0,-3,0,8
8914,3503.65,0,9,0,9
9014,3503.65,0,9,0,9
9114,3428.57,0,17,0,5
9214,3404.26,0,19,0,1
9314,3404.26,-15,19,0,0
9414,3404.26,0,19,0,0
9515,3529.41,0,7,0,-9
9615,3582.09,0,1,0,-3
9715,3636.36,0,-3,0,-4
9815,3636.36,0,-3,0,-4
9915,3720.93,0,-12,0,-6
10015,3779.53,0,-17,0,-4
10115,3750.00,0,-15,0,2
10215,3750.00,0,-15,0,2
10315,3720.93,0,-12,0,2
10415,3636.36,0,-3,0,6
10515,3582.09,0,1,0,4
10615,3582.09,0,1,0,4
10715,3478.26,0,12,0,7
10815,3453.24,0,14,0,1
10915,3478.26,-3,12,0,-1
11015,3478.26,0,12,0,-1
11115,3529.41,0,7,0,-3
11215,3582.09,0,1,0,-3
11315,3636.36,0,-3,0,-4
11415,3636.36,0,-3,0,-4
11515,3692.31,0,-9,0,-4
11615,3720.93,0,-12,0,-2
11715,3750.00,0,-15,0,-2
11815,3750.00,0,-15,0,-2
11915,3692.31,0,-9,0,4
12015,3609.02,0,0,0,6
12115,3529.41,0,7,0,5
12215,3529.41,0,7,0,5
12315,3503.65,0,9,0,1
12416,3478.26,0,12,0,1
12516,3453.24,-6,14,0,1
12616,3453.24,0,14,0,1
12716,3529.41,0,7,0,-5
12816,3582.09,0,1,0,-3
12916,3636.36,0,-3,0,-4
13016,3636.36,0,-3,0,-4
13116,3692.31,0,-9,0,-4
13216,3720.93,0,-12,0,-2
13316,3750.00,0,-15,0,-2
13416,3750.00,0,-15,0,-2
13516,3720.93,0,-12,0,2
13616,3692.31,0,-9,0,2
13716,3555.56,0,4,0,10
13816,3555.56,0,4,0,10
13916,3478.26,0,12,0,5
14016,3453.24,0,14,0,1
14116,3478.26,-3,12,0,-1
14216,3478.26,0,12,0,-1
14316,3478.26,0,12,0,0
14416,3478.26,0,12,0,0
14516,3478.26,0,12,0,0
14616,3582.09,0,1,0,-7
14716,3664.12,0,-6,0,-6
14816,3720.93,0,-12,0,-4
14916,3720.93,-1,-12,0,0
15016,3720.93,0,-12,0,0
15116,3750.00,0,-15,0,-2
15216,3720.93,0,-12,0,2
15316,3692.31,0,-9,0,2
15416,3692.31,0,-9,0,2
15516,3609.02,0,0,0,6
15616,3555.56,0,4,0,3
15716,3503.65,0,9,0,3
15816,3503.65,0,9,0,3
15916,3404.26,0,19,0,7
16016,3478.26,0,12,0,-5
16116,3503.65,-7,9,0,-1
16216,3503.65,0,9,0,-1
16316,3529.41,0,7,0,-1
16416,3582.09,0,1,0,-3
16516,3664.12,-5,-6,0,-6
16616,3664.12,0,-6,0,-6
16716,3720.93,0,-12,0,-4
16816,3750.00,0,-15,0,-2
16916,3750.00,0,-15,0,0
17016,3750.00,0,-15,0,0
17116,3692.31,0,-9,0,4
17216,3636.36,0,-3,0,4
17316,3555.56,0,4,0,5
17416,3555.56,0,4,0,5
17516,3503.65,0,9,0,3
17616,3478.26,0,12,0,1
17716,3428.57,-13,17,0,3
17816,3428.57,0,17,0,3
17916,3503.65,0,9,0,-5
18016,3529.41,0,9,0,-5
18116,3529.41,0,9,0,-5
18216,3636.36,0,9,0,-5
18316,3664.12,0,9,0,-5
18416,3720.93,0,9,0,-5
18516,3692.31,0,9,0,-5
18616,3692.31,0,9,0,-5
18716,3720.93,0,9,0,-5
18816,3750.00,0,9,0,-5
18916,3582.09,0,9,0,-5
19016,3582.09,0,9,0,-5
19116,3333.33,0,9,0,-5
19216,3137.25,0,9,0,-5
19316,3137.25,0,9,0,-5
19416,2874.25,0,9,0,-5
19516,2874.25,0,9,0,-5
19616,2622.95,0,9,0,-5
19716,2622.95,0,9,0,-5
19816,2412.06,0,9,0,-5
19916,2412.06,0,9,0,-5
20016,2142.86,0,9,0,-5
20116,2142.86,0,9,0,-5
20216,2142.86,0,9,0,-5
20316,1912.35,0,9,0,-5
20416,1912.35,0,9,0,-5
20516,1649.48,0,9,0,-5
20616,1649.48,0,9,0,-5
20716,1649.48,0,9,0,-5
20816,1649.48,0,9,0,-5
