------ Microcontroller Engine Governor - Version: 1.09 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.10       Ki: 0.00       Kd: 0.00
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         22
                             |
Start Steps:         900     |  Max Steps:               1200
                             |
RPM Calc Interval:   8       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  100
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d
113,0.00,0,0,0,0
214,0.00,0,0,0,0
314,0.00,0,0,0,0
414,0.00,0,0,0,0
514,0.00,0,0,0,0
614,0.00,0,0,0,0
714,0.00,0,0,0,0
814,0.00,0,0,0,0
914,0.00,0,0,0,0
1014,0.00,0,0,0,0
1114,0.00,0,0,0,0
1214,0.00,0,0,0,0
1314,0.00,0,0,0,0
1414,0.00,0,0,0,0
1514,0.00,0,0,0,0
1614,0.00,0,0,0,0
1714,0.00,0,0,0,0
1814,0.00,0,0,0,0
1914,0.00,0,0,0,0
2014,0.00,0,0,0,0
2114,0.00,0,0,0,0
2214,0.00,0,0,0,0
2314,0.00,0,0,0,0
2414,0.00,0,0,0,0
2514,0.00,0,0,0,0
2614,0.00,0,0,0,0
2714,0.00,0,0,0,0
2814,0.00,0,0,0,0
2914,0.00,0,0,0,0
3014,0.00,0,0,0,0
3115,0.00,0,0,0,0
3215,0.00,0,0,0,0
3315,0.00,0,0,0,0
3415,0.00,0,0,0,0
3515,0.00,0,0,0,0
3615,0.00,0,0,0,0
3715,0.00,0,0,0,0
3815,0.00,0,0,0,0
3915,0.00,0,0,0,0
4015,0.00,0,0,0,0
4115,0.00,0,0,0,0
5671,0.00,0,0,0,0
5771,0.00,0,0,0,0
5871,0.00,0,0,0,0
5971,0.00,0,0,0,0
6071,0.00,0,0,0,0
6171,0.00,0,0,0,0
6272,0.00,0,0,0,0
6372,0.00,0,0,0,0
6472,0.00,0,0,0,0
6572,0.00,0,0,0,0
6672,0.00,0,0,0,0
6772,0.00,0,0,0,0
6872,0.00,0,0,0,0
6972,0.00,0,0,0,0
7072,0.00,0,0,0,0
7172,0.00,0,0,0,0
7272,0.00,0,0,0,0
7372,0.00,0,0,0,0
7472,0.00,0,0,0,0
7572,0.00,0,0,0,0
7672,0.00,0,0,0,0
7772,0.00,0,0,0,0
7872,0.00,0,0,0,0
7972,0.00,0,0,0,0
8072,0.00,0,0,0,0
8172,0.00,0,0,0,0
8272,0.00,0,0,0,0
8372,0.00,0,0,0,0
8472,0.00,0,0,0,0
8572,0.00,0,0,0,0
8672,0.00,0,0,0,0
8772,inf,0,0,0,0
8872,inf,0,0,0,0
10693,3571.43,-1,2,0,0
10793,3571.43,0,2,0,0
10893,4485.98,0,-88,0,0
10993,4102.56,0,-50,0,0
11094,3840.00,0,-24,0,0
11194,3609.02,0,0,0,0
11294,3609.02,0,0,0,0
11394,3404.26,0,19,0,0
11494,3200.00,-10,40,0,0
11594,3200.00,0,40,0,0
11694,2962.96,0,63,0,0
11794,2962.96,0,63,0,0
11894,2758.62,0,84,0,0
11994,2608.70,-89,99,0,0
12094,2608.70,0,99,0,0
12194,2553.19,-81,104,0,0
12294,2553.19,0,104,0,0
12394,2758.62,-36,84,0,0
12494,2758.62,0,84,0,0
12594,3037.97,0,56,0,0
12694,3380.28,0,21,0,0
12794,3664.12,0,-6,0,0
12894,3664.12,0,-6,0,0
12994,3902.44,0,-30,0,0
13094,4067.80,0,-46,0,0
13194,4067.80,0,-46,0,0
13294,4000.00,-3,-40,0,0
13394,3902.44,-16,-30,0,0
13494,3902.44,0,-30,0,0
13594,3809.52,0,-20,0,0
13694,3692.31,0,-9,0,0
13794,3609.02,0,0,0,0
13894,3609.02,0,0,0,0
13995,3478.26,0,12,0,0
14095,3404.26,0,19,0,0
14195,3478.26,-3,12,0,0
14295,3478.26,0,12,0,0
14395,3529.41,0,7,0,0
14495,3555.56,0,4,0,0
14595,3636.36,0,-3,0,0
14695,3636.36,0,-3,0,0
14795,3636.36,0,-3,0,0
14895,3720.93,0,-12,0,0
14995,3720.93,0,-12,0,0
15095,3720.93,0,-12,0,0
15195,3720.93,0,-12,0,0
15295,3692.31,0,-9,0,0
15395,3636.36,0,-3,0,0
15495,3636.36,0,-3,0,0
15595,3582.09,0,1,0,0
15695,3503.65,0,9,0,0
15795,3478.26,0,12,0,0
15895,3478.26,0,12,0,0
15995,3453.24,0,14,0,0
16095,3503.65,0,9,0,0
16195,3555.56,-1,4,0,0
16295,3555.56,0,4,0,0
16395,3609.02,0,0,0,0
16495,3692.31,0,-9,0,0
16595,3720.93,0,-12,0,0
16695,3720.93,0,-12,0,0
16795,3750.00,0,-15,0,0
16896,3720.93,0,-12,0,0
16996,3664.12,0,-6,0,0
17096,3664.12,0,-6,0,0
17196,3555.56,0,4,0,0
17296,3453.24,0,14,0,0
17396,3453.24,-2,14,0,0
17496,3453.24,0,14,0,0
17596,3503.65,0,9,0,0
17696,3503.65,0,9,0,0
17796,3555.56,-2,4,0,0
17896,3555.56,0,4,0,0
17996,3636.36,0,-3,0,0
18096,3692.31,0,-9,0,0
18196,3692.31,0,-9,0,0
18296,3692.31,0,-9,0,0
18396,3750.00,0,-15,0,0
18496,3720.93,0,-12,0,0
18596,3692.31,0,-9,0,0
18696,3692.31,0,-9,0,0
18796,3609.02,0,0,0,0
18896,3529.41,0,7,0,0
18996,3478.26,0,12,0,0
19096,3478.26,0,12,0,0
19196,3404.26,0,19,0,0
19296,3453.24,0,14,0,0
19396,3453.24,0,14,0,0
19496,3503.65,0,9,0,0
19596,3609.02,0,0,0,0
19696,3692.31,0,-9,0,0
19796,3692.31,-4,-9,0,0
19896,3692.31,0,-9,0,0
19996,3720.93,0,-12,0,0
20096,3750.00,0,-15,0,0
20196,3720.93,0,-12,0,0
20296,3720.93,0,-12,0,0
20396,3609.02,0,0,0,0
20496,3555.56,0,4,0,0
20596,3529.41,0,7,0,0
20696,3529.41,0,7,0,0
20796,3503.65,0,9,0,0
20896,3503.65,0,9,0,0
20996,3503.65,-7,9,0,0
21096,3503.65,0,9,0,0
21196,3529.41,0,7,0,0
21296,3609.02,0,0,0,0
21396,3636.36,-2,-3,0,0
21496,3636.36,0,-3,0,0
21596,3692.31,0,-9,0,0
21696,3720.93,0,-12,0,0
21796,3692.31,0,-9,0,0
