Time,RPM,Steps Remaining, PID p, PID i, PID d
100,0.00,0,0,0,0
200,inf,0,0,0,0
300,504.20,0,-4,0,0
400,504.20,0,-4,0,0
500,504.20,0,-4,0,0
600,504.20,0,-4,0,0
700,504.20,0,-4,0,0
800,504.20,0,-4,0,0
900,504.20,0,-4,0,0
1000,500.00,0,-4,0,0
1100,504.20,0,-4,0,0
1200,500.00,0,-4,0,0
1300,500.00,0,-4,0,0
1400,500.00,0,-4,0,0
1500,500.00,0,-4,0,0
1600,500.00,0,-4,0,0
1700,504.20,0,-4,0,0
1800,500.00,0,-4,0,0
1900,500.00,0,-4,0,0
2000,495.87,0,4,0,0
2100,500.00,0,4,0,0
2200,500.00,0,4,0,0
2300,500.00,0,4,0,0
2400,504.20,0,-4,0,0
2500,504.20,0,-4,0,0
2600,500.00,0,-4,0,0
2700,500.00,0,-4,0,0
2800,500.00,0,-4,0,0
2900,504.20,0,-4,0,0
3000,504.20,0,-4,0,0
3100,500.00,0,-4,0,0
3200,500.00,0,-4,0,0
3300,500.00,0,-4,0,0
3400,504.20,0,-4,0,0
3500,504.20,0,-4,0,0
3600,504.20,0,-4,0,0
3700,500.00,0,-4,0,0
3800,500.00,0,-4,0,0
3900,500.00,0,-4,0,0
4000,500.00,0,-4,0,0
4100,504.20,0,-4,0,0
4200,504.20,0,-4,0,0
4300,504.20,0,-4,0,0
4400,504.20,0,-4,0,0
4500,504.20,0,-4,0,0
4600,500.00,0,-4,0,0
4700,500.00,0,-4,0,0
4800,508.47,0,-9,0,0
4900,504.20,0,-4,0,0
5000,504.20,0,-4,0,0
5100,504.20,0,-4,0,0
5200,504.20,0,-4,0,0
5300,508.47,0,-9,0,0
5400,504.20,0,-4,0,0
5500,504.20,0,-4,0,0
5600,504.20,0,-4,0,0
5700,504.20,0,-4,0,0
5800,504.20,0,-4,0,0
5900,508.47,0,-9,0,0
6000,504.20,0,-4,0,0
6100,504.20,0,-4,0,0
6200,504.20,1,-4,0,0
6301,504.20,0,-4,0,0
6401,500.00,0,-4,0,0
6501,508.47,0,-9,0,0
6601,500.00,0,-9,0,0
6701,495.87,0,4,0,0
6801,500.00,0,4,0,0
6901,500.00,0,4,0,0
7001,495.87,0,4,0,0
7101,504.20,0,-4,0,0
7201,495.87,0,4,0,0
7301,500.00,0,4,0,0
7401,500.00,0,4,0,0
7501,500.00,0,4,0,0
7601,500.00,0,4,0,0
7701,500.00,0,4,0,0
7801,504.20,0,-4,0,0
7901,500.00,0,-4,0,0
8001,500.00,0,-4,0,0
8101,500.00,0,-4,0,0
8201,500.00,0,-4,0,0
8301,500.00,0,-4,0,0
8401,504.20,0,-4,0,0
8501,500.00,0,-4,0,0
8601,504.20,0,-4,0,0
8701,504.20,0,-4,0,0
8801,504.20,0,-4,0,0
8901,504.20,0,-4,0,0
9001,508.47,0,-9,0,0
9101,500.00,0,-9,0,0
9201,504.20,0,-4,0,0
9302,504.20,0,-4,0,0
9402,504.20,0,-4,0,0
9502,500.00,0,-4,0,0
9602,500.00,0,-4,0,0
9702,495.87,0,4,0,0
9802,500.00,0,4,0,0
9902,500.00,0,4,0,0
10002,500.00,0,4,0,0
10102,495.87,0,4,0,0
10202,500.00,0,4,0,0
10302,495.87,0,4,0,0
10402,495.87,0,4,0,0
10502,495.87,0,4,0,0
10602,495.87,0,4,0,0
10702,495.87,0,4,0,0
10802,495.87,0,4,0,0
10902,504.20,0,-4,0,0
11002,495.87,0,4,0,0
11103,495.87,0,4,0,0
11203,495.87,0,4,0,0
11303,491.80,0,9,0,0
11403,495.87,0,4,0,0
11503,495.87,0,4,0,0
11603,495.87,0,4,0,0
11703,500.00,0,4,0,0
11803,500.00,0,4,0,0
11904,495.87,0,4,0,0
12004,495.87,0,4,0,0
12104,495.87,0,4,0,0
12204,495.87,0,4,0,0
12304,495.87,0,4,0,0
12404,504.20,0,-4,0,0
12504,495.87,0,4,0,0
12604,500.00,0,4,0,0
12704,500.00,0,4,0,0
12804,500.00,0,4,0,0
12904,500.00,0,4,0,0
13004,500.00,0,4,0,0
13104,504.20,0,-4,0,0
13204,495.87,0,4,0,0
13304,500.00,0,4,0,0
13404,500.00,0,4,0,0
