Time,RPM,Steps Remaining, PID p, PID i, PID d
100,0.00,0,0,0,0
200,inf,0,0,0,0
300,500.00,0,0,0,0
400,500.00,0,0,0,0
500,508.47,0,-9,0,0
600,500.00,0,-9,0,0
700,500.00,0,-9,0,0
800,500.00,0,-9,0,0
900,500.00,0,-9,0,0
1000,500.00,0,-9,0,0
1100,508.47,0,-9,0,0
1200,495.87,0,4,0,0
1300,495.87,0,4,0,0
1400,500.00,0,4,0,0
1500,500.00,0,4,0,0
1600,495.87,0,4,0,0
1700,504.20,0,-4,0,0
1800,500.00,0,-4,0,0
1900,500.00,0,-4,0,0
2000,500.00,0,-4,0,0
2100,500.00,0,-4,0,0
2200,500.00,0,-4,0,0
2300,500.00,0,-4,0,0
2400,504.20,0,-4,0,0
2500,504.20,0,-4,0,0
2600,500.00,0,-4,0,0
2700,495.87,0,4,0,0
2800,495.87,0,4,0,0
2900,495.87,0,4,0,0
3000,504.20,0,-4,0,0
3100,504.20,0,-4,0,0
3200,495.87,0,4,0,0
3300,500.00,0,4,0,0
3400,495.87,0,4,0,0
3500,500.00,0,4,0,0
3600,500.00,0,4,0,0
3700,500.00,0,4,0,0
3800,500.00,0,4,0,0
3900,500.00,0,4,0,0
4000,500.00,0,4,0,0
4100,500.00,0,4,0,0
4200,500.00,0,4,0,0
4300,500.00,0,4,0,0
4400,504.20,0,-4,0,0
4500,500.00,0,-4,0,0
4600,500.00,0,-4,0,0
4700,495.87,0,4,0,0
4800,495.87,0,4,0,0
4900,495.87,0,4,0,0
5000,495.87,0,4,0,0
5100,500.00,0,4,0,0
5200,500.00,0,4,0,0
5300,500.00,0,4,0,0
5400,495.87,0,4,0,0
5500,495.87,0,4,0,0
5600,495.87,0,4,0,0
5700,500.00,0,4,0,0
5800,500.00,0,4,0,0
5900,500.00,0,4,0,0
6000,495.87,0,4,0,0
6100,495.87,0,4,0,0
6200,500.00,0,4,0,0
6300,500.00,0,4,0,0
6400,500.00,0,4,0,0
6500,500.00,0,4,0,0
6600,495.87,0,4,0,0
6700,495.87,0,4,0,0
6800,495.87,0,4,0,0
6900,495.87,0,4,0,0
7000,495.87,0,4,0,0
7100,495.87,0,4,0,0
7200,495.87,0,4,0,0
7300,487.80,0,13,0,0
7400,483.87,0,17,0,0
7500,476.19,0,26,0,0
7600,476.19,5,26,0,0
7701,476.19,0,26,0,0
7801,476.19,0,26,0,0
7901,476.19,0,26,0,0
8001,480.00,0,21,0,0
8101,491.80,0,9,0,0
8201,495.87,2,4,0,0
8302,495.87,0,4,0,0
8402,504.20,0,-4,0,0
8502,495.87,0,4,0,0
8602,500.00,0,4,0,0
8702,468.75,18,34,0,0
8804,468.75,0,34,0,0
8904,425.53,3,81,0,0
9005,447.76,13,57,0,0
9106,483.87,0,17,0,0
9206,483.87,0,17,0,0
9306,495.87,0,4,0,0
9406,500.00,0,4,0,0
9506,495.87,0,4,0,0
9606,500.00,0,4,0,0
9706,495.87,0,4,0,0
9806,495.87,0,4,0,0
9906,504.20,0,-4,0,0
10006,500.00,0,-4,0,0
10106,500.00,0,-4,0,0
10206,500.00,0,-4,0,0
10306,495.87,0,4,0,0
10406,495.87,0,4,0,0
10506,504.20,0,-4,0,0
10606,504.20,0,-4,0,0
10706,500.00,0,-4,0,0
10806,504.20,0,-4,0,0
10906,521.74,0,-23,0,0
11006,600.00,84,-110,0,0
11108,606.06,88,-116,0,0
11209,600.00,80,-110,0,0
11310,566.04,48,-72,0,0
11411,526.32,16,-28,0,0
11512,526.32,0,-28,0,0
11612,508.47,0,-9,0,0
11712,500.00,0,-9,0,0
11812,491.80,0,9,0,0
11912,491.80,0,9,0,0
12012,491.80,3,9,0,0
12113,491.80,0,9,0,0
12213,491.80,0,9,0,0
12313,491.80,0,9,0,0
12413,495.87,0,4,0,0
12513,487.80,0,13,0,0
12613,487.80,0,13,0,0
12713,451.13,0,53,0,0
12813,357.14,140,157,0,0
12914,357.14,37,157,0,0
13015,357.14,104,157,0,0
13116,410.96,90,97,0,0
13217,410.96,0,97,0,0
13317,465.12,0,38,0,0
13417,495.87,0,4,0,0
13517,508.47,0,-9,0,0
13617,504.20,0,-4,0,0
13717,504.20,2,-4,0,0
