------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:   Kp: 0.013000   KpAlt: 0.030000   Kd: 1.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision       10       |  PID I Precision:         70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID pAlt, PID d, RPM Change, P Cmd, P Alt Cmd, D Cmd
1650,0.00,0,0,0,0,0.00,0,0,0
1700,0.00,0,0,0,0,0.00,0,0,0
1750,0.00,0,0,0,0,0.00,0,0,0
1800,0.00,0,0,0,0,0.00,0,0,0
1850,0.00,0,0,0,0,0.00,0,0,0
1900,0.00,0,0,0,0,0.00,0,0,0
1950,0.00,0,0,0,0,0.00,0,0,0
2000,0.00,0,0,0,0,0.00,0,0,0
2050,0.00,0,0,0,0,0.00,0,0,0
2100,0.00,0,0,0,0,0.00,0,0,0
2150,0.00,0,0,0,0,0.00,0,0,0
2200,0.00,0,0,0,0,0.00,0,0,0
2250,0.00,0,0,0,0,0.00,0,0,0
2300,0.00,0,0,0,0,0.00,0,0,0
2350,0.00,0,0,0,0,0.00,0,0,0
2400,0.00,0,0,0,0,0.00,0,0,0
2450,0.00,0,0,0,0,0.00,0,0,0
2500,0.00,0,0,0,0,0.00,0,0,0
2550,inf,0,0,0,0,inf,0,0,0
2600,inf,0,0,0,0,inf,0,0,0
2650,483.11,16,40,0,0,inf,40,0,0
2700,483.11,0,40,0,0,inf,40,0,0
2750,555.16,23,39,0,0,-72.06,79,0,0
2800,944.11,25,34,0,-6,-388.94,113,0,6
2850,944.11,0,34,0,-6,-388.94,113,0,6
2900,930.81,0,34,0,0,13.30,147,0,6
2950,1337.97,0,29,0,-9,-407.16,176,0,15
3000,1658.74,5,25,0,-8,-314.29,230,0,23
3050,1675.60,0,25,0,0,-16.86,255,0,23
3100,1953.63,6,21,0,0,-19.15,297,0,31
3150,2190.10,8,18,0,0,-18.08,333,0,39
3200,2393.49,6,15,0,0,4.59,363,0,46
3250,2587.10,0,13,0,0,18.42,388,0,54
3300,2766.51,0,10,0,0,15.91,408,0,62
3350,3058.73,0,7,0,-1,-35.75,431,0,75
3400,3192.17,3,5,0,0,12.96,447,0,82
3450,3317.85,0,3,0,0,11.04,453,0,89
3500,3531.90,0,0,2,0,-101.77,457,2,93
3550,3619.69,0,0,0,0,7.00,457,4,93
3600,3765.06,0,-2,0,0,-75.02,461,5,93
3650,3890.04,-5,-3,0,-4,-65.46,469,5,101
3700,3958.83,0,-4,0,0,9.43,480,5,106
3750,4080.52,0,-6,0,-3,-58.00,496,5,113
3800,4126.55,-6,-6,0,-2,-39.35,519,5,118
3850,4145.94,0,-7,0,0,6.89,539,5,121
3900,4220.60,-7,-8,0,0,7.14,569,5,127
3950,4279.60,-2,-8,0,-3,-41.12,593,5,131
4000,4293.07,-7,-9,0,-1,-19.57,626,5,134
4050,4285.71,0,-8,0,0,34.56,651,5,137
4100,4249.29,-5,-8,0,0,14.49,684,5,138
4150,4233.70,0,-8,0,0,28.87,708,5,141
4200,4199.33,-5,-7,0,-2,-40.75,736,5,143
4250,4098.36,0,-6,0,0,30.46,755,5,143
4300,4029.01,-4,-5,0,0,27.24,776,5,143
4350,3974.56,0,-4,0,0,-8.41,789,5,143
4400,3922.59,0,-4,0,0,37.28,801,5,143
4450,3858.02,0,-3,0,0,22.96,810,5,143
4500,3836.32,0,-3,0,0,9.84,819,5,143
4550,3775.48,-65,-2,0,-66,-12.31,833,5,341
4600,3775.48,-63,-2,0,-66,-2.85,838,5,539
4651,3853.07,-16,-3,0,-19,-298.57,842,6,629
4701,3577.39,-2,0,0,-8,197.14,845,6,637
4751,3494.06,0,1,0,0,40.34,846,8,637
4801,3441.16,0,2,0,0,10.29,850,8,637
4852,3388.30,1,2,0,0,36.36,856,8,637
4902,3345.23,0,3,0,1,29.35,861,8,638
4952,3258.04,0,4,0,2,38.67,871,8,642
5002,3182.01,2,5,0,1,29.98,885,8,645
5052,3192.17,0,5,0,0,19.82,895,8,646
5102,3182.01,0,5,0,-1,-26.77,910,8,648
5152,3174.60,3,5,0,1,24.37,925,8,652
5202,3193.53,0,5,0,0,18.46,935,8,653
5252,3230.67,0,4,0,-1,-18.68,948,8,657
5302,3181.34,2,5,0,0,15.59,963,8,658
5352,3227.19,0,4,0,0,14.65,971,8,661
5402,3323.73,0,3,0,-3,-64.99,982,8,668
5452,3331.85,0,3,0,0,14.87,991,8,671
5502,3418.41,0,2,0,-2,-50.65,998,8,676
5552,3443.53,0,2,0,-1,-44.48,1002,8,677
5602,3624.94,0,0,0,0,84.26,1009,8,693
5652,3553.66,0,0,1,0,-40.78,1011,10,693
5702,3562.10,0,0,1,0,11.88,1011,13,693
5752,3650.52,0,0,-1,0,-55.99,1011,14,693
5803,3667.48,0,0,-2,0,21.65,1012,17,693
5853,3711.95,0,-1,0,0,38.05,1014,17,693
5903,3746.25,-17,-1,0,-17,-201.83,1025,18,784
