------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.013000   KpAlt: 0.025000   Kd: 1.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        10       |  PID I Precision:         70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID pAlt, PID d, RPM Change, P Cmd, P Alt Cmd, D Cmd
1641,0.00,0,0,0,0,0.00,0,0,0
1691,0.00,0,0,0,0,0.00,0,0,0
1741,0.00,0,0,0,0,0.00,0,0,0
1792,0.00,0,0,0,0,0.00,0,0,0
1842,0.00,0,0,0,0,0.00,0,0,0
1892,0.00,0,0,0,0,0.00,0,0,0
1942,0.00,0,0,0,0,0.00,0,0,0
1992,0.00,0,0,0,0,0.00,0,0,0
2042,0.00,0,0,0,0,0.00,0,0,0
2092,0.00,0,0,0,0,0.00,0,0,0
2142,0.00,0,0,0,0,0.00,0,0,0
2192,0.00,0,0,0,0,0.00,0,0,0
2242,0.00,0,0,0,0,0.00,0,0,0
2292,0.00,0,0,0,0,0.00,0,0,0
2342,0.00,0,0,0,0,0.00,0,0,0
2392,0.00,0,0,0,0,0.00,0,0,0
2442,0.00,0,0,0,0,0.00,0,0,0
2492,0.00,0,0,0,0,0.00,0,0,0
2542,0.00,0,0,0,0,0.00,0,0,0
2592,0.00,0,0,0,0,0.00,0,0,0
2642,0.00,0,0,0,0,0.00,0,0,0
2692,0.00,0,0,0,0,0.00,0,0,0
2742,0.00,0,0,0,0,0.00,0,0,0
2792,0.00,0,0,0,0,0.00,0,0,0
2842,0.00,0,0,0,0,0.00,0,0,0
2892,0.00,0,0,0,0,0.00,0,0,0
2942,0.00,0,0,0,0,0.00,0,0,0
2992,0.00,0,0,0,0,0.00,0,0,0
3042,0.00,0,0,0,0,0.00,0,0,0
3092,0.00,0,0,0,0,0.00,0,0,0
3142,0.00,0,0,0,0,0.00,0,0,0
3192,0.00,0,0,0,0,0.00,0,0,0
3243,0.00,0,0,0,0,0.00,0,0,0
3293,0.00,0,0,0,0,0.00,0,0,0
3343,0.00,0,0,0,0,0.00,0,0,0
3393,0.00,0,0,0,0,0.00,0,0,0
3443,0.00,0,0,0,0,0.00,0,0,0
3493,0.00,0,0,0,0,0.00,0,0,0
3543,0.00,0,0,0,0,0.00,0,0,0
3593,0.00,0,0,0,0,0.00,0,0,0
3643,0.00,0,0,0,0,0.00,0,0,0
3693,0.00,0,0,0,0,0.00,0,0,0
3743,0.00,0,0,0,0,0.00,0,0,0
3793,0.00,0,0,0,0,0.00,0,0,0
3843,0.00,0,0,0,0,0.00,0,0,0
3893,0.00,0,0,0,0,0.00,0,0,0
3943,0.00,0,0,0,0,0.00,0,0,0
3993,0.00,0,0,0,0,0.00,0,0,0
4043,0.00,0,0,0,0,0.00,0,0,0
4093,0.00,0,0,0,0,0.00,0,0,0
4143,0.00,0,0,0,0,0.00,0,0,0
4193,0.00,0,0,0,0,0.00,0,0,0
4243,0.00,0,0,0,0,0.00,0,0,0
4293,0.00,0,0,0,0,0.00,0,0,0
4343,0.00,0,0,0,0,0.00,0,0,0
4393,0.00,0,0,0,0,0.00,0,0,0
4443,0.00,0,0,0,0,0.00,0,0,0
4493,0.00,0,0,0,0,0.00,0,0,0
4543,0.00,0,0,0,0,0.00,0,0,0
4593,0.00,0,0,0,0,0.00,0,0,0
4643,0.00,0,0,0,0,0.00,0,0,0
4694,0.00,0,0,0,0,0.00,0,0,0
4744,0.00,0,0,0,0,0.00,0,0,0
4794,0.00,0,0,0,0,0.00,0,0,0
4844,0.00,0,0,0,0,0.00,0,0,0
4894,0.00,0,0,0,0,0.00,0,0,0
4944,0.00,0,0,0,0,0.00,0,0,0
4994,0.00,0,0,0,0,0.00,0,0,0
5044,0.00,0,0,0,0,0.00,0,0,0
5094,0.00,0,0,0,0,0.00,0,0,0
5144,0.00,0,0,0,0,0.00,0,0,0
5194,0.00,0,0,0,0,0.00,0,0,0
5244,0.00,0,0,0,0,0.00,0,0,0
5294,0.00,0,0,0,0,0.00,0,0,0
5344,0.00,0,0,0,0,0.00,0,0,0
5394,0.00,0,0,0,0,0.00,0,0,0
5444,0.00,0,0,0,0,0.00,0,0,0
5494,0.00,0,0,0,0,0.00,0,0,0
5544,0.00,0,0,0,0,0.00,0,0,0
5594,0.00,0,0,0,0,0.00,0,0,0
5644,0.00,0,0,0,0,0.00,0,0,0
5694,0.00,0,0,0,0,0.00,0,0,0
5744,0.00,0,0,0,0,0.00,0,0,0
5794,0.00,0,0,0,0,0.00,0,0,0
5844,0.00,0,0,0,0,0.00,0,0,0
5894,0.00,0,0,0,0,0.00,0,0,0
5944,0.00,0,0,0,0,0.00,0,0,0
5994,0.00,0,0,0,0,0.00,0,0,0
6044,0.00,0,0,0,0,0.00,0,0,0
6094,0.00,0,0,0,0,0.00,0,0,0
6144,0.00,0,0,0,0,0.00,0,0,0
6194,0.00,0,0,0,0,0.00,0,0,0
6244,0.00,0,0,0,0,0.00,0,0,0
6294,0.00,0,0,0,0,0.00,0,0,0
6344,0.00,0,0,0,0,0.00,0,0,0
6394,0.00,0,0,0,0,0.00,0,0,0
6444,0.00,0,0,0,0,0.00,0,0,0
6494,0.00,0,0,0,0,0.00,0,0,0
6544,0.00,0,0,0,0,0.00,0,0,0
6594,0.00,0,0,0,0,0.00,0,0,0
6644,0.00,0,0,0,0,0.00,0,0,0
6694,0.00,0,0,0,0,0.00,0,0,0
6744,0.00,0,0,0,0,0.00,0,0,0
