------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.013000   Ki: 0.025000   Kd: 1.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        10       |  PID I Precision:         70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change, P Cmd, I Cmd, D Cmd
1642,0.00,0,0,0,0,0.00,0,0,0
1692,0.00,0,0,0,0,0.00,0,0,0
1742,0.00,0,0,0,0,0.00,0,0,0
1792,0.00,0,0,0,0,0.00,0,0,0
1842,0.00,0,0,0,0,0.00,0,0,0
1892,0.00,0,0,0,0,0.00,0,0,0
1942,0.00,0,0,0,0,0.00,0,0,0
1992,0.00,0,0,0,0,0.00,0,0,0
2042,0.00,0,0,0,0,0.00,0,0,0
2092,0.00,0,0,0,0,0.00,0,0,0
2142,0.00,0,0,0,0,0.00,0,0,0
2192,0.00,0,0,0,0,0.00,0,0,0
2242,0.00,0,0,0,0,0.00,0,0,0
2292,0.00,0,0,0,0,0.00,0,0,0
2342,0.00,0,0,0,0,0.00,0,0,0
2392,0.00,0,0,0,0,0.00,0,0,0
2442,0.00,0,0,0,0,0.00,0,0,0
2492,0.00,0,0,0,0,0.00,0,0,0
2542,0.00,0,0,0,0,0.00,0,0,0
2592,0.00,0,0,0,0,0.00,0,0,0
2642,0.00,0,0,0,0,0.00,0,0,0
2692,0.00,0,0,0,0,0.00,0,0,0
2742,0.00,0,0,0,0,0.00,0,0,0
2792,0.00,0,0,0,0,0.00,0,0,0
2842,0.00,0,0,0,0,0.00,0,0,0
2892,0.00,0,0,0,0,0.00,0,0,0
2942,0.00,0,0,0,0,0.00,0,0,0
2992,0.00,0,0,0,0,0.00,0,0,0
3042,0.00,0,0,0,0,0.00,0,0,0
3092,0.00,0,0,0,0,0.00,0,0,0
3142,inf,0,0,0,0,inf,0,0,0
3192,inf,0,0,0,0,inf,0,0,0
3243,inf,0,0,0,0,inf,0,0,0
3293,inf,0,0,0,0,inf,0,0,0
3343,309.82,13,42,0,0,inf,42,0,0
3393,309.82,0,42,0,0,inf,42,0,0
3443,706.21,0,37,0,-4,-396.39,79,0,4
3493,748.09,23,37,0,0,-41.88,116,0,4
3543,1124.78,15,32,0,-7,-376.68,148,0,11
3593,1135.59,25,32,0,0,-10.81,180,0,11
3643,1507.99,0,27,0,-9,-372.40,207,0,20
3693,1535.78,0,26,0,0,-27.79,233,0,20
3743,1795.98,11,23,0,0,-17.67,279,0,27
3793,2061.86,16,19,0,0,-12.40,318,0,35
3843,2279.29,0,17,0,-8,-217.43,335,0,43
3893,2494.59,18,14,0,6,165.45,379,0,74
3943,2685.28,4,11,0,0,11.59,401,0,83
3993,2852.80,0,9,0,0,7.07,419,0,91
4043,3144.65,0,5,0,-7,-141.65,438,0,106
4093,3267.97,3,4,0,0,4.99,452,0,113
4143,3393.67,0,2,0,0,-3.83,456,0,119
4193,3602.31,0,1,0,0,-0.81,458,0,119
4243,3665.69,0,0,-1,0,11.68,459,1,119
4293,3826.53,-1,-2,0,0,10.77,467,1,124
4343,3945.29,-4,-4,0,-4,-68.32,477,1,131
4393,3997.87,0,-5,0,0,16.05,491,1,136
4443,4055.15,0,-5,0,-2,-43.38,506,1,141
4493,4285.71,-28,-8,0,-25,-356.96,529,1,183
4543,3995.74,0,-5,0,0,302.26,547,1,209
4593,3995.74,-3,-5,0,0,254.76,573,1,242
4643,4173.62,-10,-7,0,-12,-175.76,593,1,272
4694,3995.74,0,-5,0,0,254.76,610,1,297
4744,4040.95,-2,-5,0,-2,-43.08,633,1,352
4794,3986.18,0,-5,0,0,-13.72,647,1,352
4844,3945.29,0,-4,0,0,12.49,659,1,352
4894,4261.36,-50,-8,0,-45,-639.05,675,1,419
4944,3917.47,0,-4,0,0,-13.26,686,1,419
4994,3825.55,0,-2,0,0,39.43,694,1,419
5044,3838.28,0,-3,0,-2,-36.00,702,1,421
5094,3824.58,0,-2,0,0,27.50,709,1,423
5144,3757.52,-44,-2,0,-44,-9.39,719,1,555
5194,3757.52,-42,-2,0,-44,0.94,724,1,687
5244,3722.08,-7,-1,0,-13,26.98,730,1,726
5294,3632.84,0,0,0,0,41.83,731,1,739
5344,3546.10,0,0,1,0,38.99,731,2,739
5394,3494.06,0,1,0,0,8.16,733,3,739
5444,3409.87,0,2,0,0,41.58,737,3,739
5494,3370.79,0,2,0,0,19.04,741,3,739
5544,3345.23,5,3,0,16,280.59,749,3,765
5594,3265.84,0,4,0,2,50.54,760,3,771
5644,3348.21,0,3,0,-2,-52.96,769,3,776
5694,3379.14,0,2,0,-3,-62.02,774,3,780
5744,3467.41,0,1,0,0,224.45,783,3,797
5794,3470.62,0,1,0,0,-57.65,788,3,797
5844,3451.45,0,1,0,0,30.44,792,3,797
5894,3546.94,0,0,1,0,-63.43,794,4,797
5944,3546.10,0,0,1,0,24.48,795,5,797
5994,3624.94,0,0,0,0,-51.81,795,5,797
6044,3629.32,0,0,0,0,22.98,795,6,797
6094,3663.90,0,0,-1,0,-19.58,795,8,797
6144,3677.37,0,-1,0,0,34.58,797,9,797
6194,3735.99,0,-1,0,0,-35.03,800,9,797
6244,3724.86,0,-1,0,0,25.14,803,9,797
6294,3725.78,0,-1,0,0,-13.83,806,9,797
6344,3711.95,0,-1,0,0,36.17,809,9,797
6394,3893.07,-26,-3,0,-24,-362.83,816,11,844
6444,3723.93,0,-1,0,0,39.24,819,11,844
6494,3686.41,0,-1,0,0,41.22,822,11,844
6544,3640.78,0,0,-1,0,2.65,823,13,844
6594,3629.32,0,0,0,0,12.34,823,14,844
6644,3653.19,0,0,-1,0,-24.74,823,16,844
6694,3595.40,0,0,0,0,14.90,823,16,844
6744,3633.72,0,0,0,0,-27.08,823,16,844
6794,3558.72,0,0,1,0,27.22,823,17,844
6844,3589.38,0,0,0,0,-43.28,823,19,844
6894,3558.72,0,0,1,0,19.53,823,21,844
6944,3592.81,0,0,0,0,17.97,823,21,844
6994,3585.94,0,0,0,0,17.23,823,21,844
7044,3625.82,0,0,0,0,-39.02,823,21,844
7094,3596.26,0,0,0,0,-19.02,823,21,844
7144,3591.95,0,0,0,0,-17.33,823,21,844
7194,3585.94,0,0,0,0,17.23,823,21,844
7244,3557.87,0,0,1,0,10.16,823,22,844
7294,3550.30,0,0,1,0,-26.69,823,23,844
7344,3529.41,0,0,0,0,428.37,832,23,915
7394,3595.40,0,0,-1,0,-94.38,832,25,915
7444,3584.23,0,0,0,0,33.72,832,25,915
7494,3641.66,0,0,-1,0,-2.65,832,26,915
7544,3631.08,0,0,0,0,137.76,834,27,915
7595,3855.05,-23,-3,0,-21,-324.81,843,28,973
7645,3711.95,0,-1,0,0,2.76,845,28,973
7695,3689.13,0,-1,0,0,24.66,848,28,973
7745,3703.70,0,-1,0,0,-23.62,851,28,973
7795,3629.32,0,0,0,0,14.10,852,29,973
7845,3614.46,0,0,0,0,-33.65,852,29,973
7895,3548.62,0,0,1,0,31.34,852,30,973
7945,3578.24,0,0,0,0,-19.53,852,31,973
7995,3501.40,0,1,0,0,33.00,853,33,973
8045,3536.90,0,0,1,0,-24.84,854,35,973
8095,3515.35,0,1,0,0,-2.47,856,35,973
8145,3477.05,0,1,0,0,315.62,864,35,989
8195,3526.09,0,0,0,0,-36.10,866,35,989
8245,3496.50,0,1,0,0,29.59,868,35,989
8295,3514.53,0,1,0,0,-42.30,871,35,989
8345,3512.88,0,1,0,0,34.90,873,36,989
8395,3536.90,0,0,1,0,-55.01,875,37,989
8445,3536.90,0,0,1,0,32.83,876,38,989
8495,3615.33,0,0,0,0,-42.20,876,38,989
8545,3607.50,0,0,0,0,-44.39,876,38,989
8595,3653.19,0,0,-1,0,-24.74,876,40,989
8645,3640.78,0,0,-1,0,24.02,876,42,989
8695,3711.03,0,-1,0,0,-55.17,877,43,989
8745,3640.78,0,0,-1,0,3.54,877,45,989
8795,3699.14,0,-1,0,0,-54.82,878,46,989
8845,3666.59,0,0,-1,0,32.55,879,48,989
8895,3698.22,0,-1,0,0,-54.80,881,49,989
8945,3617.94,0,0,0,0,11.38,881,50,989
8995,3686.41,0,-1,0,0,-45.63,882,52,989
9046,3666.59,0,0,-1,0,19.82,883,54,989
9096,3675.57,0,0,0,0,-35.68,883,55,989
9146,3627.57,0,0,0,0,21.18,883,57,989
9196,3626.69,0,0,0,0,-41.61,883,57,989
9246,3606.64,0,0,-1,0,-62.16,883,58,989
9296,3663.00,0,0,-1,0,4.48,883,60,989
9346,3475.44,-4,1,0,-19,335.54,887,60,1027
9396,3630.20,0,0,0,0,175.94,889,60,1041
9446,3619.69,0,0,0,0,131.25,891,60,1041
9496,3608.37,0,-2,0,0,-330.69,895,60,1041
9546,3528.58,0,0,0,0,276.59,899,60,1065
9596,3585.09,0,0,0,0,128.70,901,60,1065
9646,3586.80,0,0,0,0,90.57,903,60,1065
9696,3633.72,0,0,0,0,-30.55,903,60,1065
9746,3558.72,0,0,1,0,16.97,903,61,1065
9796,3592.81,0,0,0,0,11.14,903,61,1065
9846,3557.03,0,0,1,0,31.49,903,62,1065
9896,3602.31,0,0,0,0,17.96,903,62,1065
9946,3524.44,0,0,0,0,22.50,903,63,1065
9996,3536.07,0,0,1,0,-52.56,905,64,1065
