Time	RPM	Steps Remaining	 PID p	 PID i	 PID d	 RPM Change	 P Cmd	 I Cmd	 D Cmd
1716	0	0	0	0	0	0	0	0	0
1766	0	0	0	0	0	0	0	0	0
1816	0	0	0	0	0	0	0	0	0
1866	0	0	0	0	0	0	0	0	0
1916	0	0	0	0	0	0	0	0	0
1966	0	0	0	0	0	0	0	0	0
2016	0	0	0	0	0	0	0	0	0
2066	0	0	0	0	0	0	0	0	0
2116	0	0	0	0	0	0	0	0	0
2166	0	0	0	0	0	0	0	0	0
2216	0	0	0	0	0	0	0	0	0
2266	0	0	0	0	0	0	0	0	0
2316	0	0	0	0	0	0	0	0	0
2366	0	0	0	0	0	0	0	0	0
2416	0	0	0	0	0	0	0	0	0
2466	0	0	0	0	0	0	0	0	0
2516	0	0	0	0	0	0	0	0	0
2566	0	0	0	0	0	0	0	0	0
2616	0	0	0	0	0	0	0	0	0
2666	0	0	0	0	0	0	0	0	0
2716	0	0	0	0	0	0	0	0	0
2766	0	0	0	0	0	0	0	0	0
2816	0	0	0	0	0	0	0	0	0
2866	0	0	0	0	0	0	0	0	0
2916	0	0	0	0	0	0	0	0	0
2966	0	0	0	0	0	0	0	0	0
3016	0	0	0	0	0	0	0	0	0
3066	0	0	0	0	0	0	0	0	0
3116	0	0	0	0	0	0	0	0	0
3166	0	0	0	0	0	0	0	0	0
3216	0	0	0	0	0	0	0	0	0
3266	0	0	0	0	0	0	0	0	0
3316	0	0	0	0	0	0	0	0	0
3366	0	0	0	0	0	0	0	0	0
3416	0	0	0	0	0	0	0	0	0
3466	0	0	0	0	0	0	0	0	0
3516	0	0	0	0	0	0	0	0	0
3566	0	0	0	0	0	0	0	0	0
3616	0	0	0	0	0	0	0	0	0
3666	0	0	0	0	0	0	0	0	0
3716	0	0	0	0	0	0	0	0	0
3766	0	0	0	0	0	0	0	0	0
3816	0	0	0	0	0	0	0	0	0
3866	0	0	0	0	0	0	0	0	0
3916	0	0	0	0	0	0	0	0	0
3966	0	0	0	0	0	0	0	0	0
4016	0	0	0	0	0	0	0	0	0
4066	0	0	0	0	0	0	0	0	0
4116	0	0	0	0	0	0	0	0	0
4166	0	0	0	0	0	0	0	0	0
4216	0	0	0	0	0	0	0	0	0
4267	0	0	0	0	0	0	0	0	0
4317	0	0	0	0	0	0	0	0	0
4367	0	0	0	0	0	0	0	0	0
4417	0	0	0	0	0	0	0	0	0
4467	0	0	0	0	0	0	0	0	0
4517	0	0	0	0	0	0	0	0	0
4567	0	0	0	0	0	0	0	0	0
4617	0	0	0	0	0	0	0	0	0
4667	0	0	0	0	0	0	0	0	0
4717	0	0	0	0	0	0	0	0	0
4767	inf	0	0	0	0	inf	0	0	0
4817	inf	0	0	0	0	inf	0	0	0
4867	inf	0	0	0	0	inf	0	0	0
4917	inf	0	0	0	0	inf	0	0	0
4967	342.43	0	42	0	0	inf	42	0	0
5017	798.21	10	36	0	-5	-455.79	78	0	5
5067	798.21	0	36	0	-5	-455.79	78	0	5
5117	759.88	0	36	0	0	38.33	114	0	5
5167	742.94	26	37	0	0	16.94	151	0	5
5217	742.94	0	37	0	0	16.94	151	0	5
5267	731.92	8	37	0	0	11.02	188	0	5
5317	1131.31	0	32	0	-7	-399.39	220	0	12
5367	1144.16	10	31	0	0	-12.86	251	0	12
5417	1535.94	0	26	0	-10	-391.78	277	0	22
5467	1792.76	4	23	0	-7	-237.39	326	0	29
5517	1808.75	0	23	0	0	-16	349	0	29
5567	2154.24	0	18	0	-5	-158.5	387	0	40
5617	2310.18	0	16	0	0	-16.95	419	0	45
5667	2517.62	0	14	0	0	2.54	447	0	54
5718	2910.36	0	8	0	-5	-112.9	477	0	71
5768	3068.11	0	6	0	-8	-165.64	492	0	79
5818	3207.87	0	5	0	0	9.63	507	0	87
5868	3460.21	0	1	0	-2	-122.42	514	0	97
5918	3573.13	0	0	0	0	5.97	515	0	97
5968	3763.17	0	-2	0	0	-81.29	519	0	97
6018	3843.2	0	-3	0	0	7.89	527	0	102
6068	3975.62	0	-4	0	-4	-67.33	539	0	112
6118	4051.86	-5	-5	0	-3	-51.86	558	0	118
6168	4077.19	0	-6	0	0	35.77	575	0	123
6218	4144.79	-6	-7	0	0	12.64	601	0	129
6268	4162.04	0	-7	0	0	1.15	622	0	131
6318	4174.78	0	-7	0	0	13.99	643	0	133
6368	4447.08	-31	-11	0	-27	-415.91	674	0	194
6418	4029.01	0	-5	0	0	278.86	695	0	201
6468	4534.46	-42	-12	0	-38	-505.45	734	0	324
6518	4200.5	-6	-7	0	0	-4.7	763	0	326
6568	4137.93	0	-6	0	0	11.45	783	0	326
6618	4142.5	0	-7	0	-1	-18.22	803	0	327
6668	4088.31	-4	-6	0	-3	-58.22	826	0	340
6718	4006.41	0	-5	0	0	9.65	841	0	340
6768	4030.09	0	-5	0	-2	-31.16	856	0	343
6818	4014.99	-17	-5	0	-16	-234.75	873	1	443
6868	3779.29	-10	-2	0	-16	328.05	885	1	470
6918	3780.24	-12	-2	0	-22	415.56	898	1	519
6968	3858.02	-2	-3	0	0	129.22	915	1	533
7018	3813.88	0	-2	0	0	34.24	923	1	533
7068	3735.06	0	-1	0	0	35.68	928	1	534
7118	3709.2	0	-1	0	0	31.45	931	1	534
7168	3639.89	0	0	0	0	13.3	932	2	534
7218	3546.94	0	0	1	0	45.88	932	3	534
7268	3542.75	0	0	1	0	-20.8	933	5	534
7318	3471.42	0	1	0	0	31.62	935	5	534
7368	3430.14	0	2	0	0	-3.92	940	5	534
7418	3438	0	2	0	-1	-35.1	944	5	535
7468	3448.28	0	1	0	0	273.81	952	5	552
7518	3382.95	0	2	0	-1	-18.97	959	5	553
7568	3405.22	0	2	0	0	11.64	966	5	555
7618	3395.2	0	2	0	0	27.11	971	5	556
7668	3399.82	0	2	0	0	31.11	977	5	557
7718	3395.97	0	2	0	0	21.66	981	5	557
7768	3473.03	0	1	0	0	197.15	986	5	565
7818	3477.86	0	1	0	0	15.39	990	5	565
7868	3551.14	0	0	1	0	-53.82	992	6	565
7918	3554.5	0	0	1	0	32.3	992	8	565
7968	3597.12	0	0	1	0	16.78	992	10	565
8018	3607.5	0	0	0	0	-53.43	992	10	565
8068	3664.79	0	0	-1	0	-38.1	992	11	565
8118	3662.11	0	0	-1	0	32.47	993	12	565
8168	3717.47	0	-1	0	0	-44.6	995	12	565
8218	3709.2	0	-1	0	0	26.79	998	12	565
8268	3771.69	0	-2	0	0	-42.2	1002	12	565
8318	3735.99	0	-1	0	0	-22.2	1007	12	574
8368	3730.42	0	-1	0	0	9.3	1010	12	574
8418	3719.32	0	-1	0	0	11.1	1013	12	574
8468	3709.2	0	-1	0	0	34.25	1016	12	574
8518	3741.58	0	-1	0	0	-16.72	1020	12	574
8568	3671.97	0	0	0	0	18.07	1022	12	574
8619	3676.47	0	0	0	0	-53.28	1022	13	574
8669	3662.11	0	0	-1	0	16.16	1023	15	574
8719	3674.67	0	0	0	0	-43.59	1023	16	574
8769	3649.63	0	0	-1	0	9.79	1023	19	574
8819	3630.2	0	0	0	0	32.8	1024	20	574
8869	3631.08	0	0	0	0	33.71	1024	21	574
8919	3655.86	0	0	-1	0	-35.3	1024	23	574
8969	3584.23	0	0	0	0	13.76	1024	23	574
9019	3607.5	0	0	0	0	-26.75	1024	23	574
9069	3577.39	0	0	0	0	24.91	1024	23	574
9119	3621.44	0	0	0	0	-32.92	1024	23	574
9169	3556.19	0	0	1	0	28.04	1024	24	574
9219	3610.11	0	0	0	0	-33.57	1024	24	574
9269	3575.69	0	0	0	0	17.99	1024	24	574
9319	3602.31	0	0	0	0	26.65	1024	24	574
9369	3522.78	0	1	0	0	32.56	1025	25	574
9419	3506.31	0	1	0	0	10.69	1027	26	574
9469	3512.88	0	1	0	0	27.36	1029	27	574
9519	3577.39	0	0	0	0	-37.99	1029	29	574
9569	3530.24	0	0	1	0	29.32	1029	32	574
9619	3593.67	0	0	0	0	13.61	1029	32	574
9669	3568.03	0	0	0	0	24.78	1029	32	574
9719	3563.79	0	0	0	0	14.45	1029	32	574
9769	3556.19	0	0	1	0	30.61	1029	34	574
9819	3557.87	0	0	1	0	0.84	1029	36	574
9869	3556.19	0	0	1	0	20.35	1029	38	574
9919	3591.95	0	0	0	0	25.67	1029	38	574
9969	3568.03	0	0	0	0	24.78	1029	38	574
10019	3612.72	0	0	0	0	-39.59	1029	38	574
10070	3569.73	0	0	0	0	22.23	1029	38	574
10120	3602.31	0	0	0	0	24.15	1029	38	574
10170	3608.37	0	0	0	0	-38.07	1029	38	574
10220	3655.86	0	0	-1	0	-45.75	1029	39	574
10270	3649.63	0	0	-1	0	16.05	1029	41	574
10320	3698.22	0	-1	0	0	-36.12	1031	42	574
10370	3690.04	0	-1	0	0	27.44	1033	42	574
10420	3740.65	0	-1	0	0	-28.7	1036	42	574
10470	3662.11	0	0	-1	0	27.93	1038	43	574
10520	3665.69	0	0	-1	0	-39	1038	44	574
10570	3651.41	0	0	-1	0	28.67	1039	46	574
10620	3604.04	0	0	0	0	16.81	1039	46	574
10670	3607.5	0	0	0	0	-35.65	1039	46	574
