------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.025000   Kd: 2.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        10       |  PID I Precision:         70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change, P Cmd, I Cmd, D Cmd
90,inf,0,0,0,0,0.00,0,0,0
140,3205.13,0,0,0,0,0.00,0,0,0
190,3187.42,0,0,0,0,0.00,0,0,0
240,3240.44,0,0,0,0,0.00,0,0,0
290,3248.86,0,0,0,0,0.00,0,0,0
340,3258.74,0,0,0,0,0.00,0,0,0
390,3196.25,0,0,0,0,0.00,0,0,0
440,3151.92,0,0,0,0,0.00,0,0,0
490,3152.58,0,0,0,0,0.00,0,0,0
540,3186.74,0,0,0,0,0.00,0,0,0
590,3161.89,0,0,0,0,0.00,0,0,0
640,3143.99,0,0,0,0,0.00,0,0,0
690,3205.13,0,0,0,0,0.00,0,0,0
740,3160.56,0,0,0,0,0.00,0,0,0
790,3110.74,0,0,0,0,0.00,0,0,0
840,3056.86,0,0,0,0,0.00,0,0,0
890,3070.00,0,0,0,0,0.00,0,0,0
940,3038.28,0,0,0,0,0.00,0,0,0
990,3046.30,0,0,0,0,0.00,0,0,0
1040,3022.97,0,0,0,0,0.00,0,0,0
1090,3022.37,0,0,0,0,0.00,0,0,0
1140,2946.38,0,0,0,0,0.00,0,0,0
1190,2954.50,0,0,0,0,0.00,0,0,0
1240,2925.12,0,0,0,0,0.00,0,0,0
1290,2931.41,0,0,0,0,0.00,0,0,0
1340,2881.29,0,0,0,0,0.00,0,0,0
1390,2873.56,0,0,0,0,0.00,0,0,0
1440,2831.79,0,0,0,0,0.00,0,0,0
1490,2805.31,0,0,0,0,0.00,0,0,0
1540,2777.78,0,0,0,0,0.00,0,0,0
1590,2726.28,0,0,0,0,0.00,0,0,0
1640,2653.46,0,0,0,0,0.00,0,0,0
1690,2627.43,0,0,0,0,0.00,0,0,0
1740,2633.43,0,0,0,0,0.00,0,0,0
1790,2592.91,0,0,0,0,0.00,0,0,0
1840,2616.43,0,0,0,0,0.00,0,0,0
1890,2610.97,0,0,0,0,0.00,0,0,0
1940,2639.92,0,0,0,0,0.00,0,0,0
1990,2581.76,0,0,0,0,0.00,0,0,0
2040,2526.53,0,0,0,0,0.00,0,0,0
2091,2477.29,0,0,0,0,0.00,0,0,0
2141,2488.39,0,0,0,0,0.00,0,0,0
2191,2492.94,0,0,0,0,0.00,0,0,0
2241,2498.75,0,0,0,0,0.00,0,0,0
2291,2446.18,0,0,0,0,0.00,0,0,0
2341,2396.55,0,0,0,0,0.00,0,0,0
2391,2483.03,0,0,0,0,0.00,0,0,0
2441,2446.18,0,0,0,0,0.00,0,0,0
2491,2564.98,0,0,0,0,0.00,0,0,0
2541,2628.35,0,0,0,0,0.00,0,0,0
2591,2581.76,0,0,0,0,0.00,0,0,0
2641,2493.77,0,0,0,0,0.00,0,0,0
2691,2466.70,0,0,0,0,0.00,0,0,0
2741,2509.62,0,0,0,0,0.00,0,0,0
2791,2547.55,0,0,0,0,0.00,0,0,0
2841,2616.43,0,0,0,0,0.00,0,0,0
2891,2645.97,0,0,0,0,0.00,0,0,0
2941,2675.70,0,0,0,0,0.00,0,0,0
2991,2676.18,0,0,0,0,0.00,0,0,0
3041,2622.38,0,0,0,0,0.00,0,0,0
3091,2570.69,0,0,0,0,0.00,0,0,0
3141,2564.98,0,0,0,0,0.00,0,0,0
3191,2515.09,0,0,0,0,0.00,0,0,0
3241,2477.70,0,0,0,0,0.00,0,0,0
3291,2431.12,0,0,0,0,0.00,0,0,0
3341,2492.94,0,0,0,0,0.00,0,0,0
3391,2446.18,0,0,0,0,0.00,0,0,0
3441,2431.12,0,0,0,0,0.00,0,0,0
3491,2425.61,0,0,0,0,0.00,0,0,0
