------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.013000   Ki: 0.025000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        10       |  PID I Precision:         70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change, P Cmd, I Cmd, D Cmd
1718,0.00,0,0,0,0,0.00,0,0,0
1768,0.00,0,0,0,0,0.00,0,0,0
1818,0.00,0,0,0,0,0.00,0,0,0
1868,0.00,0,0,0,0,0.00,0,0,0
1918,0.00,0,0,0,0,0.00,0,0,0
1968,0.00,0,0,0,0,0.00,0,0,0
2018,0.00,0,0,0,0,0.00,0,0,0
2068,0.00,0,0,0,0,0.00,0,0,0
2118,0.00,0,0,0,0,0.00,0,0,0
2168,0.00,0,0,0,0,0.00,0,0,0
2219,0.00,0,0,0,0,0.00,0,0,0
2269,0.00,0,0,0,0,0.00,0,0,0
2319,0.00,0,0,0,0,0.00,0,0,0
2369,0.00,0,0,0,0,0.00,0,0,0
2419,0.00,0,0,0,0,0.00,0,0,0
2469,0.00,0,0,0,0,0.00,0,0,0
2519,0.00,0,0,0,0,0.00,0,0,0
2569,0.00,0,0,0,0,0.00,0,0,0
2619,0.00,0,0,0,0,0.00,0,0,0
2669,0.00,0,0,0,0,0.00,0,0,0
2719,0.00,0,0,0,0,0.00,0,0,0
2769,0.00,0,0,0,0,0.00,0,0,0
2819,0.00,0,0,0,0,0.00,0,0,0
2869,0.00,0,0,0,0,0.00,0,0,0
2919,0.00,0,0,0,0,0.00,0,0,0
2969,0.00,0,0,0,0,0.00,0,0,0
3019,0.00,0,0,0,0,0.00,0,0,0
3069,0.00,0,0,0,0,0.00,0,0,0
3119,0.00,0,0,0,0,0.00,0,0,0
3169,0.00,0,0,0,0,0.00,0,0,0
3219,0.00,0,0,0,0,0.00,0,0,0
3269,0.00,0,0,0,0,0.00,0,0,0
3319,0.00,0,0,0,0,0.00,0,0,0
3369,0.00,0,0,0,0,0.00,0,0,0
3419,0.00,0,0,0,0,0.00,0,0,0
3469,0.00,0,0,0,0,0.00,0,0,0
3519,0.00,0,0,0,0,0.00,0,0,0
3569,0.00,0,0,0,0,0.00,0,0,0
3619,0.00,0,0,0,0,0.00,0,0,0
3670,0.00,0,0,0,0,0.00,0,0,0
3720,0.00,0,0,0,0,0.00,0,0,0
3770,0.00,0,0,0,0,0.00,0,0,0
3820,0.00,0,0,0,0,0.00,0,0,0
3870,0.00,0,0,0,0,0.00,0,0,0
3920,0.00,0,0,0,0,0.00,0,0,0
3970,0.00,0,0,0,0,0.00,0,0,0
4020,0.00,0,0,0,0,0.00,0,0,0
4070,0.00,0,0,0,0,0.00,0,0,0
4120,0.00,0,0,0,0,0.00,0,0,0
4170,0.00,0,0,0,0,0.00,0,0,0
4220,0.00,0,0,0,0,0.00,0,0,0
4270,0.00,0,0,0,0,0.00,0,0,0
4320,0.00,0,0,0,0,0.00,0,0,0
4370,0.00,0,0,0,0,0.00,0,0,0
4420,0.00,0,0,0,0,0.00,0,0,0
4470,0.00,0,0,0,0,0.00,0,0,0
4520,0.00,0,0,0,0,0.00,0,0,0
4570,0.00,0,0,0,0,0.00,0,0,0
4620,0.00,0,0,0,0,0.00,0,0,0
4670,0.00,0,0,0,0,0.00,0,0,0
4720,0.00,0,0,0,0,0.00,0,0,0
4770,0.00,0,0,0,0,0.00,0,0,0
4820,0.00,0,0,0,0,0.00,0,0,0
4870,0.00,0,0,0,0,0.00,0,0,0
4920,inf,0,0,0,0,inf,0,0,0
4970,inf,0,0,0,0,inf,0,0,0
5020,493.88,33,40,0,0,inf,40,0,0
5070,493.88,0,40,0,0,inf,40,0,0
5120,628.01,23,38,0,-4,-134.13,78,0,4
5170,1069.52,4,32,0,-23,-441.51,110,0,27
5220,1069.52,0,32,0,-23,-441.51,110,0,27
