------ Microcontroller Engine Governoe, P Cmd, I Cmd, D Cmd
------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.025000   Kd: 3.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        10       |  PID I Precision:         70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change, P Cmd, I Cmd, D Cmd
1648,0.00,0,0,0,0,0.00,0,0,0
1698,0.00,0,0,0,0,0.00,0,0,0
1748,0.00,0,0,0,0,0.00,0,0,0
1798,0.00,0,0,0,0,0.00,0,0,0
1848,0.00,0,0,0,0,0.00,0,0,0
1898,0.00,0,0,0,0,0.00,0,0,0
1948,0.00,0,0,0,0,0.00,0,0,0
1998,0.00,0,0,0,0,0.00,0,0,0
2048,0.00,0,0,0,0,0.00,0,0,0
2098,0.00,0,0,0,0,0.00,0,0,0
2148,0.00,0,0,0,0,0.00,0,0,0
2198,0.00,0,0,0,0,0.00,0,0,0
2248,0.00,0,0,0,0,0.00,0,0,0
2298,0.00,0,0,0,0,0.00,0,0,0
2348,0.00,0,0,0,0,0.00,0,0,0
2398,0.00,0,0,0,0,0.00,0,0,0
2448,0.00,0,0,0,0,0.00,0,0,0
2498,0.00,0,0,0,0,0.00,0,0,0
2548,0.00,0,0,0,0,0.00,0,0,0
2598,0.00,0,0,0,0,0.00,0,0,0
2648,0.00,0,0,0,0,0.00,0,0,0
2698,0.00,0,0,0,0,0.00,0,0,0
2748,0.00,0,0,0,0,0.00,0,0,0
2798,0.00,0,0,0,0,0.00,0,0,0
2848,0.00,0,0,0,0,0.00,0,0,0
2898,0.00,0,0,0,0,0.00,0,0,0
2948,0.00,0,0,0,0,0.00,0,0,0
2998,0.00,0,0,0,0,0.00,0,0,0
3048,0.00,0,0,0,0,0.00,0,0,0
3098,0.00,0,0,0,0,0.00,0,0,0
3148,0.00,0,0,0,0,0.00,0,0,0
3198,0.00,0,0,0,0,0.00,0,0,0
3248,0.00,0,0,0,0,0.00,0,0,0
3298,0.00,0,0,0,0,0.00,0,0,0
3348,inf,0,0,0,0,inf,0,0,0
3398,inf,0,0,0,0,inf,0,0,0
3448,inf,0,0,0,0,inf,0,0,0
3499,530.80,20,61,0,0,inf,61,0,0
3549,1059.85,0,50,0,-28,-529.04,111,0,28
3599,1078.28,20,50,0,-1,-18.44,161,0,29
3649,1388.50,0,44,0,-21,-310.22,205,0,50
3699,1664.08,11,38,0,-18,-225.92,286,0,71
3749,1701.07,11,37,0,-3,-36.99,323,0,74
